session	category	reason	acceptance	backend	files	bytes
calib_20260801_211449	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			1340	60695503
calib_20260801_211544	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			1876	85438346
calib_20260802_125948	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			6395	839521422
calib_20260802_130435	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			1621	194168273
calib_20260802_130920	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			25276	3476093359
calib_20260802_132504	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			8492	1161441225
calib_20260802_134324	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			6053	711496096
calib_20260802_135754	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			751	128003625
calib_20260802_135943	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			10289	1365569081
calib_20260802_141404	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			3427	523875363
calib_20260802_141820	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			924	131234747
calib_20260802_142013	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			1828	258327426
calib_20260802_142734	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			486	68562951
calib_20260802_142929	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			466	62519943
calib_20260802_143041	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			4690	616230066
calib_20260804_192306	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			569	99643269
calib_20260804_192406	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			1437	254429128
calib_20260804_192618	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			2297	411347797
calib_20260804_193636	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			1716	303190197
calib_20260804_194345	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			2957	519374492
calib_20260808_173952	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			1597	94671871
calib_20260808_174103	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			1321	82047991
calib_20260808_174150	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			1564	99747317
calib_20260808_174245	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			1588	99650578
calib_20260808_174547	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			2642	166600066
calib_20260808_174801	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			1816	119650231
calib_20260808_174903	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			1904	123984586
calib_20260808_180739	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			4	58951
calib_20260808_180755	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			1474	87253815
calib_20260808_182106	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			3191	326184031
calib_20260808_182310	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			4423	457876418
calib_20260808_192211	REGRESSION_EVIDENCE	被回归/标定/AB/故障报告引用			3878	383382290
d405_720p_all_20260803_203706	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			0	0
d405_720p_all_20260803_203800	REGRESSION_EVIDENCE	被回归/标定/AB/故障报告引用			6	1724263706
d405_720p_all_20260803_204009	REGRESSION_EVIDENCE	被回归/标定/AB/故障报告引用			6	891257922
