t_sec,x,y,z,qw,qx,qy,qz
1789530840.382991314,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789530840.416390657,0.000000413,0.000022135,0.000022180,1.000000000,0.000005352,0.000014683,-0.000014572
1789530840.449776649,-0.000004734,0.000022937,0.000018909,1.000000000,0.000006726,0.000018269,-0.000020174
1789530840.483147860,-0.000001698,0.000019161,0.000022285,1.000000000,0.000002390,0.000020425,-0.000011331
1789530840.516507149,0.000000486,0.000039622,0.000016116,1.000000000,0.000023004,0.000009740,-0.000023794
1789530840.549853086,0.000006439,0.000016898,0.000015791,1.000000000,0.000000418,0.000009530,-0.000011930
1789530840.583185196,-0.000000440,0.000026985,0.000010783,1.000000000,0.000014892,0.000006729,-0.000023985
1789530840.616503477,0.000003353,0.000022090,0.000014584,1.000000000,0.000008984,0.000007879,-0.000016529
1789530840.649808884,-0.000003885,0.000041258,0.000004607,1.000000000,0.000027132,0.000006633,-0.000025487
1789530840.683101177,-0.000002847,0.000060370,0.000002414,1.000000000,0.000048989,0.000003940,-0.000033239
1789530840.716378927,0.000007786,0.000017994,0.000017938,1.000000000,0.000002701,0.000009520,-0.000008965
1789530840.749644518,-0.000003552,0.000030930,0.000013563,1.000000000,0.000014161,0.000012017,-0.000024950
1789530840.782896519,-0.000002808,0.000014686,0.000018750,1.000000000,0.000001418,0.000015731,-0.000010742
1789530840.816135168,0.000002441,0.000017171,0.000020434,1.000000000,0.000001997,0.000014939,-0.000014443
1789530840.849359274,0.000002657,0.000019271,0.000019841,1.000000000,0.000002784,0.000014312,-0.000012671
1789530840.882571220,0.000003778,0.000033219,0.000017428,1.000000000,0.000020338,0.000009576,-0.000021302
1789530840.915770054,-0.000000759,0.000024042,0.000014797,1.000000000,0.000012430,0.000011328,-0.000020113
1789530840.948955059,0.000006422,0.000018831,0.000019159,1.000000000,0.000000362,0.000012963,-0.000011742
1789530840.982125759,0.000002194,0.000050318,0.000011935,1.000000000,0.000037888,0.000001846,-0.000033262
1789530841.015284061,0.000004163,0.000016685,0.000015059,1.000000000,0.000003901,0.000010062,-0.000012372
1789530841.048429251,-0.000005613,0.000022413,0.000016984,1.000000000,0.000008818,0.000019448,-0.000020620
1789530841.081559896,-0.000002461,0.000023983,0.000013889,1.000000000,0.000013913,0.000013173,-0.000020035
1789530841.114677906,0.000007538,0.000015984,0.000007304,1.000000000,0.000002638,0.000000322,-0.000011441
1789530841.147783041,0.000005103,0.000033842,0.000017976,1.000000000,0.000019938,0.000009226,-0.000023294
1789530841.180874348,0.000009006,0.000019505,0.000015557,1.000000000,0.000001703,0.000009124,-0.000009637
1789530841.213951349,0.000000568,0.000016587,0.000015432,1.000000000,0.000003470,0.000011227,-0.000011444
1789530841.247016191,0.000000326,0.000013065,0.000007606,1.000000000,0.000003314,0.000007582,-0.000011153
1789530841.280069113,0.000005503,0.000018621,0.000013444,1.000000000,0.000004823,0.000005499,-0.000011678
1789530841.313451529,-0.000000946,0.000044874,0.000017007,1.000000000,0.000027495,0.000015288,-0.000030724
1789530841.346829891,-0.000006463,0.000030811,0.000004778,1.000000000,0.000016915,0.000010982,-0.000023405
1789530841.380206108,0.000012185,0.000017695,0.000017065,1.000000000,-0.000002202,0.000006007,-0.000010467
1789530841.413579464,-0.000002495,0.000036193,0.000009339,1.000000000,0.000025031,0.000009818,-0.000025947
1789530841.446948528,0.000012244,0.000021039,0.000020835,1.000000000,0.000004247,0.000012099,-0.000012176
1789530841.480315685,0.000006452,0.000022215,0.000021286,1.000000000,0.000004016,0.000012194,-0.000015094
1789530841.513679743,-0.000002236,0.000038214,0.000010278,1.000000000,0.000023966,0.000007405,-0.000030891
1789530841.547040701,-0.000004169,0.000022187,0.000007486,1.000000000,0.000013384,0.000007645,-0.000021369
1789530841.580397606,0.000003722,0.000030662,0.000020870,1.000000000,0.000016158,0.000011050,-0.000025383
1789530841.613752365,0.000004499,0.000013658,0.000010440,1.000000000,0.000002430,0.000003785,-0.000010379
1789530841.647104263,0.000004791,0.000019523,0.000022069,1.000000000,0.000003910,0.000013824,-0.000011806
1789530841.680452108,0.000002089,0.000020012,0.000011567,1.000000000,0.000007892,0.000005921,-0.000014435
1789530841.713797569,-0.000003823,0.000046951,0.000004610,1.000000000,0.000033169,0.000007338,-0.000033440
1789530841.747140408,0.000000052,0.000032843,0.000018170,1.000000000,0.000022298,0.000012226,-0.000023676
1789530841.780479670,0.000005132,0.000020871,0.000014110,1.000000000,0.000007103,0.000009623,-0.000010582
1789530841.813815117,0.000001816,0.000031056,0.000011221,1.000000000,0.000018584,0.000006043,-0.000027818
1789530841.847148657,0.000001196,0.000023776,0.000010601,1.000000000,0.000015336,0.000007139,-0.000017202
1789530841.880479097,0.000002370,0.000016480,0.000015786,1.000000000,0.000003895,0.000009139,-0.000013820
1789530841.913806438,-0.000001083,0.000020436,0.000017579,1.000000000,0.000008036,0.000013918,-0.000020297
1789530841.947129488,-0.000001204,0.000016777,0.000007366,1.000000000,0.000005126,0.000008179,-0.000016498
1789530841.980450630,0.000002255,0.000017984,0.000016493,1.000000000,0.000006435,0.000009412,-0.000014900
1789530842.013768911,0.000007073,0.000020471,0.000014104,1.000000000,0.000008705,0.000005668,-0.000012781
1789530842.047082663,-0.000001502,0.000018562,0.000019814,1.000000000,0.000004319,0.000017121,-0.000012088
1789530842.080394506,0.000000408,0.000025513,0.000018484,1.000000000,0.000012974,0.000013395,-0.000016096
1789530842.113703728,-0.000000385,0.000017577,0.000017121,1.000000000,0.000004971,0.000014384,-0.000015551
1789530842.147009373,0.000004550,0.000017837,0.000019406,1.000000000,0.000002302,0.000013775,-0.000011993
1789530842.180310965,0.000007851,0.000021867,0.000017997,1.000000000,0.000006384,0.000007183,-0.000011255
1789530842.213610888,0.000007785,0.000018757,0.000020908,1.000000000,0.000000189,0.000014591,-0.000011981
1789530842.246907473,0.000000548,0.000022505,0.000016254,1.000000000,0.000011069,0.000012880,-0.000014561
1789530842.280201435,0.000002654,0.000021749,0.000017741,1.000000000,0.000007662,0.000012950,-0.000014001
1789530842.313475132,0.000007728,0.000012370,0.000020394,1.000000000,-0.000008457,0.000013689,-0.000011835
1789530842.346745253,0.000001328,0.000016301,0.000017045,1.000000000,0.000001555,0.000014610,-0.000013222
1789530842.380011320,0.000004644,0.000028119,0.000012661,1.000000000,0.000018778,0.000004334,-0.000018844
1789530842.413271427,-0.000006872,0.000043343,0.000002651,1.000000000,0.000032393,0.000007313,-0.000028022
1789530842.446527958,0.000008285,0.000017833,0.000016451,1.000000000,0.000001130,0.000008386,-0.000011046
1789530842.479780436,0.000002148,0.000018244,0.000010336,1.000000000,0.000006383,0.000005918,-0.000015642
1789530842.513028383,-0.000003300,0.000036162,0.000016697,1.000000000,0.000023175,0.000014988,-0.000027122
1789530842.546270609,0.000003030,0.000016947,0.000005520,1.000000000,0.000009696,0.000001183,-0.000013596
1789530842.579509258,-0.000005018,0.000046910,0.000012146,1.000000000,0.000037835,0.000012663,-0.000032259
1789530842.612743616,-0.000003734,0.000030951,0.000013635,1.000000000,0.000019539,0.000012351,-0.000023424
1789530842.645973682,-0.000000449,0.000042539,0.000015812,1.000000000,0.000027715,0.000010764,-0.000030671
1789530842.679198027,0.000004411,0.000009072,0.000012171,1.000000000,-0.000004211,0.000009028,-0.000009071
1789530842.712418795,0.000009440,0.000020806,0.000018122,1.000000000,0.000003860,0.000009878,-0.000013451
1789530842.745635033,0.000005973,0.000011568,0.000018011,1.000000000,-0.000010457,0.000012767,-0.000011852
1789530842.778846025,0.000003013,0.000032510,0.000016318,1.000000000,0.000019935,0.000008681,-0.000021815
1789530842.812053442,-0.000004215,0.000047922,0.000009227,1.000000000,0.000038299,0.000011710,-0.000026720
1789530842.845256329,0.000008333,0.000020727,0.000015484,1.000000000,0.000003846,0.000007031,-0.000015729
1789530842.878454685,0.000008867,0.000020465,0.000022263,1.000000000,0.000004038,0.000007169,-0.000014754
1789530842.911647797,0.000003270,0.000013961,0.000016365,1.000000000,-0.000002413,0.000011634,-0.000010440
1789530842.944837093,0.000011209,0.000021428,0.000018846,1.000000000,0.000003003,0.000009544,-0.000012013
1789530842.978021860,0.000002022,0.000010821,0.000012279,1.000000000,-0.000005030,0.000010433,-0.000009623
1789530843.011201382,0.000006743,0.000021691,0.000018264,1.000000000,0.000007535,0.000008270,-0.000015187
1789530843.044377327,-0.000000244,0.000025145,0.000013370,1.000000000,0.000015185,0.000009139,-0.000020470
1789530843.077548981,0.000002724,0.000018301,0.000017760,1.000000000,0.000002435,0.000014489,-0.000013037
1789530843.110716105,-0.000002469,0.000027569,0.000003547,1.000000000,0.000018522,0.000004868,-0.000018641
1789530843.143877506,0.000004034,0.000022504,0.000014372,1.000000000,0.000008831,0.000008123,-0.000011492
1789530843.177035332,0.000001657,0.000028006,0.000007075,1.000000000,0.000017474,0.000003805,-0.000023926
1789530843.210188866,0.000001618,0.000025349,0.000013417,1.000000000,0.000012916,0.000008552,-0.000019399
1789530843.243338108,0.000002775,0.000016328,0.000017540,1.000000000,0.000001203,0.000012860,-0.000014603
1789530843.276482344,0.000000259,0.000025194,0.000009365,1.000000000,0.000017649,0.000006058,-0.000019964
1789530843.309833765,0.000001944,0.000023659,0.000020740,1.000000000,0.000010430,0.000015538,-0.000015335
1789530843.343184710,-0.000001153,0.000023149,0.000009575,1.000000000,0.000012412,0.000005946,-0.000024099
1789530843.376534939,0.000003259,0.000021847,0.000012810,1.000000000,0.000012626,0.000004753,-0.000017095
1789530843.409885883,-0.000003162,0.000028917,0.000013073,1.000000000,0.000016708,0.000014074,-0.000024953
1789530843.443237305,0.000006533,0.000019094,0.000017042,1.000000000,0.000002734,0.000011383,-0.000011010
1789530843.476588488,0.000003699,0.000020116,0.000015594,1.000000000,0.000005788,0.000009230,-0.000017033
1789530843.509938240,0.000002927,0.000018649,0.000012869,1.000000000,0.000009900,0.000005344,-0.000013288
1789530843.543289423,-0.000005033,0.000030213,0.000009542,1.000000000,0.000019623,0.000011508,-0.000024634
1789530843.576640368,0.000004279,0.000047216,0.000002443,1.000000000,0.000029422,-0.000000927,-0.000040745
1789530843.609991550,0.000009307,0.000020080,0.000018395,1.000000000,0.000002959,0.000009509,-0.000009859
1789530843.643341303,0.000000853,0.000015633,0.000014950,1.000000000,0.000004052,0.000011530,-0.000012109
1789530843.676692486,-0.000002554,0.000026905,0.000011009,1.000000000,0.000014745,0.000010782,-0.000028832
1789530843.710043192,0.000002191,0.000039606,0.000016569,1.000000000,0.000028501,0.000009434,-0.000022688
1789530843.743393421,-0.000001419,0.000011226,0.000011875,1.000000000,-0.000001800,0.000011743,-0.000012775
1789530843.776744127,-0.000000162,0.000032552,0.000010982,1.000000000,0.000024568,0.000006932,-0.000023355
