t_sec,x,y,z,qw,qx,qy,qz
1789530840.382991314,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789530840.416390657,0.000000417,0.000022314,0.000022359,1.000000000,0.000005352,0.000014683,-0.000014572
1789530840.449776649,-0.000004772,0.000023123,0.000019061,1.000000000,0.000006726,0.000018269,-0.000020174
1789530840.483147860,-0.000001711,0.000019315,0.000022465,1.000000000,0.000002390,0.000020425,-0.000011331
1789530840.516507149,0.000000490,0.000039943,0.000016246,1.000000000,0.000023004,0.000009740,-0.000023794
1789530840.549853086,0.000006491,0.000017034,0.000015918,1.000000000,0.000000418,0.000009530,-0.000011930
1789530840.583185196,-0.000000443,0.000027203,0.000010871,1.000000000,0.000014892,0.000006729,-0.000023985
1789530840.616503477,0.000003380,0.000022268,0.000014702,1.000000000,0.000008984,0.000007879,-0.000016529
1789530840.649808884,-0.000003916,0.000041591,0.000004644,1.000000000,0.000027132,0.000006633,-0.000025487
1789530840.683101177,-0.000002870,0.000060858,0.000002433,1.000000000,0.000048989,0.000003940,-0.000033239
1789530840.716378927,0.000007849,0.000018139,0.000018083,1.000000000,0.000002701,0.000009520,-0.000008965
1789530840.749644518,-0.000003581,0.000031180,0.000013673,1.000000000,0.000014161,0.000012017,-0.000024950
1789530840.782896519,-0.000002831,0.000014805,0.000018902,1.000000000,0.000001418,0.000015731,-0.000010742
1789530840.816135168,0.000002461,0.000017310,0.000020599,1.000000000,0.000001997,0.000014939,-0.000014443
1789530840.849359274,0.000002679,0.000019426,0.000020001,1.000000000,0.000002784,0.000014312,-0.000012671
1789530840.882571220,0.000003808,0.000033487,0.000017569,1.000000000,0.000020338,0.000009576,-0.000021302
1789530840.915770054,-0.000000765,0.000024237,0.000014916,1.000000000,0.000012430,0.000011328,-0.000020113
1789530840.948955059,0.000006474,0.000018984,0.000019314,1.000000000,0.000000362,0.000012963,-0.000011742
1789530840.982125759,0.000002212,0.000050725,0.000012031,1.000000000,0.000037888,0.000001846,-0.000033262
1789530841.015284061,0.000004197,0.000016819,0.000015181,1.000000000,0.000003901,0.000010062,-0.000012372
1789530841.048429251,-0.000005658,0.000022594,0.000017121,1.000000000,0.000008818,0.000019448,-0.000020620
1789530841.081559896,-0.000002481,0.000024177,0.000014001,1.000000000,0.000013913,0.000013173,-0.000020035
1789530841.114677906,0.000007599,0.000016113,0.000007363,1.000000000,0.000002638,0.000000322,-0.000011441
1789530841.147783041,0.000005144,0.000034115,0.000018121,1.000000000,0.000019938,0.000009226,-0.000023294
1789530841.180874348,0.000009078,0.000019662,0.000015683,1.000000000,0.000001703,0.000009124,-0.000009637
1789530841.213951349,0.000000573,0.000016721,0.000015556,1.000000000,0.000003470,0.000011227,-0.000011444
1789530841.247016191,0.000000329,0.000013170,0.000007667,1.000000000,0.000003314,0.000007582,-0.000011153
1789530841.280069113,0.000005547,0.000018772,0.000013553,1.000000000,0.000004823,0.000005499,-0.000011678
1789530841.313451529,-0.000000954,0.000045237,0.000017144,1.000000000,0.000027495,0.000015288,-0.000030724
1789530841.346829891,-0.000006515,0.000031060,0.000004816,1.000000000,0.000016915,0.000010982,-0.000023405
1789530841.380206108,0.000012284,0.000017838,0.000017202,1.000000000,-0.000002202,0.000006007,-0.000010467
1789530841.413579464,-0.000002515,0.000036486,0.000009415,1.000000000,0.000025031,0.000009818,-0.000025947
1789530841.446948528,0.000012343,0.000021209,0.000021003,1.000000000,0.000004247,0.000012099,-0.000012176
1789530841.480315685,0.000006504,0.000022394,0.000021458,1.000000000,0.000004016,0.000012194,-0.000015094
1789530841.513679743,-0.000002254,0.000038523,0.000010361,1.000000000,0.000023966,0.000007405,-0.000030891
1789530841.547040701,-0.000004203,0.000022366,0.000007547,1.000000000,0.000013384,0.000007645,-0.000021369
1789530841.580397606,0.000003752,0.000030910,0.000021038,1.000000000,0.000016158,0.000011050,-0.000025383
1789530841.613752365,0.000004536,0.000013768,0.000010525,1.000000000,0.000002430,0.000003785,-0.000010379
1789530841.647104263,0.000004830,0.000019680,0.000022247,1.000000000,0.000003910,0.000013824,-0.000011806
1789530841.680452108,0.000002106,0.000020174,0.000011660,1.000000000,0.000007892,0.000005921,-0.000014435
1789530841.713797569,-0.000003854,0.000047330,0.000004647,1.000000000,0.000033169,0.000007338,-0.000033440
