t_sec,x,y,z,qw,qx,qy,qz
1789388504.856495380,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789388504.889875650,0.000008893,0.000000801,0.000019973,1.000000000,-0.000000520,-0.000011070,-0.000011352
1789388504.923245907,0.000000524,0.000000032,0.000027525,1.000000000,-0.000001569,-0.000005004,-0.000008357
1789388504.956605196,-0.000001578,-0.000000879,0.000044809,1.000000000,0.000001175,-0.000010163,-0.000005121
1789388504.989953279,0.000002454,-0.000003637,0.000029356,1.000000000,-0.000003886,-0.000003755,-0.000010451
1789388505.023289442,-0.000001838,-0.000007406,0.000021397,1.000000000,-0.000010119,-0.000002743,-0.000017607
1789388505.056615829,0.000012861,0.000006831,0.000016480,1.000000000,0.000001144,-0.000015126,-0.000014713
1789388505.089931011,0.000007351,0.000002042,0.000023233,1.000000000,0.000001221,-0.000008299,-0.000012704
1789388505.123234749,0.000021600,0.000006199,0.000031173,1.000000000,0.000006827,-0.000025365,-0.000004953
1789388505.156527042,0.000005578,-0.000002815,0.000018767,1.000000000,-0.000011439,-0.000010834,-0.000015567
1789388505.189809084,-0.000000726,-0.000006687,0.000015946,1.000000000,-0.000010476,-0.000002059,-0.000019207
1789388505.223079920,0.000014000,0.000004689,0.000011880,1.000000000,0.000001941,-0.000014363,-0.000014587
1789388505.256338835,0.000009658,-0.000002894,0.000019661,1.000000000,-0.000005441,-0.000014291,-0.000012147
1789388505.289587736,-0.000001070,0.000003563,0.000026569,1.000000000,0.000002702,0.000002137,-0.000007140
1789388505.322825432,0.000011119,0.000004384,0.000008415,1.000000000,0.000000497,-0.000015283,-0.000015650
1789388505.356052160,0.000010252,-0.000000053,0.000020902,1.000000000,0.000000026,-0.000012551,-0.000007066
1789388505.389267206,-0.000005475,-0.000005062,0.000020915,1.000000000,-0.000007599,0.000003515,-0.000017321
1789388505.422471762,0.000003620,-0.000002960,0.000013474,1.000000000,-0.000004946,-0.000007378,-0.000011243
1789388505.455665350,-0.000004509,-0.000000569,0.000028591,1.000000000,0.000002022,-0.000000823,-0.000011760
1789388505.488847971,0.000004571,0.000001341,0.000017263,1.000000000,-0.000002889,-0.000007410,-0.000017060
1789388505.522018671,0.000001400,-0.000002124,0.000030305,1.000000000,-0.000004930,-0.000009243,-0.000012958
1789388505.555178881,0.000010790,-0.000003410,0.000017213,1.000000000,-0.000004794,-0.000011963,-0.000012426
1789388505.588328600,0.000013123,0.000006205,0.000011103,1.000000000,0.000000874,-0.000011907,-0.000011742
1789388505.621467352,0.000004992,-0.000007086,0.000024557,1.000000000,-0.000008442,-0.000009089,-0.000008657
1789388505.654839277,0.000008938,-0.000013639,0.000015057,1.000000000,-0.000023680,-0.000014642,-0.000018339
1789388505.688207626,0.000001003,0.000002659,0.000022548,1.000000000,0.000002724,-0.000006539,-0.000018075
1789388505.721571922,0.000004187,0.000003373,0.000013435,1.000000000,-0.000001209,-0.000006567,-0.000010579
1789388505.754931688,0.000005542,0.000006478,0.000024527,1.000000000,0.000007028,-0.000011376,-0.000013421
