t_sec,x,y,z,qw,qx,qy,qz
1789388504.856495380,0.000000574,0.000000685,-0.000000585,0.999998465,0.001222378,-0.001219292,-0.000296866
1789388504.889875650,-0.000056873,-0.000070754,0.000059542,0.999998450,0.001217215,-0.001235289,-0.000304376
1789388504.923245907,-0.000069152,-0.000089672,0.000068303,0.999998460,0.001211510,-0.001234167,-0.000297519
1789388504.956605196,-0.000064037,-0.000088324,0.000054118,0.999998452,0.001209594,-0.001244271,-0.000290430
1789388504.989953279,-0.000051305,-0.000083249,0.000032607,0.999998465,0.001199887,-0.001242795,-0.000291902
1789388505.023289442,-0.000036932,-0.000084563,0.000009333,0.999998472,0.001189009,-0.001246713,-0.000295209
1789388505.056615829,-0.000021060,-0.000095285,-0.000012661,0.999998445,0.001195610,-0.001264043,-0.000288461
1789388505.089931011,-0.000001924,-0.000113040,-0.000030412,0.999998454,0.001191033,-0.001262159,-0.000282587
1789388505.123234749,0.000015148,-0.000134940,-0.000048408,0.999998428,0.001191970,-0.001284177,-0.000270995
1789388505.156527042,0.000032120,-0.000159592,-0.000065296,0.999998466,0.001169067,-0.001274567,-0.000277757
1789388505.189809084,0.000053695,-0.000189486,-0.000081774,0.999998475,0.001165383,-0.001270728,-0.000277529
1789388505.223079920,0.000078461,-0.000223275,-0.000096135,0.999998449,0.001169293,-0.001289443,-0.000270163
1789388505.256338835,0.000106425,-0.000260926,-0.000106209,0.999998460,0.001153411,-0.001295772,-0.000264984
1789388505.289587736,0.000139435,-0.000303166,-0.000115408,0.999998476,0.001153057,-0.001285755,-0.000257199
1789388505.322825432,0.000171875,-0.000349921,-0.000123607,0.999998455,0.001142359,-0.001309564,-0.000262988
1789388505.356052160,0.000204219,-0.000402918,-0.000127103,0.999998464,0.001133382,-0.001313244,-0.000251654
1789388505.389267206,0.000238036,-0.000459284,-0.000126237,0.999998493,0.001117277,-0.001303562,-0.000259149
1789388505.422471762,0.000272492,-0.000519883,-0.000122397,0.999998479,0.001111423,-0.001320865,-0.000250335
1789388505.455665350,0.000307309,-0.000584498,-0.000113160,0.999998481,0.001109897,-0.001320713,-0.000248089
1789388505.488847971,0.000341844,-0.000652952,-0.000099272,0.999998478,0.001096492,-0.001333692,-0.000250656
1789388505.522018671,0.000372942,-0.000726606,-0.000079377,0.999998480,0.001085949,-0.001341930,-0.000243812
1789388505.555178881,0.000396841,-0.000804538,-0.000050552,0.999998475,0.001077815,-0.001352602,-0.000243179
1789388505.588328600,0.000416919,-0.000884970,-0.000010349,0.999998467,0.001075215,-0.001360500,-0.000242384
1789388505.621467352,0.000430388,-0.000967033,0.000039012,0.999998480,0.001057629,-0.001365635,-0.000239201
1789388505.654839277,0.000432392,-0.001048881,0.000098974,0.999998483,0.001034131,-0.001379120,-0.000248803
1789388505.688207626,0.000423947,-0.001129205,0.000174566,0.999998465,0.001052270,-0.001378978,-0.000248395
1789388505.721571922,0.000398894,-0.001203484,0.000267395,0.999998468,0.001040061,-0.001386966,-0.000240799
1789388505.754931688,0.000356590,-0.001273759,0.000378121,0.999998450,0.001040032,-0.001399725,-0.000243535
1789388505.788288593,0.000300307,-0.001336803,0.000504648,0.999998461,0.001022223,-0.001406830,-0.000233478
1789388505.821641922,0.000224732,-0.001385386,0.000647116,0.999998459,0.001007688,-0.001417097,-0.000241693
1789388505.854990244,0.000121975,-0.001415713,0.000814469,0.999998441,0.001017304,-0.001424301,-0.000233163
1789388505.888335943,-0.000010599,-0.001421240,0.001009051,0.999998464,0.001018753,-0.001407284,-0.000229982
1789388505.921677828,-0.000168878,-0.001405400,0.001219857,0.999998443,0.001033765,-0.001409457,-0.000242990
1789388505.955015898,-0.000342997,-0.001376382,0.001435601,0.999998465,0.001039953,-0.001390083,-0.000235339
1789388505.988349199,-0.000518249,-0.001336425,0.001637321,0.999998474,0.001041392,-0.001382205,-0.000240416
1789388506.021679878,-0.000683255,-0.001286872,0.001808608,0.999998458,0.001057458,-0.001380630,-0.000243755
1789388506.055006742,-0.000833830,-0.001226899,0.001935944,0.999998458,0.001070568,-0.001370508,-0.000242277
1789388506.088329792,-0.000971020,-0.001163049,0.002023669,0.999998449,0.001085242,-0.001367858,-0.000231172
1789388506.121648312,-0.001096105,-0.001100797,0.002080466,0.999998472,0.001091207,-0.001345266,-0.000236843
1789388506.154963970,-0.001207733,-0.001044947,0.002102060,0.999998489,0.001088176,-0.001337107,-0.000225641
1789388506.188275576,-0.001297048,-0.000999713,0.002079234,0.999998461,0.001109565,-0.001339872,-0.000227030
1789388506.221582651,-0.001358311,-0.000967695,0.002007861,0.999998494,0.001102338,-0.001319459,-0.000235055
1789388506.254886866,-0.001401734,-0.000946202,0.001899639,0.999998485,0.001098461,-0.001329628,-0.000235762
1789388506.288187504,-0.001429335,-0.000931624,0.001774878,0.999998487,0.001097240,-0.001327664,-0.000243472
1789388506.321484327,-0.001444030,-0.000923794,0.001645418,0.999998476,0.001100314,-0.001332222,-0.000250128
1789388506.354776382,-0.001448648,-0.000922251,0.001523004,0.999998501,0.001092060,-0.001320455,-0.000249356
1789388506.388065577,-0.001440196,-0.000926954,0.001412928,0.999998489,0.001095073,-0.001325089,-0.000257602
1789388506.421351433,-0.001421583,-0.000935793,0.001314634,0.999998500,0.001089960,-0.001321567,-0.000256245
1789388506.454632998,-0.001400473,-0.000948471,0.001230146,0.999998498,0.001088064,-0.001324232,-0.000257393
1789388506.487909794,-0.001377189,-0.000962408,0.001163180,0.999998512,0.001071691,-0.001326325,-0.000259814
1789388506.521184444,-0.001353601,-0.000978817,0.001117959,0.999998502,0.001079313,-0.001326866,-0.000266520
1789388506.554454803,-0.001331213,-0.000998754,0.001101788,0.999998522,0.001084549,-0.001307031,-0.000268245
1789388506.587720394,-0.001310659,-0.001020568,0.001103965,0.999998496,0.001084319,-0.001324863,-0.000276671
1789388506.620984077,-0.001289657,-0.001043335,0.001119069,0.999998518,0.001071113,-0.001316196,-0.000290280
1789388506.654236555,-0.001270156,-0.001070167,0.001148750,0.999998519,0.001087622,-0.001304649,-0.000278932
1789388506.687484026,-0.001248115,-0.001100341,0.001188040,0.999998533,0.001074880,-0.001302565,-0.000285191
1789388506.720725775,-0.001221873,-0.001136232,0.001236768,0.999998534,0.001066062,-0.001308788,-0.000286219
1789388506.753963470,-0.001195881,-0.001175666,0.001291358,0.999998543,0.001066876,-0.001300276,-0.000291060
1789388506.787195683,-0.001171732,-0.001217492,0.001346777,0.999998531,0.001074766,-0.001302566,-0.000292683
1789388506.820423365,-0.001146638,-0.001260200,0.001401238,0.999998534,0.001070206,-0.001300936,-0.000307433
1789388506.853645086,-0.001121183,-0.001304272,0.001449600,0.999998548,0.001065987,-0.001295066,-0.000301115
1789388506.886862516,-0.001095487,-0.001348039,0.001486920,0.999998541,0.001064687,-0.001299897,-0.000308340
1789388506.920075178,-0.001068847,-0.001390871,0.001516545,0.999998516,0.001072303,-0.001306854,-0.000331072
1789388506.953281641,-0.001042453,-0.001432282,0.001539749,0.999998509,0.001074462,-0.001308875,-0.000339610
1789388506.986484051,-0.001017913,-0.001472281,0.001551220,0.999998473,0.001085545,-0.001324850,-0.000348078
