t_sec,x,y,z,qw,qx,qy,qz
1789388504.856495380,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789388504.889875650,0.000008719,0.000000785,0.000019583,1.000000000,-0.000000520,-0.000011070,-0.000011352
1789388504.923245907,0.000000514,0.000000032,0.000026988,1.000000000,-0.000001569,-0.000005004,-0.000008357
1789388504.956605196,-0.000001548,-0.000000862,0.000043933,1.000000000,0.000001175,-0.000010163,-0.000005121
1789388504.989953279,0.000002406,-0.000003566,0.000028783,1.000000000,-0.000003886,-0.000003755,-0.000010451
1789388505.023289442,-0.000001802,-0.000007261,0.000020979,1.000000000,-0.000010119,-0.000002743,-0.000017607
1789388505.056615829,0.000012610,0.000006698,0.000016158,1.000000000,0.000001144,-0.000015126,-0.000014713
1789388505.089931011,0.000007207,0.000002002,0.000022780,1.000000000,0.000001221,-0.000008299,-0.000012704
1789388505.123234749,0.000021178,0.000006078,0.000030564,1.000000000,0.000006827,-0.000025365,-0.000004953
1789388505.156527042,0.000005469,-0.000002760,0.000018400,1.000000000,-0.000011439,-0.000010834,-0.000015567
1789388505.189809084,-0.000000711,-0.000006557,0.000015634,1.000000000,-0.000010476,-0.000002059,-0.000019207
1789388505.223079920,0.000013727,0.000004597,0.000011648,1.000000000,0.000001941,-0.000014363,-0.000014587
1789388505.256338835,0.000009469,-0.000002837,0.000019277,1.000000000,-0.000005441,-0.000014291,-0.000012147
1789388505.289587736,-0.000001049,0.000003493,0.000026050,1.000000000,0.000002702,0.000002137,-0.000007140
1789388505.322825432,0.000010902,0.000004299,0.000008250,1.000000000,0.000000497,-0.000015283,-0.000015650
1789388505.356052160,0.000010051,-0.000000052,0.000020493,1.000000000,0.000000026,-0.000012551,-0.000007066
1789388505.389267206,-0.000005368,-0.000004963,0.000020506,1.000000000,-0.000007599,0.000003515,-0.000017321
1789388505.422471762,0.000003549,-0.000002902,0.000013210,1.000000000,-0.000004946,-0.000007378,-0.000011243
