t_sec,x,y,z,qw,qx,qy,qz
1789388504.856495380,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789388504.889875650,0.000008862,0.000000798,0.000019902,1.000000000,-0.000000520,-0.000011070,-0.000011352
1789388504.923245907,0.000000522,0.000000032,0.000027428,1.000000000,-0.000001569,-0.000005004,-0.000008357
1789388504.956605196,-0.000001573,-0.000000876,0.000044649,1.000000000,0.000001175,-0.000010163,-0.000005121
1789388504.989953279,0.000002446,-0.000003624,0.000029252,1.000000000,-0.000003886,-0.000003755,-0.000010451
1789388505.023289442,-0.000001832,-0.000007379,0.000021321,1.000000000,-0.000010119,-0.000002743,-0.000017607
1789388505.056615829,0.000012816,0.000006807,0.000016422,1.000000000,0.000001144,-0.000015126,-0.000014713
1789388505.089931011,0.000007325,0.000002034,0.000023151,1.000000000,0.000001221,-0.000008299,-0.000012704
1789388505.123234749,0.000021523,0.000006177,0.000031063,1.000000000,0.000006827,-0.000025365,-0.000004953
1789388505.156527042,0.000005559,-0.000002805,0.000018700,1.000000000,-0.000011439,-0.000010834,-0.000015567
1789388505.189809084,-0.000000723,-0.000006664,0.000015889,1.000000000,-0.000010476,-0.000002059,-0.000019207
1789388505.223079920,0.000013951,0.000004672,0.000011837,1.000000000,0.000001941,-0.000014363,-0.000014587
1789388505.256338835,0.000009624,-0.000002883,0.000019591,1.000000000,-0.000005441,-0.000014291,-0.000012147
1789388505.289587736,-0.000001066,0.000003550,0.000026475,1.000000000,0.000002702,0.000002137,-0.000007140
1789388505.322825432,0.000011080,0.000004369,0.000008385,1.000000000,0.000000497,-0.000015283,-0.000015650
1789388505.356052160,0.000010215,-0.000000053,0.000020827,1.000000000,0.000000026,-0.000012551,-0.000007066
1789388505.389267206,-0.000005456,-0.000005044,0.000020840,1.000000000,-0.000007599,0.000003515,-0.000017321
1789388505.422471762,0.000003607,-0.000002949,0.000013426,1.000000000,-0.000004946,-0.000007378,-0.000011243
1789388505.455665350,-0.000004493,-0.000000567,0.000028490,1.000000000,0.000002022,-0.000000823,-0.000011760
1789388505.488847971,0.000004555,0.000001336,0.000017201,1.000000000,-0.000002889,-0.000007410,-0.000017060
1789388505.522018671,0.000001395,-0.000002117,0.000030197,1.000000000,-0.000004930,-0.000009243,-0.000012958
1789388505.555178881,0.000010752,-0.000003398,0.000017152,1.000000000,-0.000004794,-0.000011963,-0.000012426
1789388505.588328600,0.000013077,0.000006183,0.000011063,1.000000000,0.000000874,-0.000011907,-0.000011742
1789388505.621467352,0.000004974,-0.000007061,0.000024470,1.000000000,-0.000008442,-0.000009089,-0.000008657
1789388505.654839277,0.000008906,-0.000013591,0.000015004,1.000000000,-0.000023680,-0.000014642,-0.000018339
1789388505.688207626,0.000001000,0.000002649,0.000022468,1.000000000,0.000002724,-0.000006539,-0.000018075
1789388505.721571922,0.000004172,0.000003361,0.000013388,1.000000000,-0.000001209,-0.000006567,-0.000010579
1789388505.754931688,0.000005522,0.000006455,0.000024440,1.000000000,0.000007028,-0.000011376,-0.000013421
1789388505.788288593,0.000001914,-0.000002329,0.000038355,1.000000000,-0.000002503,-0.000010519,-0.000003459
1789388505.821641922,0.000005859,-0.000005469,0.000029886,1.000000000,-0.000008778,-0.000012849,-0.000011769
1789388505.854990244,0.000004534,0.000005980,0.000030058,1.000000000,0.000009114,-0.000012083,-0.000003362
1789388505.888335943,-0.000001465,0.000001838,0.000027030,1.000000000,0.000000384,-0.000004490,-0.000001477
1789388505.921677828,0.000014678,0.000010570,0.000016012,1.000000000,0.000005207,-0.000016105,-0.000015768
1789388505.955015898,0.000003482,0.000002167,0.000028685,1.000000000,0.000001220,-0.000006148,-0.000009421
1789388505.988349199,0.000003912,-0.000003115,0.000017428,1.000000000,-0.000007526,-0.000007706,-0.000015780
1789388506.021679878,0.000007759,0.000003354,0.000024146,1.000000000,-0.000001640,-0.000015559,-0.000020408
1789388506.055006742,0.000013523,0.000008874,0.000014117,1.000000000,0.000001291,-0.000014859,-0.000020228
1789388506.088329792,0.000018943,0.000009952,0.000016375,1.000000000,0.000005800,-0.000021617,-0.000010413
1789388506.121648312,0.000008566,0.000006653,0.000020350,1.000000000,0.000001574,-0.000008460,-0.000017391
1789388506.154963970,0.000006558,-0.000011387,0.000030075,1.000000000,-0.000011624,-0.000009717,-0.000007467
1789388506.188275576,0.000016170,0.000003932,0.000024650,1.000000000,-0.000000411,-0.000021905,-0.000010146
1789388506.221582651,-0.000000846,-0.000000900,0.000021611,1.000000000,-0.000005071,-0.000001987,-0.000013964
1789388506.254886866,0.000009616,-0.000003310,0.000022106,1.000000000,-0.000006361,-0.000012640,-0.000010427
1789388506.288187504,0.000004951,-0.000000391,0.000028129,1.000000000,-0.000005008,-0.000011168,-0.000013913
1789388506.321484327,0.000009520,0.000003905,0.000020223,1.000000000,0.000000644,-0.000016215,-0.000016340
1789388506.354776382,-0.000000297,-0.000001089,0.000031875,1.000000000,-0.000005029,-0.000004932,-0.000011349
1789388506.388065577,0.000002444,0.000000744,0.000024272,1.000000000,0.000000560,-0.000010057,-0.000015366
1789388506.421351433,0.000004202,-0.000000756,0.000022629,1.000000000,-0.000001969,-0.000007017,-0.000009782
1789388506.454632998,0.000010196,0.000002097,0.000019651,1.000000000,-0.000001281,-0.000010166,-0.000006699
1789388506.487909794,0.000010913,-0.000011276,0.000018010,1.000000000,-0.000015072,-0.000012749,-0.000004873
1789388506.521184444,0.000011131,-0.000002506,0.000022893,1.000000000,-0.000004874,-0.000013778,-0.000007361
