t_sec,x,y,z,qw,qx,qy,qz
1789388504.856495380,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789388504.889875650,0.000008933,0.000000804,0.000020061,1.000000000,-0.000000520,-0.000011070,-0.000011352
1789388504.923245907,0.000000527,0.000000032,0.000027647,1.000000000,-0.000001569,-0.000005004,-0.000008357
1789388504.956605196,-0.000001585,-0.000000883,0.000045007,1.000000000,0.000001175,-0.000010163,-0.000005121
1789388504.989953279,0.000002465,-0.000003653,0.000029487,1.000000000,-0.000003886,-0.000003755,-0.000010451
1789388505.023289442,-0.000001846,-0.000007439,0.000021492,1.000000000,-0.000010119,-0.000002743,-0.000017607
1789388505.056615829,0.000012918,0.000006862,0.000016553,1.000000000,0.000001144,-0.000015126,-0.000014713
1789388505.089931011,0.000007383,0.000002051,0.000023336,1.000000000,0.000001221,-0.000008299,-0.000012704
1789388505.123234749,0.000021695,0.000006226,0.000031311,1.000000000,0.000006827,-0.000025365,-0.000004953
1789388505.156527042,0.000005603,-0.000002828,0.000018850,1.000000000,-0.000011439,-0.000010834,-0.000015567
1789388505.189809084,-0.000000729,-0.000006717,0.000016016,1.000000000,-0.000010476,-0.000002059,-0.000019207
1789388505.223079920,0.000014063,0.000004709,0.000011932,1.000000000,0.000001941,-0.000014363,-0.000014587
1789388505.256338835,0.000009701,-0.000002907,0.000019748,1.000000000,-0.000005441,-0.000014291,-0.000012147
1789388505.289587736,-0.000001074,0.000003579,0.000026687,1.000000000,0.000002702,0.000002137,-0.000007140
1789388505.322825432,0.000011169,0.000004404,0.000008452,1.000000000,0.000000497,-0.000015283,-0.000015650
1789388505.356052160,0.000010297,-0.000000053,0.000020994,1.000000000,0.000000026,-0.000012551,-0.000007066
1789388505.389267206,-0.000005499,-0.000005084,0.000021007,1.000000000,-0.000007599,0.000003515,-0.000017321
1789388505.422471762,0.000003636,-0.000002973,0.000013533,1.000000000,-0.000004946,-0.000007378,-0.000011243
1789388505.455665350,-0.000004529,-0.000000572,0.000028718,1.000000000,0.000002022,-0.000000823,-0.000011760
1789388505.488847971,0.000004591,0.000001347,0.000017339,1.000000000,-0.000002889,-0.000007410,-0.000017060
1789388505.522018671,0.000001406,-0.000002134,0.000030439,1.000000000,-0.000004930,-0.000009243,-0.000012958
1789388505.555178881,0.000010838,-0.000003425,0.000017290,1.000000000,-0.000004794,-0.000011963,-0.000012426
1789388505.588328600,0.000013182,0.000006232,0.000011152,1.000000000,0.000000874,-0.000011907,-0.000011742
1789388505.621467352,0.000005014,-0.000007118,0.000024666,1.000000000,-0.000008442,-0.000009089,-0.000008657
1789388505.654839277,0.000008978,-0.000013700,0.000015124,1.000000000,-0.000023680,-0.000014642,-0.000018339
1789388505.688207626,0.000001008,0.000002670,0.000022648,1.000000000,0.000002724,-0.000006539,-0.000018075
1789388505.721571922,0.000004206,0.000003388,0.000013495,1.000000000,-0.000001209,-0.000006567,-0.000010579
1789388505.754931688,0.000005566,0.000006507,0.000024636,1.000000000,0.000007028,-0.000011376,-0.000013421
1789388505.788288593,0.000001929,-0.000002348,0.000038663,1.000000000,-0.000002503,-0.000010519,-0.000003459
1789388505.821641922,0.000005906,-0.000005513,0.000030125,1.000000000,-0.000008778,-0.000012849,-0.000011769
1789388505.854990244,0.000004571,0.000006028,0.000030299,1.000000000,0.000009114,-0.000012083,-0.000003362
1789388505.888335943,-0.000001477,0.000001853,0.000027246,1.000000000,0.000000384,-0.000004490,-0.000001477
1789388505.921677828,0.000014796,0.000010655,0.000016140,1.000000000,0.000005207,-0.000016105,-0.000015768
1789388505.955015898,0.000003510,0.000002185,0.000028915,1.000000000,0.000001220,-0.000006148,-0.000009421
1789388505.988349199,0.000003944,-0.000003140,0.000017567,1.000000000,-0.000007526,-0.000007706,-0.000015780
1789388506.021679878,0.000007822,0.000003381,0.000024340,1.000000000,-0.000001640,-0.000015559,-0.000020408
1789388506.055006742,0.000013632,0.000008945,0.000014230,1.000000000,0.000001291,-0.000014859,-0.000020228
1789388506.088329792,0.000019095,0.000010032,0.000016506,1.000000000,0.000005800,-0.000021617,-0.000010413
1789388506.121648312,0.000008635,0.000006706,0.000020513,1.000000000,0.000001574,-0.000008460,-0.000017391
1789388506.154963970,0.000006611,-0.000011478,0.000030316,1.000000000,-0.000011624,-0.000009717,-0.000007467
1789388506.188275576,0.000016299,0.000003963,0.000024848,1.000000000,-0.000000411,-0.000021905,-0.000010146
1789388506.221582651,-0.000000853,-0.000000908,0.000021784,1.000000000,-0.000005071,-0.000001987,-0.000013964
1789388506.254886866,0.000009693,-0.000003337,0.000022283,1.000000000,-0.000006361,-0.000012640,-0.000010427
1789388506.288187504,0.000004990,-0.000000394,0.000028355,1.000000000,-0.000005008,-0.000011168,-0.000013913
1789388506.321484327,0.000009597,0.000003936,0.000020385,1.000000000,0.000000644,-0.000016215,-0.000016340
1789388506.354776382,-0.000000299,-0.000001097,0.000032131,1.000000000,-0.000005029,-0.000004932,-0.000011349
1789388506.388065577,0.000002464,0.000000750,0.000024466,1.000000000,0.000000560,-0.000010057,-0.000015366
1789388506.421351433,0.000004236,-0.000000762,0.000022811,1.000000000,-0.000001969,-0.000007017,-0.000009782
1789388506.454632998,0.000010277,0.000002114,0.000019808,1.000000000,-0.000001281,-0.000010166,-0.000006699
