t_sec,x,y,z,qw,qx,qy,qz
1789388504.856495380,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789388504.889875650,0.000008799,0.000000792,0.000019761,1.000000000,-0.000000520,-0.000011070,-0.000011352
1789388504.923245907,0.000000519,0.000000032,0.000027234,1.000000000,-0.000001569,-0.000005004,-0.000008357
1789388504.956605196,-0.000001562,-0.000000870,0.000044333,1.000000000,0.000001175,-0.000010163,-0.000005121
1789388504.989953279,0.000002428,-0.000003598,0.000029045,1.000000000,-0.000003886,-0.000003755,-0.000010451
1789388505.023289442,-0.000001819,-0.000007327,0.000021170,1.000000000,-0.000010119,-0.000002743,-0.000017607
1789388505.056615829,0.000012725,0.000006759,0.000016305,1.000000000,0.000001144,-0.000015126,-0.000014713
1789388505.089931011,0.000007273,0.000002020,0.000022987,1.000000000,0.000001221,-0.000008299,-0.000012704
1789388505.123234749,0.000021371,0.000006133,0.000030843,1.000000000,0.000006827,-0.000025365,-0.000004953
1789388505.156527042,0.000005519,-0.000002785,0.000018568,1.000000000,-0.000011439,-0.000010834,-0.000015567
1789388505.189809084,-0.000000718,-0.000006616,0.000015777,1.000000000,-0.000010476,-0.000002059,-0.000019207
1789388505.223079920,0.000013852,0.000004639,0.000011754,1.000000000,0.000001941,-0.000014363,-0.000014587
1789388505.256338835,0.000009555,-0.000002863,0.000019453,1.000000000,-0.000005441,-0.000014291,-0.000012147
1789388505.289587736,-0.000001058,0.000003525,0.000026287,1.000000000,0.000002702,0.000002137,-0.000007140
1789388505.322825432,0.000011001,0.000004338,0.000008325,1.000000000,0.000000497,-0.000015283,-0.000015650
1789388505.356052160,0.000010143,-0.000000053,0.000020680,1.000000000,0.000000026,-0.000012551,-0.000007066
1789388505.389267206,-0.000005417,-0.000005008,0.000020693,1.000000000,-0.000007599,0.000003515,-0.000017321
1789388505.422471762,0.000003581,-0.000002929,0.000013331,1.000000000,-0.000004946,-0.000007378,-0.000011243
1789388505.455665350,-0.000004461,-0.000000563,0.000028288,1.000000000,0.000002022,-0.000000823,-0.000011760
1789388505.488847971,0.000004522,0.000001327,0.000017079,1.000000000,-0.000002889,-0.000007410,-0.000017060
1789388505.522018671,0.000001385,-0.000002102,0.000029983,1.000000000,-0.000004930,-0.000009243,-0.000012958
1789388505.555178881,0.000010676,-0.000003374,0.000017031,1.000000000,-0.000004794,-0.000011963,-0.000012426
1789388505.588328600,0.000012984,0.000006139,0.000010985,1.000000000,0.000000874,-0.000011907,-0.000011742
1789388505.621467352,0.000004939,-0.000007011,0.000024297,1.000000000,-0.000008442,-0.000009089,-0.000008657
1789388505.654839277,0.000008843,-0.000013495,0.000014897,1.000000000,-0.000023680,-0.000014642,-0.000018339
1789388505.688207626,0.000000993,0.000002630,0.000022309,1.000000000,0.000002724,-0.000006539,-0.000018075
1789388505.721571922,0.000004143,0.000003337,0.000013293,1.000000000,-0.000001209,-0.000006567,-0.000010579
1789388505.754931688,0.000005483,0.000006409,0.000024267,1.000000000,0.000007028,-0.000011376,-0.000013421
1789388505.788288593,0.000001900,-0.000002312,0.000038084,1.000000000,-0.000002503,-0.000010519,-0.000003459
1789388505.821641922,0.000005817,-0.000005431,0.000029674,1.000000000,-0.000008778,-0.000012849,-0.000011769
1789388505.854990244,0.000004502,0.000005937,0.000029846,1.000000000,0.000009114,-0.000012083,-0.000003362
1789388505.888335943,-0.000001455,0.000001825,0.000026838,1.000000000,0.000000384,-0.000004490,-0.000001477
1789388505.921677828,0.000014574,0.000010496,0.000015898,1.000000000,0.000005207,-0.000016105,-0.000015768
1789388505.955015898,0.000003457,0.000002152,0.000028482,1.000000000,0.000001220,-0.000006148,-0.000009421
1789388505.988349199,0.000003884,-0.000003093,0.000017304,1.000000000,-0.000007526,-0.000007706,-0.000015780
1789388506.021679878,0.000007704,0.000003330,0.000023975,1.000000000,-0.000001640,-0.000015559,-0.000020408
1789388506.055006742,0.000013428,0.000008811,0.000014017,1.000000000,0.000001291,-0.000014859,-0.000020228
1789388506.088329792,0.000018809,0.000009882,0.000016259,1.000000000,0.000005800,-0.000021617,-0.000010413
1789388506.121648312,0.000008505,0.000006606,0.000020206,1.000000000,0.000001574,-0.000008460,-0.000017391
1789388506.154963970,0.000006512,-0.000011306,0.000029862,1.000000000,-0.000011624,-0.000009717,-0.000007467
1789388506.188275576,0.000016055,0.000003904,0.000024476,1.000000000,-0.000000411,-0.000021905,-0.000010146
1789388506.221582651,-0.000000840,-0.000000894,0.000021458,1.000000000,-0.000005071,-0.000001987,-0.000013964
1789388506.254886866,0.000009548,-0.000003287,0.000021950,1.000000000,-0.000006361,-0.000012640,-0.000010427
1789388506.288187504,0.000004916,-0.000000388,0.000027930,1.000000000,-0.000005008,-0.000011168,-0.000013913
1789388506.321484327,0.000009453,0.000003877,0.000020080,1.000000000,0.000000644,-0.000016215,-0.000016340
1789388506.354776382,-0.000000295,-0.000001081,0.000031650,1.000000000,-0.000005029,-0.000004932,-0.000011349
1789388506.388065577,0.000002427,0.000000739,0.000024100,1.000000000,0.000000560,-0.000010057,-0.000015366
1789388506.421351433,0.000004173,-0.000000751,0.000022469,1.000000000,-0.000001969,-0.000007017,-0.000009782
1789388506.454632998,0.000010124,0.000002082,0.000019511,1.000000000,-0.000001281,-0.000010166,-0.000006699
1789388506.487909794,0.000010835,-0.000011197,0.000017883,1.000000000,-0.000015072,-0.000012749,-0.000004873
1789388506.521184444,0.000011053,-0.000002488,0.000022731,1.000000000,-0.000004874,-0.000013778,-0.000007361
1789388506.554454803,-0.000007422,-0.000002190,0.000033507,1.000000000,0.000002090,0.000003521,-0.000005791
1789388506.587720394,0.000009990,0.000003583,0.000027340,1.000000000,0.000003592,-0.000016857,-0.000010865
1789388506.620984077,0.000008988,0.000000555,0.000007355,1.000000000,-0.000007897,-0.000010748,-0.000021144
1789388506.654236555,-0.000004058,0.000006919,0.000031777,1.000000000,0.000010357,-0.000001715,-0.000006503
1789388506.687484026,0.000001525,0.000000733,0.000016154,1.000000000,-0.000000657,-0.000002178,-0.000009423
1789388506.720725775,0.000005986,-0.000006550,0.000022235,1.000000000,-0.000007738,-0.000010941,-0.000007105
1789388506.753963470,0.000003722,-0.000004679,0.000021987,1.000000000,-0.000005197,-0.000004970,-0.000008631
1789388506.787195683,0.000006811,0.000005945,0.000022342,1.000000000,0.000004428,-0.000009794,-0.000006933
1789388506.820423365,0.000006821,0.000006126,0.000016121,1.000000000,0.000001586,-0.000010721,-0.000018352
1789388506.853645086,0.000002828,-0.000001031,0.000023989,1.000000000,-0.000000892,-0.000007379,-0.000008710
1789388506.886862516,0.000004464,-0.000004922,0.000019762,1.000000000,-0.000006630,-0.000007776,-0.000005672
1789388506.920075178,0.000006125,0.000001188,0.000019770,1.000000000,-0.000003470,-0.000010319,-0.000018148
1789388506.953281641,0.000001448,-0.000002715,0.000027568,1.000000000,-0.000005751,-0.000007907,-0.000016430
1789388506.986484051,0.000013691,0.000004104,0.000027871,1.000000000,0.000000895,-0.000019447,-0.000014634
1789388507.019681692,0.000010590,0.000011749,0.000017402,1.000000000,0.000009382,-0.000014819,-0.000012190
1789388507.052874327,0.000005473,0.000004443,0.000023505,1.000000000,0.000002560,-0.000011852,-0.000009189
1789388507.086060762,0.000017917,0.000007151,0.000019559,1.000000000,0.000007485,-0.000021876,0.000001911
1789388507.119243145,0.000006775,-0.000007110,0.000011196,1.000000000,-0.000017075,-0.000011310,-0.000020580
1789388507.152420759,0.000006788,0.000003433,0.000013847,1.000000000,0.000001797,-0.000010253,-0.000007174
1789388507.185592175,0.000007324,0.000000792,0.000020298,1.000000000,-0.000003543,-0.000009390,-0.000015581
1789388507.218759775,0.000005344,-0.000002788,0.000020950,1.000000000,-0.000004570,-0.000011695,-0.000018600
1789388507.251922131,0.000013024,-0.000001527,0.000025397,1.000000000,-0.000008718,-0.000019075,-0.000016184
1789388507.285079479,0.000000401,-0.000004003,0.000019199,1.000000000,-0.000007454,-0.000004256,-0.000015677
1789388507.318231106,0.000010271,0.000001471,0.000018945,1.000000000,-0.000003329,-0.000014422,-0.000014118
1789388507.351378679,-0.000000110,-0.000006836,0.000028347,1.000000000,-0.000010375,-0.000004366,-0.000012267
1789388507.384521008,0.000011312,0.000001846,0.000026775,1.000000000,-0.000001027,-0.000015508,-0.000009321
1789388507.417658329,0.000010817,-0.000005947,0.000018959,1.000000000,-0.000017252,-0.000014959,-0.000015011
1789388507.450789928,0.000002941,-0.000004561,0.000029598,1.000000000,-0.000013090,-0.000005707,-0.000020304
1789388507.483917475,-0.000001252,-0.000000703,0.000018764,1.000000000,-0.000004693,-0.000001876,-0.000018908
1789388507.517039776,0.000005697,-0.000000175,0.000016534,1.000000000,-0.000004749,-0.000009464,-0.000030095
1789388507.550156355,0.000004656,-0.000006194,0.000015852,1.000000000,-0.000011057,-0.000006990,-0.000014708
1789388507.583268881,0.000012534,-0.000001045,0.000019842,1.000000000,-0.000004893,-0.000018517,-0.000007829
1789388507.616376877,0.000012102,0.000007374,0.000026841,1.000000000,0.000008382,-0.000015401,-0.000003583
1789388507.649706125,0.000004549,-0.000002047,0.000023656,1.000000000,-0.000005291,-0.000004377,-0.000011862
1789388507.683033705,0.000001561,0.000001554,0.000019803,1.000000000,-0.000000105,-0.000003941,-0.000015163
1789388507.716362000,0.000010164,0.000000688,0.000019593,1.000000000,0.000000035,-0.000012909,-0.000008552
1789388507.749690294,0.000016353,0.000003870,0.000024632,1.000000000,0.000004828,-0.000021101,-0.000005416
1789388507.783018112,0.000006857,-0.000003429,0.000019154,1.000000000,-0.000007748,-0.000010522,-0.000012600
1789388507.816344738,0.000008104,0.000002625,0.000021254,1.000000000,-0.000000137,-0.000009026,-0.000011913
1789388507.849672079,0.000021350,0.000010816,0.000022258,1.000000000,0.000009026,-0.000025171,-0.000011417
1789388507.882998943,0.000006521,0.000002069,0.000010789,1.000000000,-0.000001593,-0.000011102,-0.000018200
1789388507.916324854,-0.000002367,-0.000009402,0.000018785,1.000000000,-0.000015228,-0.000001681,-0.000017592
1789388507.949651718,-0.000001321,-0.000004892,0.000020515,1.000000000,-0.000005046,-0.000001395,-0.000009014
1789388507.982977867,0.000008021,0.000002085,0.000020627,1.000000000,0.000001521,-0.000011406,-0.000011996
1789388508.016303778,0.000007217,0.000002188,0.000015259,1.000000000,0.000001764,-0.000011463,-0.000012741
1789388508.049628496,0.000000884,-0.000004480,0.000016837,1.000000000,-0.000004995,-0.000003499,-0.000011692
1789388508.082954168,0.000018159,0.000014102,0.000020760,1.000000000,0.000008564,-0.000023533,-0.000023229
1789388508.116279364,0.000002343,0.000001770,0.000016909,1.000000000,-0.000003965,-0.000006518,-0.000020067
1789388508.149604321,0.000008892,0.000004845,0.000024601,1.000000000,0.000003633,-0.000019270,-0.000011680
1789388508.182927847,-0.000001501,-0.000000356,0.000020705,1.000000000,-0.000002641,-0.000001128,-0.000013066
1789388508.216252089,0.000017271,0.000007967,0.000024526,1.000000000,0.000006345,-0.000021304,-0.000002202
1789388508.249576330,0.000004456,-0.000001857,0.000027373,1.000000000,-0.000005694,-0.000007343,-0.000002069
1789388508.282899141,0.000011068,0.000002752,0.000020784,1.000000000,-0.000000215,-0.000017890,-0.000014172
1789388508.316222906,0.000006948,0.000001133,0.000011620,1.000000000,-0.000001758,-0.000012278,-0.000018341
1789388508.349546194,0.000015929,-0.000013258,0.000014245,1.000000000,-0.000018334,-0.000022208,-0.000006236
1789388508.382869482,0.000010110,-0.000000972,0.000014179,1.000000000,-0.000006674,-0.000015501,-0.000014356
1789388508.416191101,0.000006544,0.000002253,0.000025698,1.000000000,0.000000359,-0.000010099,-0.000012832
1789388508.449513674,0.000000901,-0.000003815,0.000025775,1.000000000,-0.000002244,-0.000006822,-0.000006792
1789388508.482836008,0.000005846,-0.000005980,0.000020305,1.000000000,-0.000006688,-0.000009865,-0.000019460
1789388508.516156912,0.000002124,-0.000001893,0.000023961,1.000000000,-0.000002049,-0.000007311,-0.000008563
1789388508.549478769,0.000009986,0.000005423,0.000017441,1.000000000,0.000000341,-0.000016437,-0.000017598
1789388508.582800388,0.000006312,-0.000013211,0.000027791,1.000000000,-0.000016794,-0.000012003,-0.000015462
1789388508.616121292,-0.000006186,-0.000008370,0.000013080,1.000000000,-0.000013796,0.000002450,-0.000022128
1789388508.649452925,0.000003625,-0.000008461,0.000008496,1.000000000,-0.000017196,-0.000011978,-0.000022979
1789388508.682785511,0.000010600,-0.000002975,0.000022754,1.000000000,-0.000005171,-0.000012678,-0.000007205
1789388508.716117620,-0.000003132,-0.000002010,0.000032176,1.000000000,-0.000003689,-0.000005378,-0.000013424
1789388508.749449730,0.000002656,0.000002205,0.000016358,1.000000000,-0.000002652,-0.000005540,-0.000021593
1789388508.782781124,0.000005172,0.000000694,0.000016595,1.000000000,-0.000003648,-0.000010147,-0.000015760
1789388508.816112757,0.000007983,0.000005324,0.000022684,1.000000000,0.000002957,-0.000013745,-0.000014786
1789388508.849444866,0.000008418,0.000002866,0.000012221,1.000000000,-0.000000479,-0.000012545,-0.000010499
1789388508.882775307,0.000019979,0.000010125,0.000029024,1.000000000,0.000010789,-0.000021719,-0.000006475
1789388508.916107178,0.000008131,0.000003851,0.000025992,1.000000000,-0.000000871,-0.000013835,-0.000010446
1789388508.949438810,0.000002640,0.000008949,0.000016129,1.000000000,0.000005738,-0.000006216,-0.000016305
1789388508.982770205,0.000009643,0.000000552,0.000015667,1.000000000,-0.000002360,-0.000012954,-0.000010933
1789388509.016100645,0.000001300,-0.000008438,0.000021396,1.000000000,-0.000008770,-0.000006165,-0.000008435
1789388509.049431562,0.000005656,-0.000000323,0.000022069,1.000000000,-0.000002027,-0.000005698,-0.000008828
1789388509.082762957,0.000006609,-0.000005526,0.000027252,1.000000000,-0.000008789,-0.000014145,-0.000006859
1789388509.116094112,0.000011110,0.000000866,0.000022738,1.000000000,-0.000002216,-0.000016711,-0.000015239
1789388509.149423838,0.000004232,-0.000005379,0.000016606,1.000000000,-0.000010305,-0.000006813,-0.000012865
1789388509.182754755,-0.000002007,-0.000002170,0.000023253,1.000000000,-0.000004906,-0.000005586,-0.000012149
1789388509.216085434,0.000002529,-0.000002742,0.000025066,1.000000000,-0.000004523,-0.000005661,-0.000013759
1789388509.249414921,0.000008137,0.000006591,0.000014155,1.000000000,0.000004649,-0.000009984,-0.000005600
1789388509.282745600,0.000004203,-0.000004148,0.000026213,1.000000000,-0.000004022,-0.000011972,-0.000012269
1789388509.316076040,-0.000000259,0.000000943,0.000025831,1.000000000,-0.000002054,-0.000005554,-0.000019927
1789388509.349406242,0.000007669,0.000003420,0.000031520,1.000000000,0.000005227,-0.000017120,-0.000005959
1789388509.382735252,0.000002951,0.000000111,0.000025453,1.000000000,0.000000005,-0.000002725,-0.000010438
1789388509.416065454,0.000016302,0.000004969,0.000018718,1.000000000,0.000004271,-0.000017292,-0.000007196
1789388509.449395418,0.000007281,0.000005082,0.000020796,1.000000000,-0.000000758,-0.000006979,-0.000022683
1789388509.482725382,0.000011326,-0.000000029,0.000017005,1.000000000,-0.000004022,-0.000013946,-0.000014231
1789388509.516054153,0.000010612,-0.000000018,0.000019340,1.000000000,-0.000001037,-0.000015857,-0.000006868
1789388509.549383879,0.000011545,0.000000474,0.000032091,1.000000000,-0.000003346,-0.000016589,-0.000006799
1789388509.582713366,0.000016952,-0.000001572,0.000029023,1.000000000,-0.000002134,-0.000023807,-0.000009079
1789388509.616041899,0.000013988,0.000004129,0.000030534,1.000000000,0.000003616,-0.000022093,-0.000004881
1789388509.649376392,0.000004240,-0.000000355,0.000027306,1.000000000,-0.000003327,-0.000007678,-0.000008649
1789388509.682711124,0.000011917,-0.000002460,0.000015682,1.000000000,-0.000006616,-0.000013009,-0.000008156
1789388509.716045618,0.000005662,0.000002206,0.000018452,1.000000000,0.000001689,-0.000006345,0.000000261
1789388509.749379158,0.000014394,-0.000007790,0.000007200,1.000000000,-0.000016440,-0.000020441,-0.000008498
1789388509.782713652,-0.000001325,0.000000853,0.000016014,1.000000000,-0.000002291,-0.000001145,-0.000014343
1789388509.816048145,0.000010893,-0.000002635,0.000021324,1.000000000,-0.000008993,-0.000014388,-0.000008262
1789388509.849381447,0.000003641,0.000002485,0.000023684,1.000000000,0.000000829,-0.000006986,-0.000005421
1789388509.882715702,0.000015570,0.000003122,0.000022729,1.000000000,0.000002152,-0.000017008,-0.000003298
