t_sec,x,y,z,qw,qx,qy,qz
1789388504.856495380,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789388504.889875650,0.000024577,0.000002213,0.000055196,1.000000000,-0.000000520,-0.000011070,-0.000011352
1789388504.923245907,0.000001449,0.000000089,0.000076068,1.000000000,-0.000001569,-0.000005004,-0.000008357
1789388504.956605196,-0.000004362,-0.000002429,0.000123831,1.000000000,0.000001175,-0.000010163,-0.000005121
1789388504.989953279,0.000006783,-0.000010051,0.000081128,1.000000000,-0.000003886,-0.000003755,-0.000010451
1789388505.023289442,-0.000005080,-0.000020466,0.000059131,1.000000000,-0.000010119,-0.000002743,-0.000017607
1789388505.056615829,0.000035543,0.000018879,0.000045544,1.000000000,0.000001144,-0.000015126,-0.000014713
1789388505.089931011,0.000020314,0.000005642,0.000064207,1.000000000,0.000001221,-0.000008299,-0.000012704
1789388505.123234749,0.000059692,0.000017131,0.000086149,1.000000000,0.000006827,-0.000025365,-0.000004953
1789388505.156527042,0.000015416,-0.000007780,0.000051864,1.000000000,-0.000011439,-0.000010834,-0.000015567
1789388505.189809084,-0.000002005,-0.000018481,0.000044067,1.000000000,-0.000010476,-0.000002059,-0.000019207
1789388505.223079920,0.000038691,0.000012957,0.000032830,1.000000000,0.000001941,-0.000014363,-0.000014587
1789388505.256338835,0.000026690,-0.000007997,0.000054335,1.000000000,-0.000005441,-0.000014291,-0.000012147
1789388505.289587736,-0.000002956,0.000009846,0.000073425,1.000000000,0.000002702,0.000002137,-0.000007140
1789388505.322825432,0.000030729,0.000012116,0.000023254,1.000000000,0.000000497,-0.000015283,-0.000015650
1789388505.356052160,0.000028331,-0.000000147,0.000057763,1.000000000,0.000000026,-0.000012551,-0.000007066
1789388505.389267206,-0.000015131,-0.000013988,0.000057799,1.000000000,-0.000007599,0.000003515,-0.000017321
1789388505.422471762,0.000010003,-0.000008180,0.000037235,1.000000000,-0.000004946,-0.000007378,-0.000011243
1789388505.455665350,-0.000012460,-0.000001573,0.000079013,1.000000000,0.000002022,-0.000000823,-0.000011760
1789388505.488847971,0.000012632,0.000003706,0.000047706,1.000000000,-0.000002889,-0.000007410,-0.000017060
1789388505.522018671,0.000003869,-0.000005871,0.000083749,1.000000000,-0.000004930,-0.000009243,-0.000012958
1789388505.555178881,0.000029819,-0.000009423,0.000047570,1.000000000,-0.000004794,-0.000011963,-0.000012426
1789388505.588328600,0.000036267,0.000017147,0.000030683,1.000000000,0.000000874,-0.000011907,-0.000011742
