t_sec,x,y,z,qw,qx,qy,qz
1789388504.856495380,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789388504.889875650,0.000009646,0.000000869,0.000021663,1.000000000,-0.000000520,-0.000011070,-0.000011352
1789388504.923245907,0.000000569,0.000000035,0.000029854,1.000000000,-0.000001569,-0.000005004,-0.000008357
1789388504.956605196,-0.000001712,-0.000000953,0.000048600,1.000000000,0.000001175,-0.000010163,-0.000005121
1789388504.989953279,0.000002662,-0.000003945,0.000031840,1.000000000,-0.000003886,-0.000003755,-0.000010451
1789388505.023289442,-0.000001994,-0.000008032,0.000023207,1.000000000,-0.000010119,-0.000002743,-0.000017607
1789388505.056615829,0.000013949,0.000007409,0.000017875,1.000000000,0.000001144,-0.000015126,-0.000014713
1789388505.089931011,0.000007973,0.000002214,0.000025199,1.000000000,0.000001221,-0.000008299,-0.000012704
1789388505.123234749,0.000023427,0.000006723,0.000033811,1.000000000,0.000006827,-0.000025365,-0.000004953
1789388505.156527042,0.000006050,-0.000003053,0.000020355,1.000000000,-0.000011439,-0.000010834,-0.000015567
1789388505.189809084,-0.000000787,-0.000007253,0.000017295,1.000000000,-0.000010476,-0.000002059,-0.000019207
1789388505.223079920,0.000015185,0.000005085,0.000012885,1.000000000,0.000001941,-0.000014363,-0.000014587
1789388505.256338835,0.000010475,-0.000003139,0.000021325,1.000000000,-0.000005441,-0.000014291,-0.000012147
1789388505.289587736,-0.000001160,0.000003864,0.000028817,1.000000000,0.000002702,0.000002137,-0.000007140
1789388505.322825432,0.000012060,0.000004755,0.000009126,1.000000000,0.000000497,-0.000015283,-0.000015650
1789388505.356052160,0.000011119,-0.000000058,0.000022670,1.000000000,0.000000026,-0.000012551,-0.000007066
1789388505.389267206,-0.000005938,-0.000005490,0.000022684,1.000000000,-0.000007599,0.000003515,-0.000017321
1789388505.422471762,0.000003926,-0.000003210,0.000014614,1.000000000,-0.000004946,-0.000007378,-0.000011243
1789388505.455665350,-0.000004890,-0.000000617,0.000031010,1.000000000,0.000002022,-0.000000823,-0.000011760
1789388505.488847971,0.000004958,0.000001454,0.000018723,1.000000000,-0.000002889,-0.000007410,-0.000017060
1789388505.522018671,0.000001518,-0.000002304,0.000032869,1.000000000,-0.000004930,-0.000009243,-0.000012958
1789388505.555178881,0.000011703,-0.000003698,0.000018670,1.000000000,-0.000004794,-0.000011963,-0.000012426
1789388505.588328600,0.000014234,0.000006730,0.000012042,1.000000000,0.000000874,-0.000011907,-0.000011742
1789388505.621467352,0.000005414,-0.000007686,0.000026635,1.000000000,-0.000008442,-0.000009089,-0.000008657
1789388505.654839277,0.000009694,-0.000014793,0.000016331,1.000000000,-0.000023680,-0.000014642,-0.000018339
1789388505.688207626,0.000001088,0.000002883,0.000024455,1.000000000,0.000002724,-0.000006539,-0.000018075
1789388505.721571922,0.000004542,0.000003659,0.000014572,1.000000000,-0.000001209,-0.000006567,-0.000010579
1789388505.754931688,0.000006011,0.000007026,0.000026603,1.000000000,0.000007028,-0.000011376,-0.000013421
1789388505.788288593,0.000002083,-0.000002535,0.000041749,1.000000000,-0.000002503,-0.000010519,-0.000003459
1789388505.821641922,0.000006377,-0.000005953,0.000032530,1.000000000,-0.000008778,-0.000012849,-0.000011769
1789388505.854990244,0.000004936,0.000006509,0.000032718,1.000000000,0.000009114,-0.000012083,-0.000003362
1789388505.888335943,-0.000001595,0.000002001,0.000029421,1.000000000,0.000000384,-0.000004490,-0.000001477
1789388505.921677828,0.000015977,0.000011506,0.000017428,1.000000000,0.000005207,-0.000016105,-0.000015768
1789388505.955015898,0.000003790,0.000002359,0.000031223,1.000000000,0.000001220,-0.000006148,-0.000009421
1789388505.988349199,0.000004258,-0.000003390,0.000018969,1.000000000,-0.000007526,-0.000007706,-0.000015780
1789388506.021679878,0.000008446,0.000003651,0.000026282,1.000000000,-0.000001640,-0.000015559,-0.000020408
