t_sec,x,y,z,qw,qx,qy,qz
1789388504.856495380,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789388504.889875650,0.000009337,0.000000841,0.000020970,1.000000000,-0.000000520,-0.000011070,-0.000011352
1789388504.923245907,0.000000551,0.000000034,0.000028900,1.000000000,-0.000001569,-0.000005004,-0.000008357
1789388504.956605196,-0.000001657,-0.000000923,0.000047046,1.000000000,0.000001175,-0.000010163,-0.000005121
1789388504.989953279,0.000002577,-0.000003819,0.000030822,1.000000000,-0.000003886,-0.000003755,-0.000010451
1789388505.023289442,-0.000001930,-0.000007775,0.000022465,1.000000000,-0.000010119,-0.000002743,-0.000017607
1789388505.056615829,0.000013503,0.000007172,0.000017303,1.000000000,0.000001144,-0.000015126,-0.000014713
1789388505.089931011,0.000007718,0.000002144,0.000024393,1.000000000,0.000001221,-0.000008299,-0.000012704
1789388505.123234749,0.000022678,0.000006508,0.000032730,1.000000000,0.000006827,-0.000025365,-0.000004953
1789388505.156527042,0.000005857,-0.000002956,0.000019704,1.000000000,-0.000011439,-0.000010834,-0.000015567
1789388505.189809084,-0.000000762,-0.000007021,0.000016742,1.000000000,-0.000010476,-0.000002059,-0.000019207
1789388505.223079920,0.000014699,0.000004923,0.000012473,1.000000000,0.000001941,-0.000014363,-0.000014587
1789388505.256338835,0.000010140,-0.000003038,0.000020643,1.000000000,-0.000005441,-0.000014291,-0.000012147
1789388505.289587736,-0.000001123,0.000003741,0.000027896,1.000000000,0.000002702,0.000002137,-0.000007140
1789388505.322825432,0.000011675,0.000004603,0.000008835,1.000000000,0.000000497,-0.000015283,-0.000015650
1789388505.356052160,0.000010763,-0.000000056,0.000021945,1.000000000,0.000000026,-0.000012551,-0.000007066
1789388505.389267206,-0.000005749,-0.000005314,0.000021959,1.000000000,-0.000007599,0.000003515,-0.000017321
1789388505.422471762,0.000003800,-0.000003108,0.000014146,1.000000000,-0.000004946,-0.000007378,-0.000011243
1789388505.455665350,-0.000004734,-0.000000598,0.000030019,1.000000000,0.000002022,-0.000000823,-0.000011760
1789388505.488847971,0.000004799,0.000001408,0.000018124,1.000000000,-0.000002889,-0.000007410,-0.000017060
1789388505.522018671,0.000001470,-0.000002231,0.000031818,1.000000000,-0.000004930,-0.000009243,-0.000012958
1789388505.555178881,0.000011329,-0.000003580,0.000018073,1.000000000,-0.000004794,-0.000011963,-0.000012426
