t_sec,x,y,z,qw,qx,qy,qz
1789388504.856495380,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789388504.889875650,0.000009281,0.000000836,0.000020843,1.000000000,-0.000000520,-0.000011070,-0.000011352
1789388504.923245907,0.000000547,0.000000034,0.000028724,1.000000000,-0.000001569,-0.000005004,-0.000008357
1789388504.956605196,-0.000001647,-0.000000917,0.000046760,1.000000000,0.000001175,-0.000010163,-0.000005121
1789388504.989953279,0.000002561,-0.000003795,0.000030635,1.000000000,-0.000003886,-0.000003755,-0.000010451
1789388505.023289442,-0.000001918,-0.000007728,0.000022328,1.000000000,-0.000010119,-0.000002743,-0.000017607
1789388505.056615829,0.000013421,0.000007129,0.000017198,1.000000000,0.000001144,-0.000015126,-0.000014713
1789388505.089931011,0.000007671,0.000002130,0.000024245,1.000000000,0.000001221,-0.000008299,-0.000012704
1789388505.123234749,0.000022540,0.000006469,0.000032531,1.000000000,0.000006827,-0.000025365,-0.000004953
1789388505.156527042,0.000005821,-0.000002938,0.000019584,1.000000000,-0.000011439,-0.000010834,-0.000015567
1789388505.189809084,-0.000000757,-0.000006979,0.000016640,1.000000000,-0.000010476,-0.000002059,-0.000019207
1789388505.223079920,0.000014610,0.000004893,0.000012397,1.000000000,0.000001941,-0.000014363,-0.000014587
1789388505.256338835,0.000010078,-0.000003020,0.000020517,1.000000000,-0.000005441,-0.000014291,-0.000012147
1789388505.289587736,-0.000001116,0.000003718,0.000027726,1.000000000,0.000002702,0.000002137,-0.000007140
1789388505.322825432,0.000011604,0.000004575,0.000008781,1.000000000,0.000000497,-0.000015283,-0.000015650
1789388505.356052160,0.000010698,-0.000000056,0.000021812,1.000000000,0.000000026,-0.000012551,-0.000007066
1789388505.389267206,-0.000005714,-0.000005282,0.000021825,1.000000000,-0.000007599,0.000003515,-0.000017321
1789388505.422471762,0.000003777,-0.000003089,0.000014060,1.000000000,-0.000004946,-0.000007378,-0.000011243
1789388505.455665350,-0.000004705,-0.000000594,0.000029836,1.000000000,0.000002022,-0.000000823,-0.000011760
1789388505.488847971,0.000004770,0.000001399,0.000018014,1.000000000,-0.000002889,-0.000007410,-0.000017060
1789388505.522018671,0.000001461,-0.000002217,0.000031624,1.000000000,-0.000004930,-0.000009243,-0.000012958
1789388505.555178881,0.000011260,-0.000003558,0.000017963,1.000000000,-0.000004794,-0.000011963,-0.000012426
1789388505.588328600,0.000013695,0.000006475,0.000011586,1.000000000,0.000000874,-0.000011907,-0.000011742
1789388505.621467352,0.000005209,-0.000007395,0.000025627,1.000000000,-0.000008442,-0.000009089,-0.000008657
1789388505.654839277,0.000009327,-0.000014233,0.000015713,1.000000000,-0.000023680,-0.000014642,-0.000018339
1789388505.688207626,0.000001047,0.000002774,0.000023530,1.000000000,0.000002724,-0.000006539,-0.000018075
1789388505.721571922,0.000004370,0.000003520,0.000014020,1.000000000,-0.000001209,-0.000006567,-0.000010579
1789388505.754931688,0.000005783,0.000006760,0.000025596,1.000000000,0.000007028,-0.000011376,-0.000013421
1789388505.788288593,0.000002004,-0.000002439,0.000040168,1.000000000,-0.000002503,-0.000010519,-0.000003459
1789388505.821641922,0.000006136,-0.000005728,0.000031298,1.000000000,-0.000008778,-0.000012849,-0.000011769
1789388505.854990244,0.000004749,0.000006262,0.000031479,1.000000000,0.000009114,-0.000012083,-0.000003362
1789388505.888335943,-0.000001535,0.000001925,0.000028307,1.000000000,0.000000384,-0.000004490,-0.000001477
1789388505.921677828,0.000015372,0.000011070,0.000016769,1.000000000,0.000005207,-0.000016105,-0.000015768
1789388505.955015898,0.000003646,0.000002270,0.000030041,1.000000000,0.000001220,-0.000006148,-0.000009421
1789388505.988349199,0.000004097,-0.000003262,0.000018251,1.000000000,-0.000007526,-0.000007706,-0.000015780
1789388506.021679878,0.000008126,0.000003513,0.000025287,1.000000000,-0.000001640,-0.000015559,-0.000020408
1789388506.055006742,0.000014163,0.000009293,0.000014784,1.000000000,0.000001291,-0.000014859,-0.000020228
1789388506.088329792,0.000019838,0.000010423,0.000017149,1.000000000,0.000005800,-0.000021617,-0.000010413
1789388506.121648312,0.000008971,0.000006967,0.000021312,1.000000000,0.000001574,-0.000008460,-0.000017391
1789388506.154963970,0.000006868,-0.000011925,0.000031496,1.000000000,-0.000011624,-0.000009717,-0.000007467
1789388506.188275576,0.000016934,0.000004117,0.000025815,1.000000000,-0.000000411,-0.000021905,-0.000010146
1789388506.221582651,-0.000000886,-0.000000943,0.000022632,1.000000000,-0.000005071,-0.000001987,-0.000013964
1789388506.254886866,0.000010070,-0.000003467,0.000023151,1.000000000,-0.000006361,-0.000012640,-0.000010427
1789388506.288187504,0.000005185,-0.000000409,0.000029459,1.000000000,-0.000005008,-0.000011168,-0.000013913
1789388506.321484327,0.000009970,0.000004090,0.000021179,1.000000000,0.000000644,-0.000016215,-0.000016340
1789388506.354776382,-0.000000311,-0.000001140,0.000033382,1.000000000,-0.000005029,-0.000004932,-0.000011349
1789388506.388065577,0.000002559,0.000000779,0.000025419,1.000000000,0.000000560,-0.000010057,-0.000015366
1789388506.421351433,0.000004401,-0.000000792,0.000023699,1.000000000,-0.000001969,-0.000007017,-0.000009782
1789388506.454632998,0.000010678,0.000002196,0.000020579,1.000000000,-0.000001281,-0.000010166,-0.000006699
1789388506.487909794,0.000011428,-0.000011809,0.000018861,1.000000000,-0.000015072,-0.000012749,-0.000004873
1789388506.521184444,0.000011658,-0.000002624,0.000023975,1.000000000,-0.000004874,-0.000013778,-0.000007361
1789388506.554454803,-0.000007828,-0.000002310,0.000035340,1.000000000,0.000002090,0.000003521,-0.000005791
1789388506.587720394,0.000010537,0.000003779,0.000028837,1.000000000,0.000003592,-0.000016857,-0.000010865
1789388506.620984077,0.000009480,0.000000585,0.000007758,1.000000000,-0.000007897,-0.000010748,-0.000021144
1789388506.654236555,-0.000004281,0.000007298,0.000033516,1.000000000,0.000010357,-0.000001715,-0.000006503
1789388506.687484026,0.000001608,0.000000773,0.000017038,1.000000000,-0.000000657,-0.000002178,-0.000009423
1789388506.720725775,0.000006313,-0.000006908,0.000023452,1.000000000,-0.000007738,-0.000010941,-0.000007105
1789388506.753963470,0.000003925,-0.000004935,0.000023190,1.000000000,-0.000005197,-0.000004970,-0.000008631
