t_sec,x,y,z,qw,qx,qy,qz
1789388504.856495380,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789388504.889875650,0.000009227,0.000000831,0.000020723,1.000000000,-0.000000520,-0.000011070,-0.000011352
1789388504.923245907,0.000000544,0.000000033,0.000028559,1.000000000,-0.000001569,-0.000005004,-0.000008357
1789388504.956605196,-0.000001638,-0.000000912,0.000046491,1.000000000,0.000001175,-0.000010163,-0.000005121
1789388504.989953279,0.000002547,-0.000003774,0.000030459,1.000000000,-0.000003886,-0.000003755,-0.000010451
1789388505.023289442,-0.000001907,-0.000007684,0.000022200,1.000000000,-0.000010119,-0.000002743,-0.000017607
1789388505.056615829,0.000013344,0.000007088,0.000017099,1.000000000,0.000001144,-0.000015126,-0.000014713
1789388505.089931011,0.000007627,0.000002118,0.000024106,1.000000000,0.000001221,-0.000008299,-0.000012704
1789388505.123234749,0.000022411,0.000006432,0.000032344,1.000000000,0.000006827,-0.000025365,-0.000004953
1789388505.156527042,0.000005788,-0.000002921,0.000019472,1.000000000,-0.000011439,-0.000010834,-0.000015567
1789388505.189809084,-0.000000753,-0.000006939,0.000016545,1.000000000,-0.000010476,-0.000002059,-0.000019207
1789388505.223079920,0.000014526,0.000004865,0.000012326,1.000000000,0.000001941,-0.000014363,-0.000014587
1789388505.256338835,0.000010021,-0.000003002,0.000020400,1.000000000,-0.000005441,-0.000014291,-0.000012147
1789388505.289587736,-0.000001110,0.000003697,0.000027567,1.000000000,0.000002702,0.000002137,-0.000007140
1789388505.322825432,0.000011537,0.000004549,0.000008731,1.000000000,0.000000497,-0.000015283,-0.000015650
1789388505.356052160,0.000010637,-0.000000055,0.000021687,1.000000000,0.000000026,-0.000012551,-0.000007066
1789388505.389267206,-0.000005681,-0.000005252,0.000021700,1.000000000,-0.000007599,0.000003515,-0.000017321
1789388505.422471762,0.000003756,-0.000003071,0.000013980,1.000000000,-0.000004946,-0.000007378,-0.000011243
1789388505.455665350,-0.000004678,-0.000000591,0.000029665,1.000000000,0.000002022,-0.000000823,-0.000011760
1789388505.488847971,0.000004743,0.000001391,0.000017911,1.000000000,-0.000002889,-0.000007410,-0.000017060
1789388505.522018671,0.000001453,-0.000002204,0.000031443,1.000000000,-0.000004930,-0.000009243,-0.000012958
1789388505.555178881,0.000011195,-0.000003538,0.000017860,1.000000000,-0.000004794,-0.000011963,-0.000012426
1789388505.588328600,0.000013616,0.000006438,0.000011520,1.000000000,0.000000874,-0.000011907,-0.000011742
1789388505.621467352,0.000005179,-0.000007352,0.000025480,1.000000000,-0.000008442,-0.000009089,-0.000008657
1789388505.654839277,0.000009274,-0.000014152,0.000015623,1.000000000,-0.000023680,-0.000014642,-0.000018339
1789388505.688207626,0.000001041,0.000002758,0.000023395,1.000000000,0.000002724,-0.000006539,-0.000018075
1789388505.721571922,0.000004345,0.000003500,0.000013940,1.000000000,-0.000001209,-0.000006567,-0.000010579
1789388505.754931688,0.000005750,0.000006721,0.000025449,1.000000000,0.000007028,-0.000011376,-0.000013421
