t_sec,x,y,z,qw,qx,qy,qz
1789388504.856495380,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789388504.889875650,0.000008672,0.000000781,0.000019476,1.000000000,-0.000000520,-0.000011070,-0.000011352
1789388504.923245907,0.000000511,0.000000031,0.000026841,1.000000000,-0.000001569,-0.000005004,-0.000008357
1789388504.956605196,-0.000001539,-0.000000857,0.000043695,1.000000000,0.000001175,-0.000010163,-0.000005121
1789388504.989953279,0.000002393,-0.000003547,0.000028627,1.000000000,-0.000003886,-0.000003755,-0.000010451
1789388505.023289442,-0.000001793,-0.000007222,0.000020865,1.000000000,-0.000010119,-0.000002743,-0.000017607
1789388505.056615829,0.000012542,0.000006662,0.000016071,1.000000000,0.000001144,-0.000015126,-0.000014713
1789388505.089931011,0.000007168,0.000001991,0.000022656,1.000000000,0.000001221,-0.000008299,-0.000012704
1789388505.123234749,0.000021063,0.000006045,0.000030398,1.000000000,0.000006827,-0.000025365,-0.000004953
1789388505.156527042,0.000005440,-0.000002745,0.000018301,1.000000000,-0.000011439,-0.000010834,-0.000015567
1789388505.189809084,-0.000000707,-0.000006521,0.000015549,1.000000000,-0.000010476,-0.000002059,-0.000019207
1789388505.223079920,0.000013652,0.000004572,0.000011584,1.000000000,0.000001941,-0.000014363,-0.000014587
1789388505.256338835,0.000009418,-0.000002822,0.000019173,1.000000000,-0.000005441,-0.000014291,-0.000012147
1789388505.289587736,-0.000001043,0.000003474,0.000025909,1.000000000,0.000002702,0.000002137,-0.000007140
1789388505.322825432,0.000010843,0.000004275,0.000008205,1.000000000,0.000000497,-0.000015283,-0.000015650
1789388505.356052160,0.000009997,-0.000000052,0.000020382,1.000000000,0.000000026,-0.000012551,-0.000007066
1789388505.389267206,-0.000005339,-0.000004936,0.000020395,1.000000000,-0.000007599,0.000003515,-0.000017321
1789388505.422471762,0.000003530,-0.000002886,0.000013139,1.000000000,-0.000004946,-0.000007378,-0.000011243
1789388505.455665350,-0.000004397,-0.000000555,0.000027880,1.000000000,0.000002022,-0.000000823,-0.000011760
1789388505.488847971,0.000004457,0.000001308,0.000016833,1.000000000,-0.000002889,-0.000007410,-0.000017060
1789388505.522018671,0.000001365,-0.000002072,0.000029552,1.000000000,-0.000004930,-0.000009243,-0.000012958
1789388505.555178881,0.000010522,-0.000003325,0.000016785,1.000000000,-0.000004794,-0.000011963,-0.000012426
1789388505.588328600,0.000012797,0.000006050,0.000010827,1.000000000,0.000000874,-0.000011907,-0.000011742
1789388505.621467352,0.000004868,-0.000006910,0.000023947,1.000000000,-0.000008442,-0.000009089,-0.000008657
1789388505.654839277,0.000008716,-0.000013300,0.000014683,1.000000000,-0.000023680,-0.000014642,-0.000018339
1789388505.688207626,0.000000978,0.000002592,0.000021987,1.000000000,0.000002724,-0.000006539,-0.000018075
1789388505.721571922,0.000004083,0.000003289,0.000013101,1.000000000,-0.000001209,-0.000006567,-0.000010579
1789388505.754931688,0.000005404,0.000006317,0.000023918,1.000000000,0.000007028,-0.000011376,-0.000013421
1789388505.788288593,0.000001873,-0.000002279,0.000037535,1.000000000,-0.000002503,-0.000010519,-0.000003459
1789388505.821641922,0.000005734,-0.000005353,0.000029247,1.000000000,-0.000008778,-0.000012849,-0.000011769
1789388505.854990244,0.000004438,0.000005852,0.000029416,1.000000000,0.000009114,-0.000012083,-0.000003362
1789388505.888335943,-0.000001434,0.000001799,0.000026452,1.000000000,0.000000384,-0.000004490,-0.000001477
1789388505.921677828,0.000014365,0.000010344,0.000015669,1.000000000,0.000005207,-0.000016105,-0.000015768
1789388505.955015898,0.000003407,0.000002121,0.000028072,1.000000000,0.000001220,-0.000006148,-0.000009421
1789388505.988349199,0.000003829,-0.000003048,0.000017055,1.000000000,-0.000007526,-0.000007706,-0.000015780
1789388506.021679878,0.000007594,0.000003282,0.000023630,1.000000000,-0.000001640,-0.000015559,-0.000020408
1789388506.055006742,0.000013234,0.000008684,0.000013815,1.000000000,0.000001291,-0.000014859,-0.000020228
1789388506.088329792,0.000018538,0.000009740,0.000016025,1.000000000,0.000005800,-0.000021617,-0.000010413
1789388506.121648312,0.000008383,0.000006511,0.000019915,1.000000000,0.000001574,-0.000008460,-0.000017391
1789388506.154963970,0.000006418,-0.000011144,0.000029432,1.000000000,-0.000011624,-0.000009717,-0.000007467
1789388506.188275576,0.000015824,0.000003848,0.000024123,1.000000000,-0.000000411,-0.000021905,-0.000010146
1789388506.221582651,-0.000000828,-0.000000881,0.000021149,1.000000000,-0.000005071,-0.000001987,-0.000013964
1789388506.254886866,0.000009410,-0.000003240,0.000021633,1.000000000,-0.000006361,-0.000012640,-0.000010427
1789388506.288187504,0.000004845,-0.000000382,0.000027528,1.000000000,-0.000005008,-0.000011168,-0.000013913
1789388506.321484327,0.000009317,0.000003821,0.000019790,1.000000000,0.000000644,-0.000016215,-0.000016340
1789388506.354776382,-0.000000291,-0.000001065,0.000031194,1.000000000,-0.000005029,-0.000004932,-0.000011349
1789388506.388065577,0.000002392,0.000000728,0.000023753,1.000000000,0.000000560,-0.000010057,-0.000015366
1789388506.421351433,0.000004113,-0.000000740,0.000022145,1.000000000,-0.000001969,-0.000007017,-0.000009782
1789388506.454632998,0.000009978,0.000002052,0.000019230,1.000000000,-0.000001281,-0.000010166,-0.000006699
1789388506.487909794,0.000010679,-0.000011035,0.000017625,1.000000000,-0.000015072,-0.000012749,-0.000004873
1789388506.521184444,0.000010893,-0.000002452,0.000022403,1.000000000,-0.000004874,-0.000013778,-0.000007361
1789388506.554454803,-0.000007315,-0.000002159,0.000033024,1.000000000,0.000002090,0.000003521,-0.000005791
1789388506.587720394,0.000009846,0.000003532,0.000026946,1.000000000,0.000003592,-0.000016857,-0.000010865
1789388506.620984077,0.000008859,0.000000547,0.000007249,1.000000000,-0.000007897,-0.000010748,-0.000021144
1789388506.654236555,-0.000004000,0.000006820,0.000031319,1.000000000,0.000010357,-0.000001715,-0.000006503
1789388506.687484026,0.000001503,0.000000723,0.000015921,1.000000000,-0.000000657,-0.000002178,-0.000009423
1789388506.720725775,0.000005899,-0.000006456,0.000021915,1.000000000,-0.000007738,-0.000010941,-0.000007105
1789388506.753963470,0.000003668,-0.000004611,0.000021670,1.000000000,-0.000005197,-0.000004970,-0.000008631
1789388506.787195683,0.000006713,0.000005860,0.000022020,1.000000000,0.000004428,-0.000009794,-0.000006933
1789388506.820423365,0.000006722,0.000006038,0.000015889,1.000000000,0.000001586,-0.000010721,-0.000018352
1789388506.853645086,0.000002787,-0.000001017,0.000023643,1.000000000,-0.000000892,-0.000007379,-0.000008710
1789388506.886862516,0.000004400,-0.000004851,0.000019478,1.000000000,-0.000006630,-0.000007776,-0.000005672
1789388506.920075178,0.000006037,0.000001170,0.000019485,1.000000000,-0.000003470,-0.000010319,-0.000018148
1789388506.953281641,0.000001427,-0.000002676,0.000027170,1.000000000,-0.000005751,-0.000007907,-0.000016430
1789388506.986484051,0.000013494,0.000004045,0.000027469,1.000000000,0.000000895,-0.000019447,-0.000014634
1789388507.019681692,0.000010438,0.000011580,0.000017152,1.000000000,0.000009382,-0.000014819,-0.000012190
1789388507.052874327,0.000005395,0.000004379,0.000023166,1.000000000,0.000002560,-0.000011852,-0.000009189
1789388507.086060762,0.000017659,0.000007048,0.000019277,1.000000000,0.000007485,-0.000021876,0.000001911
1789388507.119243145,0.000006677,-0.000007008,0.000011035,1.000000000,-0.000017075,-0.000011310,-0.000020580
1789388507.152420759,0.000006691,0.000003383,0.000013648,1.000000000,0.000001797,-0.000010253,-0.000007174
1789388507.185592175,0.000007218,0.000000781,0.000020006,1.000000000,-0.000003543,-0.000009390,-0.000015581
1789388507.218759775,0.000005267,-0.000002748,0.000020648,1.000000000,-0.000004570,-0.000011695,-0.000018600
1789388507.251922131,0.000012836,-0.000001505,0.000025031,1.000000000,-0.000008718,-0.000019075,-0.000016184
1789388507.285079479,0.000000395,-0.000003945,0.000018922,1.000000000,-0.000007454,-0.000004256,-0.000015677
1789388507.318231106,0.000010123,0.000001450,0.000018672,1.000000000,-0.000003329,-0.000014422,-0.000014118
1789388507.351378679,-0.000000108,-0.000006737,0.000027939,1.000000000,-0.000010375,-0.000004366,-0.000012267
1789388507.384521008,0.000011149,0.000001819,0.000026389,1.000000000,-0.000001027,-0.000015508,-0.000009321
1789388507.417658329,0.000010661,-0.000005861,0.000018686,1.000000000,-0.000017252,-0.000014959,-0.000015011
1789388507.450789928,0.000002899,-0.000004495,0.000029172,1.000000000,-0.000013090,-0.000005707,-0.000020304
1789388507.483917475,-0.000001234,-0.000000693,0.000018494,1.000000000,-0.000004693,-0.000001876,-0.000018908
1789388507.517039776,0.000005615,-0.000000173,0.000016295,1.000000000,-0.000004749,-0.000009464,-0.000030095
1789388507.550156355,0.000004589,-0.000006104,0.000015624,1.000000000,-0.000011057,-0.000006990,-0.000014708
1789388507.583268881,0.000012354,-0.000001030,0.000019556,1.000000000,-0.000004893,-0.000018517,-0.000007829
1789388507.616376877,0.000011928,0.000007268,0.000026455,1.000000000,0.000008382,-0.000015401,-0.000003583
1789388507.649706125,0.000004484,-0.000002018,0.000023315,1.000000000,-0.000005291,-0.000004377,-0.000011862
1789388507.683033705,0.000001539,0.000001532,0.000019518,1.000000000,-0.000000105,-0.000003941,-0.000015163
1789388507.716362000,0.000010017,0.000000679,0.000019311,1.000000000,0.000000035,-0.000012909,-0.000008552
1789388507.749690294,0.000016118,0.000003814,0.000024277,1.000000000,0.000004828,-0.000021101,-0.000005416
1789388507.783018112,0.000006758,-0.000003380,0.000018878,1.000000000,-0.000007748,-0.000010522,-0.000012600
1789388507.816344738,0.000007987,0.000002587,0.000020947,1.000000000,-0.000000137,-0.000009026,-0.000011913
1789388507.849672079,0.000021043,0.000010660,0.000021937,1.000000000,0.000009026,-0.000025171,-0.000011417
1789388507.882998943,0.000006427,0.000002040,0.000010633,1.000000000,-0.000001593,-0.000011102,-0.000018200
1789388507.916324854,-0.000002333,-0.000009266,0.000018514,1.000000000,-0.000015228,-0.000001681,-0.000017592
1789388507.949651718,-0.000001302,-0.000004822,0.000020219,1.000000000,-0.000005046,-0.000001395,-0.000009014
1789388507.982977867,0.000007905,0.000002055,0.000020330,1.000000000,0.000001521,-0.000011406,-0.000011996
1789388508.016303778,0.000007113,0.000002156,0.000015039,1.000000000,0.000001764,-0.000011463,-0.000012741
