t_sec,x,y,z,qw,qx,qy,qz
1789439764.999569893,0.013733469496,0.007640605946,-0.023569939029,-0.694216187,0.719733949,-0.001380027,0.006709944
1789439765.032854557,0.013727460728,0.007608500654,-0.023539032617,-0.694136251,0.719810824,-0.001361953,0.006737131
1789439765.066266298,0.013721176708,0.007563548420,-0.023505167069,-0.694091592,0.719853414,-0.001361328,0.006787517
1789439765.099522352,0.013719984846,0.007521125511,-0.023480293918,-0.694088366,0.719856315,-0.001329834,0.006815971
1789439765.132773161,0.013720516632,0.007489126404,-0.023461075910,-0.694082342,0.719861888,-0.001300395,0.006846487
1789439765.166019917,0.013718229391,0.007464929566,-0.023443181520,-0.694078446,0.719865169,-0.001309863,0.006894446
1789439765.199262142,0.013717704343,0.007447548586,-0.023428718835,-0.694057524,0.719885178,-0.001277338,0.006917568
1789439765.232499599,0.013720807055,0.007433327111,-0.023419580136,-0.694057392,0.719885012,-0.001270074,0.006949358
1789439765.265731096,0.013723076285,0.007417248765,-0.023413440554,-0.694092265,0.719850957,-0.001282118,0.006991740
1789439765.298959255,0.013721843440,0.007400138008,-0.023409567485,-0.694091942,0.719850980,-0.001272925,0.007022961
1789439765.332182646,0.013715523869,0.007378550616,-0.023408603460,-0.694097104,0.719845689,-0.001268406,0.007055849
1789439765.365400076,0.013705392869,0.007351493746,-0.023409631767,-0.694097071,0.719845405,-0.001264532,0.007088676
1789439765.398613930,0.013695189146,0.007327039985,-0.023419200825,-0.694086729,0.719855090,-0.001254103,0.007119658
1789439765.431823254,0.013685964995,0.007309253113,-0.023443106701,-0.694096578,0.719845320,-0.001236422,0.007150236
1789439765.465027809,0.013681583499,0.007296675368,-0.023482175868,-0.694083158,0.719857833,-0.001232305,0.007193792
1789439765.498226643,0.013682418087,0.007295144544,-0.023542012932,-0.694093356,0.719847858,-0.001210325,0.007211693
1789439765.531421661,0.013681829659,0.007303094477,-0.023620654204,-0.694102412,0.719838810,-0.001197961,0.007245333
1789439765.564611912,0.013679020387,0.007315746972,-0.023710456869,-0.694103436,0.719837354,-0.001191340,0.007292828
1789439765.597797632,0.013675455721,0.007336374697,-0.023812946383,-0.694098681,0.719841892,-0.001161357,0.007302280
1789439765.630977631,0.013667496973,0.007364169057,-0.023929069749,-0.694109096,0.719831482,-0.001155100,0.007339352
1789439765.664153814,0.013652684239,0.007399347856,-0.024056849135,-0.694081873,0.719857515,-0.001137169,0.007363278
1789439765.697325230,0.013630949038,0.007445601638,-0.024195915438,-0.694083982,0.719855309,-0.001114562,0.007383598
1789439765.730490923,0.013607051773,0.007496569819,-0.024340192313,-0.694085036,0.719853876,-0.001119661,0.007423340
1789439765.763653040,0.013590068432,0.007542051613,-0.024478101124,-0.694074491,0.719863996,-0.001090987,0.007432216
1789439765.796810627,0.013573654405,0.007581608606,-0.024605699463,-0.694071722,0.719866299,-0.001087863,0.007468117
1789439765.829963207,0.013551731680,0.007616069966,-0.024720759890,-0.694066011,0.719871441,-0.001091397,0.007502646
1789439765.863110304,0.013527868022,0.007644214371,-0.024820906164,-0.694059161,0.719878105,-0.001063699,0.007500904
1789439765.896253347,0.013509076440,0.007667541880,-0.024906821797,-0.694049960,0.719886396,-0.001061627,0.007556614
1789439765.929392099,0.013505824401,0.007683752041,-0.024967474945,-0.694042437,0.719893551,-0.001038741,0.007569104
1789439765.962524891,0.013517001714,0.007687646796,-0.024987524818,-0.694037499,0.719898250,-0.001006322,0.007579388
1789439765.995654106,0.013542992196,0.007681786370,-0.024969639333,-0.694033889,0.719901066,-0.001029797,0.007639047
1789439766.028778553,0.013588242248,0.007668846826,-0.024919757853,-0.694051178,0.719884585,-0.000991215,0.007626500
1789439766.061899185,0.013642386587,0.007646789293,-0.024842392935,-0.694013001,0.719920993,-0.000993213,0.007663624
1789439766.095228672,0.013702155221,0.007621929198,-0.024750588537,-0.694036251,0.719898052,-0.001002980,0.007711683
1789439766.128559351,0.013769176780,0.007590788658,-0.024644171162,-0.694022524,0.719911666,-0.000958507,0.007681813
1789439766.161889553,0.013836597791,0.007548619226,-0.024526967095,-0.693998356,0.719934268,-0.000984689,0.007743571
1789439766.195219755,0.013906324534,0.007506723468,-0.024409247676,-0.694031615,0.719902251,-0.000970457,0.007741100
1789439766.228548765,0.013977670793,0.007462729801,-0.024287261608,-0.694001139,0.719931826,-0.000938852,0.007726802
1789439766.261878490,0.014046608066,0.007413057333,-0.024164565546,-0.694000750,0.719931547,-0.000973104,0.007783377
1789439766.295207977,0.014114519888,0.007367583666,-0.024045256207,-0.694019622,0.719913671,-0.000934697,0.007758677
1789439766.328536272,0.014178392447,0.007322418585,-0.023927583567,-0.693974122,0.719957208,-0.000937354,0.007788373
1789439766.361865520,0.014240855604,0.007274503989,-0.023812498347,-0.694003626,0.719928440,-0.000937642,0.007818533
1789439766.395194292,0.014298170748,0.007231280641,-0.023701932704,-0.693983938,0.719947782,-0.000902131,0.007789138
1789439766.428523064,0.014343561234,0.007195146235,-0.023603228061,-0.693966150,0.719964545,-0.000927397,0.007821623
1789439766.461850643,0.014379024285,0.007172169415,-0.023520207295,-0.694001789,0.719930311,-0.000909474,0.007812622
1789439766.495178938,0.014402581325,0.007165280794,-0.023453751709,-0.693958477,0.719972024,-0.000901135,0.007816963
1789439766.528506994,0.014419453993,0.007164740327,-0.023402276588,-0.693972289,0.719958553,-0.000911912,0.007830290
1789439766.561835051,0.014430686542,0.007167750594,-0.023358714663,-0.693978053,0.719953247,-0.000894896,0.007809245
1789439766.595161676,0.014432168616,0.007177219248,-0.023331534257,-0.693932064,0.719997278,-0.000910174,0.007834696
1789439766.628489017,0.014429293082,0.007188428680,-0.023323647778,-0.693983988,0.719947389,-0.000892413,0.007822119
1789439766.661816359,0.014422646536,0.007195312852,-0.023326941559,-0.693952514,0.719977767,-0.000891515,0.007818433
1789439766.695142508,0.014408911801,0.007201125977,-0.023349505557,-0.693952108,0.719977996,-0.000894778,0.007833060
1789439766.728469372,0.014389267620,0.007203958066,-0.023384251473,-0.693981448,0.719949927,-0.000873995,0.007815853
1789439766.761796236,0.014360209314,0.007200867120,-0.023424558027,-0.693934385,0.719995256,-0.000882512,0.007818049
1789439766.795122623,0.014320067197,0.007198015821,-0.023482390320,-0.693963682,0.719967120,-0.000880358,0.007808960
1789439766.828448057,0.014267143360,0.007193365410,-0.023553953456,-0.693949835,0.719980597,-0.000868707,0.007798150
1789439766.861773968,0.014197271962,0.007186052020,-0.023636018353,-0.693930976,0.719998860,-0.000877750,0.007789230
1789439766.895099878,0.014116804965,0.007186236535,-0.023729214853,-0.693970974,0.719960514,-0.000884632,0.007769340
1789439766.928425550,0.014037301043,0.007189718483,-0.023822635090,-0.693945057,0.719985570,-0.000890186,0.007761778
1789439766.961750031,0.013958355352,0.007194190560,-0.023915422624,-0.693956284,0.719974731,-0.000896936,0.007762628
1789439766.995075464,0.013871452137,0.007209157642,-0.024014143445,-0.693960477,0.719970713,-0.000900244,0.007760063
1789439767.028400421,0.013780510926,0.007229928212,-0.024114956666,-0.693936971,0.719993520,-0.000898107,0.007746289
1789439767.061724424,0.013684140444,0.007254771738,-0.024213499621,-0.693964821,0.719966728,-0.000907568,0.007740448
1789439767.095058680,0.013580668562,0.007287911188,-0.024307083617,-0.693949034,0.719982109,-0.000910892,0.007724708
1789439767.128392696,0.013467028956,0.007328399124,-0.024396928591,-0.693944875,0.719986345,-0.000909226,0.007703658
1789439767.161726475,0.013340855971,0.007377824547,-0.024484169673,-0.693970548,0.719961721,-0.000922969,0.007690669
1789439767.195059538,0.013211145382,0.007435306745,-0.024565907741,-0.693951142,0.719980647,-0.000921600,0.007670082
1789439767.228393316,0.013090029128,0.007488018044,-0.024633105646,-0.693958057,0.719974221,-0.000927711,0.007646957
1789439767.261727333,0.012988743455,0.007531945678,-0.024678618705,-0.693966265,0.719966445,-0.000945158,0.007632016
1789439767.295060158,0.012921968579,0.007563685646,-0.024698468785,-0.693957645,0.719975057,-0.000944581,0.007603440
1789439767.328393459,0.012896195167,0.007575376930,-0.024683838868,-0.693977170,0.719956403,-0.000955832,0.007586280
1789439767.361727238,0.012908717424,0.007568559462,-0.024634374899,-0.693969670,0.719963690,-0.000965961,0.007579520
1789439767.395060778,0.012951442559,0.007553020157,-0.024565844673,-0.693972169,0.719961579,-0.000957365,0.007552336
1789439767.428393364,0.013007405431,0.007533837251,-0.024491439182,-0.693979158,0.719954960,-0.000971815,0.007539129
1789439767.461726904,0.013071922615,0.007510508841,-0.024410334455,-0.693977453,0.719956872,-0.000975881,0.007512978
1789439767.495059967,0.013146346094,0.007483404839,-0.024324911808,-0.693983694,0.719951082,-0.000983767,0.007490238
1789439767.528393269,0.013226990289,0.007450208636,-0.024232654931,-0.693979257,0.719955570,-0.000995584,0.007468385
1789439767.561725616,0.013308814783,0.007415998863,-0.024138951313,-0.693975374,0.719959587,-0.000997412,0.007441714
1789439767.595058918,0.013387296649,0.007385125669,-0.024049873040,-0.693991695,0.719944193,-0.001007985,0.007407433
1789439767.628391743,0.013467543926,0.007348927481,-0.023957912915,-0.693987472,0.719948572,-0.001022570,0.007375476
1789439767.661723852,0.013549796483,0.007309775405,-0.023867046244,-0.693988528,0.719947755,-0.001030443,0.007354723
1789439767.695056915,0.013626872311,0.007274710235,-0.023784642114,-0.693996004,0.719940873,-0.001044134,0.007320908
1789439767.728389740,0.013702594195,0.007238450346,-0.023702952998,-0.693986890,0.719949826,-0.001049018,0.007303773
1789439767.761722565,0.013775958893,0.007202038022,-0.023624266537,-0.694005203,0.719932365,-0.001060833,0.007283039
1789439767.795054436,0.013836410907,0.007172329543,-0.023556044891,-0.694004927,0.719932886,-0.001069798,0.007256450
1789439767.828387022,0.013881270025,0.007145604900,-0.023501453014,-0.693990964,0.719946611,-0.001098625,0.007225743
1789439767.861719608,0.013916579902,0.007125975526,-0.023458823009,-0.694014882,0.719923982,-0.001096689,0.007183423
1789439767.895052195,0.013941415064,0.007116328146,-0.023423527806,-0.694016265,0.719922849,-0.001119316,0.007159842
