t_sec,x,y,z,qw,qx,qy,qz
1789439764.999569893,0.012837462752,0.008299533183,-0.024051231116,-0.697311568,0.716731528,-0.000187729,0.007242870
1789439765.032854557,0.012789248556,0.008283582847,-0.024043783746,-0.697231955,0.716808702,-0.000169832,0.007270270
1789439765.066266298,0.012730933465,0.008258654706,-0.024038884935,-0.697187505,0.716851422,-0.000169458,0.007320733
1789439765.099522352,0.012682025732,0.008234797589,-0.024040570363,-0.697184266,0.716854286,-0.000138089,0.007349328
1789439765.132773161,0.012642764492,0.008218555434,-0.024043423326,-0.697178245,0.716859832,-0.000108786,0.007379980
1789439765.166019917,0.012610056465,0.008206796201,-0.024042335073,-0.697174399,0.716863076,-0.000118464,0.007427903
1789439765.199262142,0.012587233141,0.008198998210,-0.024040077844,-0.697153535,0.716883129,-0.000086054,0.007451200
1789439765.232499599,0.012573738523,0.008192372591,-0.024039864925,-0.697153409,0.716882921,-0.000078928,0.007483021
1789439765.265731096,0.012563194903,0.008182537502,-0.024040411637,-0.697188172,0.716848669,-0.000091128,0.007525292
1789439765.298959255,0.012551939173,0.008170619237,-0.024041456706,-0.697187854,0.716848651,-0.000082069,0.007556552
1789439765.332182646,0.012537890845,0.008153306834,-0.024043889465,-0.697193004,0.716843295,-0.000077688,0.007589450
1789439765.365400076,0.012521673729,0.008129816228,-0.024047181952,-0.697192981,0.716842969,-0.000073956,0.007622293
1789439765.398613930,0.012506299140,0.008108448705,-0.024058286616,-0.697182684,0.716852654,-0.000063668,0.007653336
1789439765.431823254,0.012492291054,0.008093374133,-0.024083363449,-0.697192485,0.716842796,-0.000046112,0.007683974
1789439765.465027809,0.012483239859,0.008083154110,-0.024123505984,-0.697179135,0.716855310,-0.000042193,0.007727569
1789439765.498226643,0.012479435205,0.008083617310,-0.024184414724,-0.697189272,0.716845258,-0.000020282,0.007745547
1789439765.531421661,0.012474300650,0.008093074069,-0.024264207075,-0.697198290,0.716836123,-0.000008057,0.007779224
1789439765.564611912,0.012467257081,0.008106561939,-0.024355334107,-0.697199324,0.716834600,-0.000001639,0.007826745
1789439765.597797632,0.012460147664,0.008127076467,-0.024459457773,-0.697194557,0.716839132,0.000028299,0.007836334
1789439765.630977631,0.012449815640,0.008153422972,-0.024577780679,-0.697204937,0.716828629,0.000034404,0.007873414
1789439765.664153814,0.012434200014,0.008185602434,-0.024708511659,-0.697177817,0.716854740,0.000052211,0.007897462
