t_sec,x,y,z,qw,qx,qy,qz
1789439764.999569893,0.012853291,0.008304101,-0.024054027,-0.697311568,0.716731528,-0.000187729,0.007242870
1789439765.032854557,0.012789809,0.008286449,-0.024042489,-0.697231955,0.716808702,-0.000169832,0.007270270
1789439765.066266298,0.012727118,0.008258335,-0.024036214,-0.697187505,0.716851422,-0.000169458,0.007320733
1789439765.099522352,0.012679026,0.008231297,-0.024040259,-0.697184266,0.716854286,-0.000138089,0.007349328
1789439765.132773161,0.012641915,0.008218214,-0.024045401,-0.697178245,0.716859832,-0.000108786,0.007379980
1789439765.166019917,0.012606730,0.008205255,-0.024042590,-0.697174399,0.716863076,-0.000118464,0.007427903
1789439765.199262142,0.012583985,0.008198269,-0.024038972,-0.697153535,0.716883129,-0.000086054,0.007451200
1789439765.232499599,0.012573455,0.008194344,-0.024039853,-0.697153409,0.716882921,-0.000078928,0.007483021
1789439765.265731096,0.012563311,0.008182184,-0.024040550,-0.697188172,0.716848669,-0.000091128,0.007525292
1789439765.298959255,0.012552893,0.008172359,-0.024040428,-0.697187854,0.716848651,-0.000082069,0.007556552
1789439765.332182646,0.012538927,0.008156113,-0.024044735,-0.697193004,0.716843295,-0.000077688,0.007589450
1789439765.365400076,0.012520788,0.008128745,-0.024044835,-0.697192981,0.716842969,-0.000073956,0.007622293
1789439765.398613930,0.012506560,0.008105686,-0.024053457,-0.697182684,0.716852654,-0.000063668,0.007653336
1789439765.431823254,0.012490665,0.008093584,-0.024080287,-0.697192485,0.716842796,-0.000046112,0.007683974
1789439765.465027809,0.012480777,0.008078925,-0.024116720,-0.697179135,0.716855310,-0.000042193,0.007727569
1789439765.498226643,0.012480740,0.008080689,-0.024178327,-0.697189272,0.716845258,-0.000020282,0.007745547
1789439765.531421661,0.012475027,0.008093303,-0.024262451,-0.697198290,0.716836123,-0.000008057,0.007779224
1789439765.564611912,0.012466546,0.008103573,-0.024351238,-0.697199324,0.716834600,-0.000001639,0.007826745
1789439765.597797632,0.012461397,0.008125657,-0.024455148,-0.697194557,0.716839132,0.000028299,0.007836334
1789439765.630977631,0.012451395,0.008152542,-0.024574726,-0.697204937,0.716828629,0.000034404,0.007873414
1789439765.664153814,0.012435697,0.008181703,-0.024704669,-0.697177817,0.716854740,0.000052211,0.007897462
1789439765.697325230,0.012414732,0.008225996,-0.024848763,-0.697179898,0.716852489,0.000074732,0.007917876
1789439765.730490923,0.012387544,0.008276009,-0.025002452,-0.697180973,0.716851004,0.000069463,0.007957593
1789439765.763653040,0.012380676,0.008313752,-0.025144738,-0.697170440,0.716861144,0.000098090,0.007966611
1789439765.796810627,0.012376030,0.008345463,-0.025277606,-0.697167696,0.716863413,0.000101057,0.008002529
1789439765.829963207,0.012366139,0.008372700,-0.025399475,-0.697162028,0.716868539,0.000097371,0.008037052
