t_sec,x,y,z,qw,qx,qy,qz
1789446967.978223085,0.000000241,0.000000610,-0.000000248,1.000000000,-0.000000874,-0.000000826,0.000000374
1789446968.011612654,-0.000005423,-0.000053982,0.000043467,1.000000000,-0.000017299,0.000002993,-0.000003495
1789446968.044986010,0.000001588,-0.000062076,0.000056401,1.000000000,-0.000015960,0.000002248,-0.000007096
1789446968.078345299,0.000010496,-0.000054347,0.000057326,1.000000000,0.000005030,-0.000005327,-0.000006815
1789446968.111689568,0.000024080,-0.000044100,0.000054328,1.000000000,-0.000003227,-0.000006192,-0.000006840
1789446968.145017624,0.000029396,-0.000040641,0.000053976,1.000000000,0.000001470,-0.000005643,-0.000013017
1789446968.178331614,0.000029572,-0.000044077,0.000058764,1.000000000,-0.000005142,-0.000005888,-0.000010247
1789446968.211630344,0.000028676,-0.000050261,0.000064085,1.000000000,0.000004450,-0.000010123,-0.000013174
1789446968.244914055,0.000025229,-0.000056916,0.000073039,1.000000000,0.000011049,-0.000011700,-0.000015746
1789446968.278181791,0.000025727,-0.000063449,0.000082705,1.000000000,0.000010407,-0.000013195,-0.000014497
1789446968.311435461,0.000020835,-0.000071344,0.000090183,1.000000000,0.000017350,-0.000019721,-0.000016139
1789446968.344674110,0.000013006,-0.000081086,0.000100989,1.000000000,0.000022870,-0.000013383,-0.000016649
1789446968.377897501,0.000008101,-0.000091396,0.000111359,0.999999999,0.000026659,-0.000024498,-0.000017007
1789446968.411104918,-0.000000770,-0.000100775,0.000121972,1.000000000,-0.000004091,-0.000025061,-0.000013790
1789446968.444298029,-0.000009851,-0.000109415,0.000134737,1.000000000,-0.000006103,-0.000026969,-0.000011748
1789446968.477476358,-0.000020970,-0.000115391,0.000144772,0.999999999,-0.000000516,-0.000031233,-0.000014236
1789446968.510638475,-0.000033993,-0.000121094,0.000156471,0.999999999,-0.000001546,-0.000038585,-0.000012788
1789446968.543786287,-0.000043333,-0.000126862,0.000171094,0.999999999,-0.000004774,-0.000039352,-0.000017559
1789446968.576919317,-0.000059137,-0.000132742,0.000184911,0.999999999,-0.000003770,-0.000035304,-0.000014263
1789446968.610037088,-0.000074159,-0.000137985,0.000199517,0.999999999,-0.000006636,-0.000043218,-0.000014396
1789446968.643138885,-0.000085603,-0.000140405,0.000214950,0.999999999,-0.000016172,-0.000048531,-0.000013620
1789446968.676226616,-0.000102289,-0.000140467,0.000231902,0.999999999,-0.000006393,-0.000050144,-0.000018777
1789446968.709299088,-0.000116698,-0.000140000,0.000253681,0.999999998,0.000011385,-0.000049173,-0.000023799
1789446968.742356539,-0.000133103,-0.000137684,0.000273986,0.999999998,-0.000005606,-0.000054105,-0.000025481
1789446968.775398016,-0.000150375,-0.000136938,0.000293278,0.999999998,-0.000000206,-0.000054511,-0.000027535
1789446968.808425188,-0.000162052,-0.000134220,0.000313793,0.999999998,-0.000006694,-0.000057097,-0.000028002
1789446968.841437578,-0.000178184,-0.000127692,0.000333880,0.999999998,-0.000003066,-0.000053998,-0.000036606
1789446968.874435186,-0.000191875,-0.000120051,0.000355625,0.999999998,-0.000005241,-0.000056410,-0.000034287
1789446968.907801151,-0.000202150,-0.000111566,0.000379056,0.999999997,0.000004409,-0.000062283,-0.000041504
1789446968.941163540,-0.000216124,-0.000100286,0.000401819,0.999999997,0.000013755,-0.000059894,-0.000043278
1789446968.974522114,-0.000225534,-0.000085398,0.000426561,0.999999997,0.000004172,-0.000061693,-0.000047377
1789446969.007876396,-0.000232959,-0.000067639,0.000452017,0.999999996,0.000013160,-0.000067828,-0.000054428
1789446969.041228294,-0.000241723,-0.000046293,0.000479094,0.999999996,0.000006974,-0.000073639,-0.000054687
1789446969.074576378,-0.000247172,-0.000022641,0.000506792,0.999999995,0.000009124,-0.000076864,-0.000060423
1789446969.107920885,-0.000254054,0.000005932,0.000530819,0.999999995,0.000001693,-0.000080195,-0.000061488
1789446969.141261101,-0.000260067,0.000038010,0.000553824,0.999999994,0.000011276,-0.000088509,-0.000065587
1789446969.174598455,-0.000257321,0.000075456,0.000576555,0.999999994,0.000009846,-0.000087802,-0.000069862
1789446969.207932472,-0.000251743,0.000119327,0.000596456,0.999999992,0.000012222,-0.000098406,-0.000075847
1789446969.241261721,-0.000241179,0.000168301,0.000617194,0.999999991,0.000036139,-0.000093513,-0.000090002
1789446969.274588346,-0.000226564,0.000221767,0.000635352,0.999999991,0.000014232,-0.000108185,-0.000077083
1789446969.307911634,-0.000208571,0.000279991,0.000647524,0.999999990,0.000001854,-0.000112857,-0.000082526
1789446969.341231346,-0.000181881,0.000346056,0.000655300,0.999999989,0.000008145,-0.000118938,-0.000084175
1789446969.374546528,-0.000151182,0.000419231,0.000656914,0.999999990,0.000000359,-0.000115515,-0.000085264
1789446969.407859087,-0.000118241,0.000491796,0.000654885,0.999999989,0.000002758,-0.000116344,-0.000087372
1789446969.441168308,-0.000079918,0.000556650,0.000651291,0.999999990,-0.000011353,-0.000114366,-0.000084673
1789446969.474472761,-0.000035272,0.000606843,0.000640753,0.999999990,-0.000014147,-0.000114646,-0.000084353
1789446969.507774591,0.000017640,0.000636235,0.000622954,0.999999989,0.000006992,-0.000112013,-0.000091887
1789446969.541073084,0.000075088,0.000650118,0.000598364,0.999999989,-0.000022006,-0.000117717,-0.000087474
1789446969.574368000,0.000136924,0.000653289,0.000570003,0.999999989,-0.000019810,-0.000116244,-0.000088047
1789446969.607658148,0.000201054,0.000653095,0.000539455,0.999999988,-0.000024983,-0.000121612,-0.000087864
1789446969.640946150,0.000264484,0.000655347,0.000506834,0.999999989,-0.000027662,-0.000119738,-0.000088063
1789446969.674230337,0.000326872,0.000660562,0.000472817,0.999999990,-0.000009789,-0.000106421,-0.000087987
1789446969.707510710,0.000382762,0.000668536,0.000437788,0.999999993,-0.000017238,-0.000085026,-0.000081673
1789446969.740786791,0.000426146,0.000678705,0.000400256,0.999999994,-0.000028911,-0.000076118,-0.000077521
1789446969.774060488,0.000447706,0.000691580,0.000360663,0.999999994,-0.000007261,-0.000062279,-0.000086620
1789446969.807330370,0.000424733,0.000708716,0.000321802,0.999999996,-0.000027966,-0.000047420,-0.000071776
1789446969.840595961,0.000348184,0.000730950,0.000282733,0.999999997,-0.000021879,-0.000033069,-0.000070161
1789446969.873859406,0.000233527,0.000757029,0.000243161,0.999999998,-0.000019914,-0.000018490,-0.000065152
1789446969.907113791,0.000094840,0.000784618,0.000203272,0.999999998,-0.000021128,-0.000000511,-0.000064639
1789446969.940363169,-0.000050302,0.000812431,0.000162763,0.999999998,-0.000031119,0.000011072,-0.000058689
1789446969.973606825,-0.000194844,0.000839172,0.000119165,0.999999998,-0.000034764,0.000024809,-0.000054894
1789446970.006847143,-0.000333923,0.000864970,0.000074579,0.999999998,-0.000035234,0.000031692,-0.000051812
1789446970.040082455,-0.000462372,0.000890984,0.000031643,0.999999997,-0.000045564,0.000039376,-0.000045683
1789446970.073312998,-0.000587128,0.000914074,-0.000008730,0.999999997,-0.000043365,0.000048452,-0.000046373
1789446970.106537819,-0.000696061,0.000933033,-0.000041145,0.999999997,-0.000039877,0.000053513,-0.000045865
1789446970.139759064,-0.000775821,0.000946141,-0.000063511,0.999999996,-0.000053218,0.000063936,-0.000039760
1789446970.172975302,-0.000825979,0.000948359,-0.000077044,0.999999995,-0.000051111,0.000080434,-0.000035772
1789446970.206185818,-0.000848663,0.000942410,-0.000081842,0.999999994,-0.000063785,0.000085659,-0.000032371
1789446970.239392519,-0.000855336,0.000929485,-0.000080913,0.999999993,-0.000065030,0.000093283,-0.000032281
1789446970.272594690,-0.000849272,0.000909374,-0.000072688,0.999999992,-0.000072831,0.000098353,-0.000030547
1789446970.305792332,-0.000823474,0.000880799,-0.000057806,0.999999992,-0.000066552,0.000106687,-0.000026625
1789446970.338983536,-0.000790310,0.000843299,-0.000038477,0.999999993,-0.000070987,0.000092734,-0.000035459
1789446970.372171640,-0.000748703,0.000797530,-0.000014402,0.999999992,-0.000084512,0.000081103,-0.000035828
1789446970.405354738,-0.000695046,0.000747647,0.000011421,0.999999994,-0.000082460,0.000066699,-0.000038379
1789446970.438533068,-0.000641928,0.000695976,0.000040050,0.999999993,-0.000089558,0.000057014,-0.000045232
1789446970.471705675,-0.000583911,0.000644753,0.000072026,0.999999994,-0.000091760,0.000043337,-0.000049767
1789446970.504874468,-0.000522868,0.000594923,0.000103013,0.999999994,-0.000084979,0.000033397,-0.000053525
1789446970.538038492,-0.000468227,0.000545600,0.000134780,0.999999993,-0.000100876,0.000021309,-0.000056535
1789446970.571197033,-0.000410552,0.000497089,0.000167670,0.999999992,-0.000111695,0.000010850,-0.000062768
1789446970.604351521,-0.000357227,0.000454976,0.000198261,0.999999992,-0.000108975,-0.000005983,-0.000064709
1789446970.637501478,-0.000315773,0.000420147,0.000228260,0.999999990,-0.000120122,-0.000016951,-0.000068971
1789446970.670646667,-0.000277919,0.000395028,0.000253281,0.999999989,-0.000127694,-0.000020267,-0.000070278
1789446970.703786135,-0.000248508,0.000379727,0.000271694,0.999999988,-0.000134985,-0.000024527,-0.000066909
1789446970.736921549,-0.000226015,0.000370791,0.000290708,0.999999987,-0.000145125,-0.000028827,-0.000066165
1789446970.770052433,-0.000201107,0.000363232,0.000305834,0.999999987,-0.000147777,-0.000035247,-0.000061584
1789446970.803177834,-0.000179456,0.000355716,0.000314682,0.999999986,-0.000154277,-0.000037001,-0.000061469
1789446970.836299181,-0.000156364,0.000346653,0.000320796,0.999999983,-0.000169209,-0.000038267,-0.000057131
1789446970.869416714,-0.000127967,0.000337099,0.000319129,0.999999982,-0.000173227,-0.000041011,-0.000060394
1789446970.902748823,-0.000110616,0.000327392,0.000312762,0.999999982,-0.000173222,-0.000047434,-0.000058906
1789446970.936079502,-0.000105210,0.000319283,0.000303712,0.999999980,-0.000186668,-0.000047848,-0.000057819
1789446970.969411373,-0.000114495,0.000314044,0.000282861,0.999999980,-0.000182501,-0.000051679,-0.000057158
1789446971.002743244,-0.000151538,0.000312526,0.000252736,0.999999980,-0.000182947,-0.000047645,-0.000057405
1789446971.036074638,-0.000201888,0.000315147,0.000216203,0.999999981,-0.000183731,-0.000037472,-0.000055530
1789446971.069405079,-0.000261503,0.000324330,0.000174762,0.999999982,-0.000177090,-0.000030935,-0.000056958
1789446971.102736235,-0.000321938,0.000341717,0.000139409,0.999999982,-0.000176685,-0.000030376,-0.000055794
1789446971.136067629,-0.000359323,0.000372548,0.000109133,0.999999981,-0.000186257,-0.000020718,-0.000059116
1789446971.169397593,-0.000381812,0.000419481,0.000083878,0.999999982,-0.000177635,-0.000011786,-0.000061170
