t_sec,x,y,z,qw,qx,qy,qz
1789447173.144403458,-0.000000006,0.000000418,-0.000001258,0.999998462,-0.000585977,-0.001442736,-0.000807543
1789447173.177806616,0.000114317,-0.000199583,0.000088391,0.999998441,-0.000629102,-0.001435919,-0.000812884
1789447173.211194277,0.000263527,-0.000351633,0.000103381,0.999998414,-0.000657539,-0.001443231,-0.000810422
1789447173.244568825,0.000436887,-0.000490156,0.000094853,0.999998394,-0.000689937,-0.001444480,-0.000805723
1789447173.277929068,0.000630026,-0.000636109,0.000095424,0.999998373,-0.000716490,-0.001447192,-0.000804268
1789447173.311273575,0.000864049,-0.000800994,0.000122138,0.999998350,-0.000747606,-0.001448305,-0.000802596
1789447173.344604969,0.001148693,-0.000991875,0.000190318,0.999998319,-0.000774382,-0.001456890,-0.000799807
1789447173.377922058,0.001472098,-0.001203334,0.000291828,0.999998294,-0.000812607,-0.001455168,-0.000796568
1789447173.411225080,0.001825310,-0.001425407,0.000403557,0.999998264,-0.000840081,-0.001460565,-0.000796125
1789447173.444512367,0.002192887,-0.001652501,0.000525974,0.999998234,-0.000862413,-0.001467732,-0.000796699
1789447173.477786541,0.002574125,-0.001879919,0.000664496,0.999998211,-0.000904344,-0.001459532,-0.000793286
1789447173.511046410,0.002971385,-0.002100336,0.000810935,0.999998171,-0.000923452,-0.001472880,-0.000797428
1789447173.544291973,0.003368998,-0.002310293,0.000962724,0.999998135,-0.000947962,-0.001478562,-0.000803678
1789447173.577522278,0.003761294,-0.002507253,0.001114691,0.999998089,-0.000977258,-0.001488579,-0.000807100
1789447173.610738993,0.004151484,-0.002685175,0.001263568,0.999998045,-0.001004284,-0.001496179,-0.000813826
1789447173.643941641,0.004527268,-0.002833993,0.001412935,0.999998008,-0.001024959,-0.001504936,-0.000817358
1789447173.677128792,0.004873694,-0.002943992,0.001555322,0.999997962,-0.001054745,-0.001513464,-0.000820519
1789447173.710302830,0.005185201,-0.003022710,0.001684336,0.999997922,-0.001080653,-0.001517661,-0.000827391
1789447173.743462086,0.005449891,-0.003085069,0.001811375,0.999997872,-0.001102071,-0.001532574,-0.000831782
1789447173.776607513,0.005646999,-0.003144982,0.001948480,0.999997834,-0.001126797,-0.001535914,-0.000838626
1789447173.809737206,0.005742690,-0.003211898,0.002090246,0.999997788,-0.001149615,-0.001545803,-0.000843799
1789447173.842854023,0.005709145,-0.003289188,0.002234965,0.999997824,-0.001153937,-0.001524035,-0.000835183
1789447173.875956297,0.005564439,-0.003374029,0.002381882,0.999997862,-0.001154502,-0.001503748,-0.000825853
1789447173.909044266,0.005349280,-0.003463427,0.002530817,0.999997918,-0.001143856,-0.001480121,-0.000815572
1789447173.942116737,0.005086708,-0.003552687,0.002679540,0.999997948,-0.001154210,-0.001456041,-0.000806869
1789447173.975176096,0.004774605,-0.003636784,0.002820535,0.999997990,-0.001155948,-0.001429732,-0.000799598
1789447174.008220911,0.004415310,-0.003708911,0.002941014,0.999998032,-0.001151246,-0.001409547,-0.000789721
1789447174.041252375,0.004030930,-0.003769231,0.003045222,0.999998068,-0.001152328,-0.001388830,-0.000779532
1789447174.074626207,0.003635241,-0.003816962,0.003143755,0.999998104,-0.001155602,-0.001363474,-0.000773431
1789447174.107996225,0.003249766,-0.003842855,0.003221732,0.999998149,-0.001153754,-0.001338426,-0.000760715
1789447174.141363144,0.002884034,-0.003834211,0.003259594,0.999998183,-0.001147555,-0.001321567,-0.000755717
1789447174.174725294,0.002544631,-0.003785908,0.003254246,0.999998204,-0.001119207,-0.001325498,-0.000763310
1789447174.208084822,0.002237374,-0.003706025,0.003219471,0.999998224,-0.001092522,-0.001331212,-0.000765888
1789447174.241440773,0.001955343,-0.003603654,0.003161877,0.999998236,-0.001064705,-0.001341173,-0.000771429
1789447174.274793148,0.001686261,-0.003482913,0.003083877,0.999998254,-0.001032857,-0.001350801,-0.000775531
1789447174.308141232,0.001434465,-0.003342811,0.002984102,0.999998267,-0.001008421,-0.001356048,-0.000781535
1789447174.341486216,0.001211092,-0.003186639,0.002868004,0.999998293,-0.000973426,-0.001358796,-0.000787874
1789447174.374828100,0.001008815,-0.003019904,0.002745361,0.999998302,-0.000947082,-0.001367967,-0.000792107
1789447174.408165216,0.000820783,-0.002845628,0.002610429,0.999998309,-0.000919795,-0.001378804,-0.000796708
1789447174.441499710,0.000643861,-0.002665636,0.002462405,0.999998323,-0.000886866,-0.001386193,-0.000804074
1789447174.474830866,0.000481244,-0.002483461,0.002313214,0.999998336,-0.000854838,-0.001394299,-0.000807921
1789447174.508158207,0.000343204,-0.002298296,0.002166378,0.999998345,-0.000834130,-0.001399823,-0.000809523
1789447174.541481256,0.000219927,-0.002110954,0.002017372,0.999998343,-0.000816690,-0.001410196,-0.000810797
1789447174.574801445,0.000099965,-0.001921596,0.001862790,0.999998342,-0.000802357,-0.001419583,-0.000810854
1789447174.608118057,-0.000010722,-0.001730231,0.001705171,0.999998349,-0.000781915,-0.001424557,-0.000812601
1789447174.641430378,-0.000102580,-0.001543258,0.001552145,0.999998353,-0.000746510,-0.001438837,-0.000816013
1789447174.674740076,-0.000178135,-0.001361311,0.001406720,0.999998351,-0.000737640,-0.001444379,-0.000816545
1789447174.708046198,-0.000246607,-0.001183177,0.001258303,0.999998348,-0.000722267,-0.001451509,-0.000821663
1789447174.741348743,-0.000309887,-0.001007334,0.001105168,0.999998358,-0.000708246,-0.001452436,-0.000820789
1789447174.774646521,-0.000365321,-0.000836795,0.000960041,0.999998362,-0.000683619,-0.001460513,-0.000822489
1789447174.807941914,-0.000406429,-0.000674126,0.000828351,0.999998357,-0.000661316,-0.001473317,-0.000823012
1789447174.841233730,-0.000439653,-0.000518221,0.000705892,0.999998362,-0.000650710,-0.001474378,-0.000823856
1789447174.874521971,-0.000474535,-0.000366369,0.000585041,0.999998348,-0.000637607,-0.001488088,-0.000826450
1789447174.907805681,-0.000501868,-0.000219957,0.000468190,0.999998354,-0.000614642,-0.001494422,-0.000825069
1789447174.941086769,-0.000518217,-0.000082115,0.000363637,0.999998343,-0.000606060,-0.001503799,-0.000828193
1789447174.974364281,-0.000531203,0.000045276,0.000271598,0.999998337,-0.000591060,-0.001513779,-0.000827677
1789447175.007637262,-0.000543251,0.000162899,0.000181123,0.999998324,-0.000556174,-0.001535427,-0.000827301
1789447175.040908098,-0.000554573,0.000273268,0.000095171,0.999998323,-0.000556900,-0.001534570,-0.000829730
1789447175.074169636,-0.000561883,0.000373446,0.000022087,0.999998311,-0.000542998,-0.001546994,-0.000830598
1789447175.107426643,-0.000560900,0.000462908,-0.000038865,0.999998314,-0.000525738,-0.001551869,-0.000828999
1789447175.140677691,-0.000562882,0.000540454,-0.000090610,0.999998305,-0.000496185,-0.001565038,-0.000833833
1789447175.173925400,-0.000567740,0.000604945,-0.000132009,0.999998309,-0.000484076,-0.001565133,-0.000835945
1789447175.207167625,-0.000565056,0.000658674,-0.000160968,0.999998312,-0.000464948,-0.001565333,-0.000841820
1789447175.240405798,-0.000556328,0.000703736,-0.000172880,0.999998303,-0.000436841,-0.001577320,-0.000845344
1789447175.273638010,-0.000546780,0.000744503,-0.000174073,0.999998306,-0.000417726,-0.001577724,-0.000850966
1789447175.306866169,-0.000537157,0.000783980,-0.000171305,0.999998298,-0.000376515,-0.001591604,-0.000853598
1789447175.340089798,-0.000522215,0.000823626,-0.000152618,0.999998306,-0.000375111,-0.001584873,-0.000857895
1789447175.373307705,-0.000499646,0.000859459,-0.000118515,0.999998294,-0.000337791,-0.001597631,-0.000863600
1789447175.406521797,-0.000475978,0.000894731,-0.000080868,0.999998292,-0.000316536,-0.001600872,-0.000867488
1789447175.439731121,-0.000466387,0.000931399,-0.000053498,0.999998297,-0.000295188,-0.001601392,-0.000868254
1789447175.472935677,-0.000474873,0.000972501,-0.000046128,0.999998283,-0.000279903,-0.001610057,-0.000874262
1789447175.506134510,-0.000495705,0.001018906,-0.000059036,0.999998303,-0.000255485,-0.001599092,-0.000878969
1789447175.539329767,-0.000527523,0.001069882,-0.000085266,0.999998323,-0.000234722,-0.001586807,-0.000884128
1789447175.572520018,-0.000569225,0.001125531,-0.000123127,0.999998333,-0.000207063,-0.001582180,-0.000888117
1789447175.605705500,-0.000612284,0.001184099,-0.000169462,0.999998357,-0.000197911,-0.001565611,-0.000891729
1789447175.638885498,-0.000650318,0.001242958,-0.000215888,0.999998371,-0.000167565,-0.001556805,-0.000898207
1789447175.672061443,-0.000680359,0.001305114,-0.000259108,0.999998384,-0.000155549,-0.001546900,-0.000902394
1789447175.705232859,-0.000701795,0.001371475,-0.000304573,0.999998398,-0.000129909,-0.001537391,-0.000907328
1789447175.738398552,-0.000719036,0.001440350,-0.000349045,0.999998416,-0.000111453,-0.001525389,-0.000909917
1789447175.771560192,-0.000732998,0.001511981,-0.000389743,0.999998430,-0.000094201,-0.001514518,-0.000915167
1789447175.804717541,-0.000741298,0.001586887,-0.000433028,0.999998435,-0.000045051,-0.001511956,-0.000917987
1789447175.837869883,-0.000745122,0.001668960,-0.000480340,0.999998454,-0.000047457,-0.001493379,-0.000927641
1789447175.871016264,-0.000747697,0.001756141,-0.000529305,0.999998465,-0.000018987,-0.001479985,-0.000937334
1789447175.904159069,-0.000745385,0.001850111,-0.000578116,0.999998483,0.000002235,-0.001463482,-0.000944534
1789447175.937297344,-0.000743074,0.001956629,-0.000626718,0.999998492,0.000019873,-0.001451503,-0.000953080
1789447175.970429659,-0.000750451,0.002080498,-0.000676971,0.999998498,0.000047865,-0.001439747,-0.000963271
1789447176.003558159,-0.000764478,0.002225391,-0.000730525,0.999998517,0.000071861,-0.001421588,-0.000969371
1789447176.036682844,-0.000777765,0.002381761,-0.000780426,0.999998535,0.000088269,-0.001401407,-0.000978452
1789447176.070017099,-0.000784719,0.002529369,-0.000819990,0.999998542,0.000107331,-0.001389156,-0.000987073
1789447176.103350401,-0.000777714,0.002642473,-0.000850160,0.999998540,0.000140277,-0.001381735,-0.000995756
