t_sec,x,y,z,qw,qx,qy,qz
1789447175.007637262,0.012841019364,0.009436286676,-0.024711543173,0.697229660,-0.716839735,0.001327670,-0.003135732
1789447175.040908098,0.012856239203,0.009551034931,-0.024820528974,0.697234266,-0.716835239,0.001331189,-0.003137862
1789447175.074169636,0.012877966392,0.009691016283,-0.024950093672,0.697249389,-0.716820496,0.001324402,-0.003148416
1789447175.107426643,0.012901943372,0.009821299527,-0.025067066168,0.697266915,-0.716803438,0.001321121,-0.003151833
1789447175.140677691,0.012922378759,0.009937224870,-0.025168861096,0.697293241,-0.716777776,0.001316732,-0.003165671
1789447175.173925400,0.012938539225,0.010037515463,-0.025254282687,0.697308825,-0.716762612,0.001318216,-0.003165898
1789447175.207167625,0.012956244179,0.010124420478,-0.025321425588,0.697329424,-0.716742551,0.001322360,-0.003168817
1789447175.240405798,0.012976987379,0.010201612278,-0.025369759053,0.697356489,-0.716716186,0.001316645,-0.003178542
1789447175.273638010,0.012998278878,0.010273289485,-0.025403549599,0.697377078,-0.716696132,0.001320464,-0.003181430
1789447175.306866169,0.013020196995,0.010342956772,-0.025424794073,0.697413540,-0.716660619,0.001312852,-0.003191878
1789447175.340089798,0.013045655374,0.010411276210,-0.025429140962,0.697421428,-0.716652943,0.001320611,-0.003188743
1789447175.373307705,0.013075828923,0.010478747777,-0.025417484000,0.697455084,-0.716620144,0.001315967,-0.003200532
1789447175.406521797,0.013104056714,0.010547676718,-0.025400865062,0.697477216,-0.716598585,0.001316576,-0.003204245
1789447175.439731121,0.013119714931,0.010622337840,-0.025392549715,0.697499423,-0.716576971,0.001316843,-0.003203830
1789447175.472935677,0.013118105873,0.010707471612,-0.025401517584,0.697517278,-0.716559554,0.001315165,-0.003212916
1789447175.506134510,0.013100731328,0.010805825330,-0.025429180345,0.697533816,-0.716543458,0.001325394,-0.003207983
1789447175.539329767,0.013070211591,0.010916766993,-0.025471521448,0.697547731,-0.716529916,0.001336848,-0.003202421
1789447175.572520018,0.013029806419,0.011039003715,-0.025525099993,0.697566606,-0.716511535,0.001342161,-0.003201531
1789447175.605705500,0.012985335166,0.011171550133,-0.025585906529,0.697572198,-0.716506108,0.001355438,-0.003191828
1789447175.638885498,0.012942341986,0.011315628673,-0.025647785584,0.697592980,-0.716485866,0.001365459,-0.003189672
1789447175.672061443,0.012903406830,0.011473772457,-0.025708452853,0.697600635,-0.716478416,0.001374519,-0.003185148
1789447175.705232859,0.012868459580,0.011646634917,-0.025769546261,0.697618048,-0.716461459,0.001383901,-0.003181416
1789447175.738398552,0.012834903091,0.011833301808,-0.025830752450,0.697630319,-0.716449524,0.001393306,-0.003174269
1789447175.771560192,0.012801024289,0.012035785590,-0.025892288070,0.697641718,-0.716438423,0.001403825,-0.003169788
1789447175.804717541,0.012766178414,0.012258570971,-0.025958352874,0.697675996,-0.716405039,0.001406959,-0.003169543
1789447175.837869883,0.012728800859,0.012503687646,-0.026031746711,0.697676986,-0.716404060,0.001425832,-0.003164368
1789447175.871016264,0.012689383101,0.012768068744,-0.026110425630,0.697700105,-0.716381520,0.001441264,-0.003162909
1789447175.904159069,0.012650864721,0.013045645291,-0.026192142999,0.697718036,-0.716364048,0.001457042,-0.003157489
1789447175.937297344,0.012612722188,0.013331820839,-0.026276210991,0.697733402,-0.716349059,0.001470615,-0.003156256
1789447175.970429659,0.012572575636,0.013622687142,-0.026363308335,0.697756177,-0.716326845,0.001485260,-0.003156318
1789447176.003558159,0.012533508002,0.013912453494,-0.026452444102,0.697776095,-0.716307442,0.001501416,-0.003148942
1789447176.036682844,0.012502253422,0.014188935408,-0.026537169820,0.697790559,-0.716293340,0.001521083,-0.003142200
1789447176.070017099,0.012486590548,0.014429197287,-0.026609769671,0.697806942,-0.716277357,0.001534907,-0.003140821
1789447176.103350401,0.012496536811,0.014599588039,-0.026664624178,0.697833278,-0.716251666,0.001545473,-0.003142937
1789447176.136684179,0.012543568962,0.014664345007,-0.026694205406,0.697851393,-0.716234003,0.001564598,-0.003136552
1789447176.170017719,0.012636158506,0.014603725489,-0.026689767329,0.697855680,-0.716229749,0.001557811,-0.003157511
1789447176.203351259,0.012773776628,0.014429393486,-0.026650454997,0.697854641,-0.716230666,0.001555978,-0.003179904
1789447176.236683607,0.012947074804,0.014169571845,-0.026583425898,0.697853892,-0.716231293,0.001551711,-0.003205008
1789447176.270016670,0.013144539147,0.013845269364,-0.026495618129,0.697852615,-0.716232439,0.001547877,-0.003228796
1789447176.303349257,0.013360683579,0.013465369384,-0.026388051711,0.697853188,-0.716231795,0.001543281,-0.003249968
1789447176.336680889,0.013593597816,0.013037201410,-0.026259100034,0.697851614,-0.716233225,0.001536941,-0.003275631
1789447176.370013237,0.013831636162,0.012579521527,-0.026114138522,0.697852051,-0.716232707,0.001534303,-0.003297049
