t_sec,x,y,z,qw,qx,qy,qz
1789447175.007637262,0.013214955423,0.008991662974,-0.023833295090,0.696683270,-0.717362891,0.000876505,-0.004704734
1789447175.040908098,0.013207454390,0.009074102945,-0.023896085150,0.696682741,-0.717363396,0.000878842,-0.004705814
1789447175.074169636,0.013201630853,0.009173229152,-0.023967768985,0.696692714,-0.717353658,0.000870846,-0.004715308
1789447175.107426643,0.013200271953,0.009263621633,-0.024029129662,0.696705102,-0.717341615,0.000866353,-0.004717665
1789447175.140677691,0.013198739979,0.009342245908,-0.024080192183,0.696726288,-0.717320961,0.000860728,-0.004730436
1789447175.173925400,0.013196664959,0.009408363258,-0.024120750572,0.696734967,-0.717312520,0.000862213,-0.004731960
1789447175.207167625,0.013199288781,0.009463776988,-0.024148314468,0.696748666,-0.717299181,0.000866344,-0.004736173
1789447175.240405798,0.013207115668,0.009511247697,-0.024161281087,0.696768818,-0.717279540,0.000860600,-0.004747186
1789447175.273638010,0.013216876139,0.009554144910,-0.024163470361,0.696782508,-0.717266208,0.000864407,-0.004751369
1789447175.306866169,0.013228250109,0.009595361487,-0.024157148566,0.696812061,-0.717237430,0.000856743,-0.004763099
1789447175.340089798,0.013243997973,0.009635030052,-0.024138118123,0.696813051,-0.717236471,0.000864520,-0.004761267
1789447175.373307705,0.013265214041,0.009672907971,-0.024106438999,0.696839800,-0.717210401,0.000859830,-0.004774340
1789447175.406521797,0.013285305862,0.009709994600,-0.024071870992,0.696855031,-0.717195568,0.000860423,-0.004779346
1789447175.439731121,0.013293975624,0.009748527855,-0.024046601676,0.696870339,-0.717180688,0.000860674,-0.004780223
1789447175.472935677,0.013287032196,0.009790840077,-0.024038921459,0.696881282,-0.717169988,0.000858988,-0.004790603
1789447175.506134510,0.013266326751,0.009838179332,-0.024049921739,0.696898774,-0.717153008,0.000870080,-0.004785990
1789447175.539329767,0.013234405916,0.009890327484,-0.024075554130,0.696913642,-0.717138579,0.000882406,-0.004780750
1789447175.572520018,0.013194418487,0.009946684799,-0.024112485303,0.696933462,-0.717119314,0.000888575,-0.004780176
1789447175.605705500,0.013152449940,0.010005615266,-0.024156830803,0.696940007,-0.717112997,0.000902742,-0.004770801
1789447175.638885498,0.013114686073,0.010066346827,-0.024202494122,0.696961743,-0.717091871,0.000913617,-0.004768962
1789447175.672061443,0.013084266615,0.010129802034,-0.024247090650,0.696970341,-0.717083529,0.000923560,-0.004764763
1789447175.705232859,0.013061217701,0.010196937523,-0.024291887220,0.696988707,-0.717065688,0.000933804,-0.004761350
1789447175.738398552,0.013043176284,0.010267018374,-0.024335849604,0.697001928,-0.717052868,0.000944083,-0.004754525
1789447175.771560192,0.013029339737,0.010340206102,-0.024378121592,0.697014276,-0.717040877,0.000955477,-0.004750367
1789447175.804717541,0.013020388003,0.010417699212,-0.024421705215,0.697049507,-0.717006623,0.000959434,-0.004750429
1789447175.837869883,0.013015255662,0.010500257452,-0.024468711171,0.697047741,-0.717008357,0.000979298,-0.004743842
1789447175.871016264,0.013012889459,0.010589020879,-0.024517449807,0.697068114,-0.716988547,0.000995670,-0.004740957
1789447175.904159069,0.013013323836,0.010685763230,-0.024566477891,0.697083298,-0.716973806,0.001012401,-0.004734115
1789447175.937297344,0.013012714904,0.010794858396,-0.024615764645,0.697095908,-0.716961542,0.001026932,-0.004731460
1789447175.970429659,0.013005543965,0.010921040607,-0.024666498199,0.697115936,-0.716942056,0.001042518,-0.004730097
1789447176.003558159,0.012992760963,0.011064795893,-0.024718520515,0.697133110,-0.716925389,0.001059623,-0.004721297
1789447176.036682844,0.012980351828,0.011216897015,-0.024767014806,0.697144833,-0.716914013,0.001080251,-0.004713136
1789447176.070017099,0.012975039724,0.011358774822,-0.024806808690,0.697158462,-0.716900755,0.001095030,-0.004710336
1789447176.103350401,0.012984305277,0.011466419477,-0.024836059147,0.697182045,-0.716877798,0.001106528,-0.004711023
1789447176.136684179,0.013016563226,0.011515695453,-0.024851316645,0.697197421,-0.716862865,0.001126607,-0.004703216
1789447176.170017719,0.013079037380,0.011492180066,-0.024845903094,0.697188070,-0.716871846,0.001116041,-0.004722873
1789447176.203351259,0.013173278786,0.011401165779,-0.024817726591,0.697173394,-0.716885988,0.001110441,-0.004743968
1789447176.236683607,0.013294104692,0.011258110027,-0.024771022067,0.697159003,-0.716899838,0.001102404,-0.004767774
1789447176.270016670,0.013434035509,0.011073073974,-0.024710355823,0.697144084,-0.716914208,0.001094804,-0.004790265
1789447176.303349257,0.013590563324,0.010848780996,-0.024635625194,0.697131019,-0.716926792,0.001086437,-0.004810138
1789447176.336680889,0.013764024504,0.010588859131,-0.024544449685,0.697115797,-0.716941445,0.001076331,-0.004834503
1789447176.370013237,0.013945153176,0.010307291385,-0.024440679644,0.697102597,-0.716954153,0.001069922,-0.004854622
1789447176.403345108,0.014111291381,0.010028257722,-0.024337611282,0.697087879,-0.716968320,0.001060115,-0.004877814
1789447176.436677217,0.014233140422,0.009780996017,-0.024252435919,0.697076018,-0.716979701,0.001052604,-0.004901586
1789447176.470007896,0.014283649832,0.009591977350,-0.024198170084,0.697062019,-0.716993189,0.001042324,-0.004921596
1789447176.503339291,0.014252213920,0.009474930511,-0.024179379698,0.697068512,-0.716986910,0.001041823,-0.004916854
1789447176.536670446,0.014151943184,0.009422431790,-0.024191708697,0.697077352,-0.716978328,0.001040534,-0.004915251
1789447176.570001364,0.014006882109,0.009418593547,-0.024227235360,0.697081137,-0.716974660,0.001037641,-0.004914064
1789447176.603331327,0.013842991431,0.009451035272,-0.024279285648,0.697091585,-0.716964531,0.001043268,-0.004908764
1789447176.636661768,0.013683230869,0.009512518149,-0.024343586811,0.697098098,-0.716958204,0.001038025,-0.004908854
1789447176.669992208,0.013539551386,0.009598185790,-0.024417359673,0.697105810,-0.716950729,0.001040736,-0.004904988
1789447176.703321218,0.013412567705,0.009700333364,-0.024498984823,0.697111760,-0.716944975,0.001043322,-0.004899886
1789447176.736651421,0.013299384992,0.009808752731,-0.024584287511,0.697116532,-0.716940368,0.001044050,-0.004894884
1789447176.769980907,0.013197949866,0.009911563672,-0.024665239112,0.697127477,-0.716929751,0.001043907,-0.004891082
1789447176.803310394,0.013108841063,0.009998815104,-0.024736203977,0.697133024,-0.716924375,0.001044924,-0.004888210
1789447176.836638689,0.013032976371,0.010066652559,-0.024796480562,0.697125908,-0.716931301,0.001049928,-0.004886270
1789447176.869967699,0.012967659446,0.010119978734,-0.024848960284,0.697118071,-0.716938935,0.001052854,-0.004883688
1789447176.903296471,0.012910332773,0.010168447841,-0.024899029282,0.697114480,-0.716942416,0.001055910,-0.004884586
1789447176.936625004,0.012862936790,0.010221785097,-0.024952766937,0.697108332,-0.716948419,0.001059595,-0.004880011
1789447176.969952345,0.012828335947,0.010288219281,-0.025013394132,0.697107256,-0.716949451,0.001060686,-0.004881830
1789447177.003280401,0.012808888581,0.010371323477,-0.025081558050,0.697101319,-0.716955246,0.001070011,-0.004876699
1789447177.036608696,0.012806052040,0.010466000562,-0.025154994222,0.697094439,-0.716961939,0.001068598,-0.004876410
1789447177.069944859,0.012820051008,0.010560847669,-0.025228707567,0.697087938,-0.716968273,0.001075626,-0.004872899
1789447177.103281975,0.012854528648,0.010642817107,-0.025296860489,0.697084469,-0.716971639,0.001076468,-0.004873804
1789447177.136619091,0.012916641664,0.010699133057,-0.025352363947,0.697077633,-0.716978297,0.001082643,-0.004870705
1789447177.169955969,0.013008568742,0.010721987792,-0.025388304008,0.697052244,-0.717002924,0.001081565,-0.004879151
1789447177.203291893,0.013122634868,0.010713307621,-0.025404813539,0.697025097,-0.717029252,0.001081144,-0.004888462
1789447177.236629009,0.013244073458,0.010678840365,-0.025406075505,0.697001581,-0.717052063,0.001078554,-0.004896057
1789447177.269965649,0.013355289379,0.010620251604,-0.025392369225,0.696974668,-0.717078176,0.001081118,-0.004902218
1789447177.303301334,0.013443304177,0.010535484695,-0.025360887487,0.696952544,-0.717099625,0.001077941,-0.004911055
1789447177.336637974,0.013502019887,0.010424378361,-0.025309824000,0.696923712,-0.717127582,0.001077479,-0.004920342
1789447177.369974375,0.013532643066,0.010295372729,-0.025242445824,0.696898318,-0.717152200,0.001075121,-0.004929631
1789447177.403310776,0.013542719353,0.010162058940,-0.025167778888,0.696877560,-0.717172300,0.001066819,-0.004941768
1789447177.436645985,0.013539306162,0.010037516589,-0.025094563434,0.696850753,-0.717198313,0.001072215,-0.004945457
1789447177.469982147,0.013526238570,0.009931840254,-0.025027817374,0.696826114,-0.717222192,0.001072138,-0.004954232
1789447177.503318310,0.013507507616,0.009850380284,-0.024970278494,0.696824863,-0.717223421,0.001063898,-0.004954144
1789447177.536654234,0.013485508950,0.009792024415,-0.024921120908,0.696827688,-0.717220672,0.001054000,-0.004956852
1789447177.569989204,0.013460406903,0.009751705466,-0.024878014659,0.696832360,-0.717216123,0.001039842,-0.004961138
1789447177.603325129,0.013433387056,0.009724718405,-0.024840118872,0.696835486,-0.717213086,0.001030602,-0.004963209
1789447177.636660814,0.013404851541,0.009708578475,-0.024806506411,0.696832483,-0.717216005,0.001020377,-0.004965043
1789447177.669995546,0.013373733212,0.009702293373,-0.024775244252,0.696838836,-0.717209834,0.001010011,-0.004967059
1789447177.703331232,0.013340132776,0.009704095639,-0.024746673768,0.696840567,-0.717208148,0.001000457,-0.004969558
1789447177.736666679,0.013303705273,0.009712550145,-0.024721778453,0.696839706,-0.717209011,0.000991590,-0.004967461
1789447177.770002127,0.013263752770,0.009727771599,-0.024700260434,0.696843286,-0.717205518,0.000981511,-0.004971480
1789447177.803336620,0.013221820432,0.009751049900,-0.024682278476,0.696844828,-0.717204025,0.000972058,-0.004972707
1789447177.836671829,0.013178641534,0.009783102814,-0.024667710015,0.696853901,-0.717195228,0.000964944,-0.004971308
1789447177.870007038,0.013133005551,0.009824064073,-0.024656912461,0.696857187,-0.717192058,0.000958123,-0.004969420
1789447177.903342009,0.013083266278,0.009876751928,-0.024652253965,0.696865600,-0.717183898,0.000953715,-0.004968057
1789447177.936676025,0.013027240816,0.009945147690,-0.024655056720,0.696867940,-0.717181648,0.000948286,-0.004965759
1789447177.970010996,0.012964428542,0.010033054464,-0.024664057639,0.696872461,-0.717177290,0.000944270,-0.004961400
1789447178.003345728,0.012898300599,0.010140837465,-0.024678433422,0.696880545,-0.717169473,0.000937770,-0.004957134
1789447178.036679506,0.012832529891,0.010260483334,-0.024696404119,0.696882284,-0.717167811,0.000932858,-0.004954005
1789447178.070017099,0.012770240005,0.010375740918,-0.024714047396,0.696890891,-0.717159461,0.000926691,-0.004953275
1789447178.103354454,0.012721445274,0.010466105351,-0.024727097247,0.696897720,-0.717152840,0.000921229,-0.004952169
1789447178.136691809,0.012698298949,0.010511729467,-0.024728205626,0.696901922,-0.717148773,0.000915417,-0.004950798
1789447178.170028210,0.012705131866,0.010502848372,-0.024712047892,0.696866982,-0.717182646,0.000896126,-0.004965739
1789447178.203365564,0.012737629852,0.010447390451,-0.024682976007,0.696828422,-0.717220038,0.000878944,-0.004979477
1789447178.236702919,0.012785769435,0.010362411425,-0.024647842101,0.696792464,-0.717254886,0.000859418,-0.004995164
1789447178.270040035,0.012840912777,0.010264385946,-0.024610476226,0.696753751,-0.717292417,0.000841729,-0.005009170
1789447178.303376198,0.012899235212,0.010164939734,-0.024574898265,0.696715380,-0.717329619,0.000826252,-0.005021402
1789447178.336713076,0.012957029176,0.010069816394,-0.024544294979,0.696681338,-0.717362586,0.000807191,-0.005038029
1789447178.370050192,0.013012983064,0.009980551151,-0.024519470391,0.696640646,-0.717402052,0.000790748,-0.005047948
1789447178.403386116,0.013070213720,0.009896387396,-0.024499059153,0.696606696,-0.717434916,0.000772003,-0.005065252
1789447178.436723232,0.013129193192,0.009814370106,-0.024478798075,0.696566081,-0.717474267,0.000754569,-0.005079657
1789447178.470060110,0.013188345198,0.009731961848,-0.024456427979,0.696531554,-0.717507716,0.000739129,-0.005091670
1789447178.503396749,0.013246306915,0.009648684444,-0.024434259015,0.696494919,-0.717543231,0.000708818,-0.005102529
1789447178.536732435,0.013300194766,0.009566157875,-0.024414112458,0.696459491,-0.717577548,0.000674816,-0.005117135
1789447178.570069313,0.013349603454,0.009488616077,-0.024396406824,0.696422677,-0.717613248,0.000651191,-0.005124165
1789447178.603405714,0.013395322081,0.009423009416,-0.024383839865,0.696385555,-0.717649246,0.000623503,-0.005131242
1789447178.636741400,0.013431983666,0.009376178392,-0.024380683100,0.696348685,-0.717684970,0.000592819,-0.005142167
1789447178.670077801,0.013454279207,0.009350929147,-0.024391279852,0.696312605,-0.717719939,0.000567077,-0.005150208
1789447178.703414440,0.013464289613,0.009342670318,-0.024414478979,0.696273500,-0.717757807,0.000538164,-0.005162736
1789447178.736750841,0.013465025057,0.009340667953,-0.024442316232,0.696237414,-0.717792778,0.000507182,-0.005170574
1789447178.770086288,0.013457380422,0.009334167763,-0.024468152536,0.696203022,-0.717826078,0.000480589,-0.005181061
1789447178.803422689,0.013439291836,0.009315733812,-0.024489068916,0.696164595,-0.717863302,0.000450024,-0.005189851
1789447178.836758852,0.013407650500,0.009282852166,-0.024502948641,0.696153241,-0.717874430,0.000452792,-0.005173342
1789447178.870095015,0.013365742966,0.009239837415,-0.024510404257,0.696141225,-0.717886199,0.000459825,-0.005156325
1789447178.903430223,0.013318972109,0.009196425808,-0.024514333575,0.696132996,-0.717894295,0.000459254,-0.005140319
1789447178.936766148,0.013267434319,0.009165183545,-0.024517672139,0.696118992,-0.717907977,0.000463195,-0.005125553
1789447178.970102310,0.013210575695,0.009160390324,-0.024524685029,0.696107817,-0.717918962,0.000467245,-0.005104197
1789447179.003437281,0.013150320383,0.009188275595,-0.024537000681,0.696097103,-0.717929443,0.000467774,-0.005091159
1789447179.036773205,0.013089922196,0.009240751318,-0.024548898845,0.696085749,-0.717940567,0.000470328,-0.005074468
1789447179.070113182,0.013037004759,0.009303452744,-0.024553266769,0.696073407,-0.717952670,0.000473931,-0.005054790
1789447179.103454113,0.013001590349,0.009360824513,-0.024544874779,0.696062803,-0.717963059,0.000473816,-0.005039355
1789447179.136793852,0.012990986301,0.009398839405,-0.024517000052,0.696050527,-0.717975068,0.000479787,-0.005023584
1789447179.170135021,0.013010341191,0.009410683316,-0.024464727512,0.696049930,-0.717975520,0.000473911,-0.005042087
1789447179.203475714,0.013057989817,0.009398137586,-0.024388003637,0.696052545,-0.717972824,0.000464578,-0.005065772
1789447179.236816645,0.013124567397,0.009367280450,-0.024289098003,0.696050548,-0.717974635,0.000460428,-0.005083798
1789447179.270156384,0.013202320082,0.009324413042,-0.024172704460,0.696054383,-0.717970762,0.000454194,-0.005106297
