t_sec,x,y,z,qw,qx,qy,qz
1789447652.670111418,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789447652.703503370,0.000017765,-0.000014711,0.000036152,1.000000000,-0.000028262,0.000005583,-0.000004301
1789447652.736879349,0.000017287,-0.000008637,0.000036065,1.000000000,-0.000024238,0.000004621,-0.000005489
1789447652.770241499,0.000019115,-0.000014874,0.000032764,1.000000000,-0.000027465,0.000004244,-0.000006736
1789447652.803588629,0.000016071,-0.000009490,0.000035450,1.000000000,-0.000024960,0.000005163,-0.000009155
1789447652.836919785,0.000014578,-0.000005790,0.000038436,1.000000000,-0.000023913,0.000006479,-0.000007471
1789447652.870236874,0.000019732,-0.000007866,0.000037901,1.000000000,-0.000025673,0.000005842,-0.000008036
1789447652.903539181,0.000012687,-0.000006626,0.000038321,1.000000000,-0.000023280,0.000007814,-0.000008166
1789447652.936826229,0.000014685,-0.000010285,0.000033486,1.000000000,-0.000024995,0.000005991,-0.000004907
1789447652.970097303,0.000015314,-0.000012964,0.000032897,1.000000000,-0.000027233,0.000005607,-0.000004885
1789447653.003354549,0.000008720,-0.000010021,0.000038217,1.000000000,-0.000024648,0.000008206,-0.000007583
1789447653.036596775,0.000012017,-0.000009083,0.000035067,1.000000000,-0.000025492,0.000006702,-0.000006770
1789447653.069823742,0.000014094,-0.000012925,0.000035112,1.000000000,-0.000026163,0.000006492,-0.000007585
1789447653.103035212,0.000013338,-0.000014157,0.000034112,1.000000000,-0.000026798,0.000005998,-0.000006367
1789447653.136232138,0.000010063,-0.000009697,0.000035767,1.000000000,-0.000025022,0.000007673,-0.000006156
1789447653.169414520,0.000015606,-0.000009608,0.000034268,1.000000000,-0.000026595,0.000005342,-0.000006794
1789447653.202580929,0.000013402,-0.000009880,0.000030731,1.000000000,-0.000026375,0.000005656,-0.000006944
1789447653.235732794,0.000015674,-0.000004477,0.000033529,1.000000000,-0.000023724,0.000005102,-0.000006210
1789447653.268870354,0.000012048,-0.000005652,0.000035960,1.000000000,-0.000022590,0.000006270,-0.000008053
1789447653.301992416,0.000011656,-0.000009919,0.000032855,1.000000000,-0.000023234,0.000006028,-0.000005520
1789447653.335098982,0.000013715,-0.000004920,0.000033967,1.000000000,-0.000022725,0.000006154,-0.000008078
1789447653.368191242,0.000014273,-0.000008039,0.000033262,1.000000000,-0.000024550,0.000005175,-0.000004685
1789447653.401268244,0.000014052,-0.000005510,0.000035910,1.000000000,-0.000023223,0.000006392,-0.000007628
1789447653.434330702,0.000011508,-0.000008809,0.000033805,1.000000000,-0.000023698,0.000006378,-0.000005722
1789447653.467377186,0.000015533,-0.000007555,0.000037510,1.000000000,-0.000023373,0.000004130,-0.000004118
1789447653.500409365,0.000016884,-0.000004699,0.000037489,1.000000000,-0.000022135,0.000003598,-0.000007510
1789447653.533426762,0.000013595,-0.000010757,0.000033502,1.000000000,-0.000025550,0.000005312,-0.000006261
1789447653.566429853,0.000017056,-0.000012010,0.000034584,1.000000000,-0.000027878,0.000003953,-0.000005351
1789447653.599799633,0.000011382,-0.000002718,0.000034824,1.000000000,-0.000021674,0.000008088,-0.000010126
1789447653.633165836,0.000018616,-0.000007498,0.000031642,1.000000000,-0.000024804,0.000004029,-0.000005999
1789447653.666528463,0.000017410,-0.000007142,0.000033284,1.000000000,-0.000024512,0.000003750,-0.000007376
1789447653.699887037,0.000012838,-0.000002207,0.000037510,1.000000000,-0.000020698,0.000006644,-0.000009756
1789447653.733242989,0.000013086,-0.000003041,0.000031227,1.000000000,-0.000021320,0.000005435,-0.000008511
1789447653.766595364,0.000011062,-0.000008895,0.000034236,1.000000000,-0.000023375,0.000007845,-0.000005344
1789447653.799944639,0.000012810,-0.000008913,0.000033574,1.000000000,-0.000024454,0.000007234,-0.000005853
1789447653.833289385,0.000018385,-0.000009588,0.000031413,1.000000000,-0.000027541,0.000004639,-0.000005067
1789447653.866631508,0.000013171,-0.000009112,0.000034969,1.000000000,-0.000025073,0.000005580,-0.000007526
1789447653.899970531,0.000010208,-0.000012236,0.000034501,1.000000000,-0.000025488,0.000007174,-0.000005387
1789447653.933305025,0.000009710,-0.000005449,0.000034172,1.000000000,-0.000021538,0.000007947,-0.000008368
1789447653.966636896,0.000008552,-0.000009484,0.000030434,1.000000000,-0.000023586,0.000008106,-0.000009342
1789447653.999965668,0.000012990,-0.000004613,0.000033709,1.000000000,-0.000022882,0.000007535,-0.000010503
1789447654.033290863,0.000013066,-0.000008609,0.000036110,1.000000000,-0.000025507,0.000007609,-0.000009950
1789447654.066611528,0.000014886,-0.000003065,0.000033380,1.000000000,-0.000021169,0.000007112,-0.000009201
1789447654.099930048,0.000015268,-0.000012382,0.000032239,1.000000000,-0.000027158,0.000005262,-0.000006477
1789447654.133244991,0.000017040,-0.000007890,0.000035111,1.000000000,-0.000025418,0.000004347,-0.000007285
1789447654.166555405,0.000009532,-0.000010539,0.000031558,1.000000000,-0.000025708,0.000008163,-0.000006855
1789447654.199863434,0.000013759,-0.000009905,0.000028828,1.000000000,-0.000025785,0.000008106,-0.000006658
1789447654.233168125,0.000017555,-0.000004627,0.000031220,1.000000000,-0.000021971,0.000004817,-0.000007886
1789447654.266469479,0.000017482,-0.000008024,0.000030540,1.000000000,-0.000026547,0.000004919,-0.000005493
1789447654.299766302,0.000012904,-0.000003065,0.000036014,1.000000000,-0.000021707,0.000006093,-0.000007178
1789447654.333060741,0.000010234,-0.000008457,0.000030744,1.000000000,-0.000025260,0.000008395,-0.000005361
1789447654.366351843,0.000015524,-0.000004811,0.000032260,1.000000000,-0.000022685,0.000005458,-0.000008150
1789447654.399639368,0.000013580,-0.000005437,0.000033756,1.000000000,-0.000022856,0.000006263,-0.000006228
1789447654.432922602,0.000011677,-0.000011808,0.000028116,1.000000000,-0.000027390,0.000006396,-0.000005061
1789447654.466203690,0.000017570,-0.000009877,0.000032015,1.000000000,-0.000026912,0.000003603,-0.000004057
1789447654.499480963,0.000013701,-0.000006065,0.000029194,1.000000000,-0.000022652,0.000005431,-0.000007738
1789447654.532753944,0.000012787,-0.000004847,0.000033743,1.000000000,-0.000022775,0.000006089,-0.000005795
1789447654.566025019,0.000014144,-0.000005787,0.000033469,1.000000000,-0.000024973,0.000006653,-0.000007866
1789447654.599274158,0.000012596,-0.000010010,0.000034753,1.000000000,-0.000026304,0.000005924,-0.000004789
1789447654.632518530,0.000013735,-0.000008739,0.000032235,1.000000000,-0.000025295,0.000006131,-0.000004410
1789447654.665757179,0.000015855,-0.000012527,0.000031802,1.000000000,-0.000028967,0.000004756,-0.000005124
1789447654.698991776,0.000014450,-0.000007294,0.000036606,1.000000000,-0.000024382,0.000005765,-0.000006206
1789447654.732221127,0.000014164,-0.000008233,0.000035562,1.000000000,-0.000024534,0.000006201,-0.000006810
1789447654.765445948,0.000016581,-0.000006463,0.000039404,1.000000000,-0.000025691,0.000004986,-0.000005943
1789447654.798664808,0.000009377,0.000000282,0.000037656,1.000000000,-0.000020361,0.000009102,-0.000010211
1789447654.831879616,0.000014404,-0.000006102,0.000036121,1.000000000,-0.000023839,0.000005813,-0.000007108
1789447654.865089417,0.000019639,0.000000167,0.000039908,1.000000000,-0.000021102,0.000005366,-0.000007917
1789447654.898293495,0.000016788,-0.000001807,0.000037424,1.000000000,-0.000023135,0.000005161,-0.000007593
1789447654.931493521,0.000012828,-0.000001277,0.000039205,1.000000000,-0.000020545,0.000006769,-0.000009261
1789447654.964688778,0.000012119,-0.000002017,0.000034244,1.000000000,-0.000020330,0.000006655,-0.000008973
1789447654.997878790,0.000013199,-0.000005122,0.000033350,1.000000000,-0.000023836,0.000007036,-0.000005349
1789447655.031063318,0.000012378,-0.000001595,0.000039216,1.000000000,-0.000023298,0.000008404,-0.000007909
1789447655.064243555,0.000011740,-0.000006153,0.000038476,1.000000000,-0.000023865,0.000007280,-0.000006960
1789447655.097419024,0.000010541,-0.000009360,0.000037968,1.000000000,-0.000026279,0.000007307,-0.000006161
1789447655.130589485,0.000016498,-0.000004947,0.000036282,1.000000000,-0.000023053,0.000003623,-0.000008383
1789447655.163754225,0.000014336,-0.000005462,0.000035537,1.000000000,-0.000023843,0.000005069,-0.000008125
1789447655.196914911,0.000014468,-0.000001734,0.000037894,1.000000000,-0.000021657,0.000005521,-0.000006179
1789447655.230070591,0.000014285,-0.000007140,0.000037428,1.000000000,-0.000024247,0.000006234,-0.000006713
1789447655.263220549,0.000015759,-0.000008244,0.000037357,1.000000000,-0.000025911,0.000004397,-0.000006576
1789447655.296366215,0.000014383,-0.000007774,0.000039118,1.000000000,-0.000024691,0.000005545,-0.000005473
1789447655.329507351,0.000014759,-0.000004220,0.000037957,1.000000000,-0.000023632,0.000006077,-0.000005598
1789447655.362643242,0.000014158,-0.000004773,0.000033979,1.000000000,-0.000022056,0.000004279,-0.000007093
1789447655.395773411,0.000015308,-0.000004712,0.000039833,1.000000000,-0.000024490,0.000005707,-0.000005145
1789447655.428899765,0.000011292,-0.000007299,0.000033278,1.000000000,-0.000023962,0.000005909,-0.000005148
1789447655.462021112,0.000016168,-0.000006867,0.000038063,1.000000000,-0.000024495,0.000004616,-0.000006881
1789447655.495136261,0.000015705,-0.000011811,0.000037074,1.000000000,-0.000028774,0.000005805,-0.000004053
1789447655.528247833,0.000016375,-0.000007977,0.000035526,1.000000000,-0.000025933,0.000003194,-0.000004480
1789447655.561355114,0.000015099,-0.000012519,0.000031774,1.000000000,-0.000027092,0.000003740,-0.000004252
1789447655.594686270,0.000011385,-0.000006591,0.000036602,1.000000000,-0.000024744,0.000007243,-0.000005572
1789447655.628016472,0.000012855,-0.000005217,0.000036398,1.000000000,-0.000023294,0.000005692,-0.000008168
1789447655.661347389,0.000016607,-0.000008911,0.000032095,1.000000000,-0.000026491,0.000004168,-0.000006501
1789447655.694678307,0.000014581,-0.000005839,0.000038304,1.000000000,-0.000024488,0.000004864,-0.000004581
1789447655.728008986,0.000013586,-0.000009368,0.000034084,1.000000000,-0.000025472,0.000005880,-0.000005740
1789447655.761338472,0.000014734,-0.000000162,0.000037912,1.000000000,-0.000021166,0.000007307,-0.000010672
1789447655.794668913,0.000012427,-0.000001977,0.000038326,1.000000000,-0.000021496,0.000007767,-0.000008593
1789447655.827999353,0.000017350,-0.000000500,0.000036497,1.000000000,-0.000020601,0.000004075,-0.000005646
1789447655.861328602,0.000015613,-0.000004759,0.000032784,1.000000000,-0.000023294,0.000005760,-0.000007005
1789447655.894658804,0.000015643,0.000006893,0.000037847,1.000000000,-0.000017314,0.000006252,-0.000010650
1789447655.927988529,0.000019056,-0.000005030,0.000040360,1.000000000,-0.000027679,0.000004494,-0.000007521
1789447655.961318254,0.000015433,-0.000003385,0.000038783,1.000000000,-0.000023758,0.000006685,-0.000008396
