t_sec,x,y,z,qw,qx,qy,qz
1789447652.670111418,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789447652.703503370,-0.000003095,-0.000007752,0.000022485,1.000000000,-0.000006265,0.000005966,-0.000000137
1789447652.736879349,-0.000005661,-0.000008250,0.000021044,1.000000000,-0.000006916,0.000006966,-0.000001137
1789447652.770241499,-0.000000083,-0.000010724,0.000022041,1.000000000,-0.000008084,0.000004920,0.000001549
1789447652.803588629,-0.000004655,-0.000008658,0.000023638,1.000000000,-0.000007369,0.000007099,-0.000000884
1789447652.836919785,-0.000006933,-0.000009806,0.000022108,1.000000000,-0.000007921,0.000007597,-0.000000278
1789447652.870236874,-0.000004386,-0.000007682,0.000021448,1.000000000,-0.000006455,0.000007028,-0.000000947
1789447652.903539181,-0.000003999,-0.000008797,0.000023906,1.000000000,-0.000007860,0.000006315,-0.000000047
1789447652.936826229,-0.000004502,-0.000007280,0.000021260,1.000000000,-0.000006689,0.000006098,0.000000099
1789447652.970097303,-0.000003791,-0.000005789,0.000023209,1.000000000,-0.000005497,0.000006044,-0.000000312
1789447653.003354549,-0.000006327,-0.000005141,0.000025428,1.000000000,-0.000005238,0.000007469,-0.000000508
1789447653.036596775,-0.000002651,-0.000011718,0.000020808,1.000000000,-0.000009910,0.000005465,0.000000332
1789447653.069823742,-0.000003573,-0.000010662,0.000021427,1.000000000,-0.000008412,0.000006822,-0.000000231
1789447653.103035212,-0.000003825,-0.000008067,0.000023320,1.000000000,-0.000007141,0.000006371,-0.000000105
1789447653.136232138,-0.000002972,-0.000007934,0.000020990,1.000000000,-0.000006620,0.000005770,0.000000904
1789447653.169414520,-0.000003778,-0.000007567,0.000021680,1.000000000,-0.000006839,0.000005631,-0.000001463
1789447653.202580929,-0.000004261,-0.000006697,0.000019227,1.000000000,-0.000005644,0.000005631,-0.000000720
1789447653.235732794,-0.000003980,-0.000006543,0.000019909,1.000000000,-0.000006786,0.000006318,0.000000569
