t_sec,x,y,z,qw,qx,qy,qz
1789447652.670111418,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789447652.703503370,0.000009480,-0.000002472,0.000042414,1.000000000,-0.000012514,0.000009492,-0.000000245
1789447652.736879349,0.000008911,-0.000002165,0.000037642,1.000000000,-0.000012226,0.000009497,-0.000004429
1789447652.770241499,0.000008217,-0.000004566,0.000035147,1.000000000,-0.000013304,0.000009420,-0.000001265
1789447652.803588629,0.000009849,-0.000004622,0.000041263,1.000000000,-0.000015524,0.000009049,-0.000002016
1789447652.836919785,0.000007381,0.000000287,0.000039144,1.000000000,-0.000012252,0.000010304,-0.000002598
1789447652.870236874,0.000010399,-0.000000655,0.000035602,1.000000000,-0.000012565,0.000010212,-0.000004770
1789447652.903539181,0.000006862,-0.000001953,0.000040189,1.000000000,-0.000013269,0.000010049,-0.000001457
1789447652.936826229,0.000009910,-0.000000720,0.000037297,1.000000000,-0.000011418,0.000008529,-0.000001495
1789447652.970097303,0.000010112,-0.000006988,0.000037791,1.000000000,-0.000015654,0.000009194,0.000000946
1789447653.003354549,0.000006054,-0.000002250,0.000043859,1.000000000,-0.000013833,0.000011200,-0.000003485
1789447653.036596775,0.000009513,0.000000083,0.000038599,1.000000000,-0.000012529,0.000009298,-0.000001870
1789447653.069823742,0.000006159,-0.000003913,0.000038151,1.000000000,-0.000014383,0.000010242,0.000000045
1789447653.103035212,0.000005749,-0.000003033,0.000037762,1.000000000,-0.000012673,0.000010453,-0.000001445
1789447653.136232138,0.000003136,-0.000001851,0.000037863,1.000000000,-0.000013246,0.000011868,-0.000002436
1789447653.169414520,0.000009832,-0.000000123,0.000038813,1.000000000,-0.000011361,0.000008298,-0.000002406
1789447653.202580929,0.000008689,0.000000657,0.000035286,1.000000000,-0.000010891,0.000009437,-0.000003008
1789447653.235732794,0.000009233,-0.000007200,0.000032584,1.000000000,-0.000017957,0.000008465,-0.000001120
1789447653.268870354,0.000006112,-0.000003397,0.000036755,1.000000000,-0.000013516,0.000008803,-0.000001966
1789447653.301992416,0.000005083,-0.000006936,0.000037261,1.000000000,-0.000015861,0.000010663,0.000000145
1789447653.335098982,0.000007509,-0.000002078,0.000037615,1.000000000,-0.000012737,0.000010229,-0.000002385
1789447653.368191242,0.000008918,-0.000005027,0.000039266,1.000000000,-0.000015107,0.000008716,-0.000000680
1789447653.401268244,0.000007391,0.000001463,0.000038126,1.000000000,-0.000011064,0.000009357,-0.000003084
1789447653.434330702,0.000009096,-0.000003553,0.000037260,1.000000000,-0.000014294,0.000008137,0.000001180
1789447653.467377186,0.000010924,0.000001600,0.000040642,1.000000000,-0.000010986,0.000006659,-0.000002693
1789447653.500409365,0.000011226,-0.000002053,0.000039267,1.000000000,-0.000012500,0.000007720,-0.000001167
1789447653.533426762,0.000008533,-0.000000387,0.000039271,1.000000000,-0.000011788,0.000009348,-0.000001228
1789447653.566429853,0.000007865,0.000000004,0.000038242,1.000000000,-0.000010790,0.000009065,-0.000003795
1789447653.599799633,0.000012126,0.000001063,0.000038375,1.000000000,-0.000011488,0.000007833,-0.000002079
1789447653.633165836,0.000007154,0.000001883,0.000035878,1.000000000,-0.000011406,0.000010042,-0.000002686
1789447653.666528463,0.000008796,-0.000004046,0.000037896,1.000000000,-0.000014539,0.000009032,-0.000000795
1789447653.699887037,0.000008347,0.000001018,0.000041070,1.000000000,-0.000011354,0.000010195,-0.000005634
1789447653.733242989,0.000006082,0.000000343,0.000033740,1.000000000,-0.000011936,0.000010407,-0.000005062
1789447653.766595364,0.000008588,0.000000940,0.000039238,1.000000000,-0.000011252,0.000009527,-0.000002451
1789447653.799944639,0.000006018,0.000000672,0.000036486,1.000000000,-0.000010164,0.000010273,-0.000002382
1789447653.833289385,0.000010565,-0.000000019,0.000036129,1.000000000,-0.000012694,0.000009128,-0.000002367
1789447653.866631508,0.000010177,-0.000002648,0.000036158,1.000000000,-0.000012803,0.000008475,-0.000002735
1789447653.899970531,0.000009239,-0.000001369,0.000040071,1.000000000,-0.000011777,0.000009528,-0.000002151
1789447653.933305025,0.000006166,-0.000002753,0.000034710,1.000000000,-0.000013305,0.000010829,-0.000003351
1789447653.966636896,0.000005681,-0.000005026,0.000037504,1.000000000,-0.000014647,0.000010163,-0.000002122
1789447653.999965668,0.000008240,-0.000000086,0.000036117,1.000000000,-0.000011638,0.000010676,-0.000002456
1789447654.033290863,0.000007389,0.000003973,0.000036069,1.000000000,-0.000009581,0.000011039,-0.000005886
1789447654.066611528,0.000009178,0.000000910,0.000033962,1.000000000,-0.000009868,0.000008850,-0.000003083
1789447654.099930048,0.000007956,-0.000005721,0.000033022,1.000000000,-0.000015524,0.000009105,-0.000000873
1789447654.133244991,0.000008107,-0.000001068,0.000038666,1.000000000,-0.000012139,0.000009986,-0.000002369
1789447654.166555405,0.000007820,-0.000001840,0.000036976,1.000000000,-0.000013011,0.000009574,-0.000001265
1789447654.199863434,0.000004112,-0.000001059,0.000033268,1.000000000,-0.000013117,0.000013097,-0.000003282
1789447654.233168125,0.000006349,-0.000000715,0.000035781,1.000000000,-0.000012436,0.000009974,-0.000003063
1789447654.266469479,0.000011050,0.000001196,0.000036253,1.000000000,-0.000011503,0.000007907,-0.000002235
1789447654.299766302,0.000008712,0.000001215,0.000038594,1.000000000,-0.000010662,0.000008640,-0.000002856
1789447654.333060741,0.000004770,-0.000002833,0.000035791,1.000000000,-0.000013841,0.000011134,-0.000001132
1789447654.366351843,0.000010924,0.000005674,0.000040187,1.000000000,-0.000008177,0.000008235,-0.000003723
1789447654.399639368,0.000005932,0.000004363,0.000038601,1.000000000,-0.000008987,0.000010715,-0.000003355
1789447654.432922602,0.000006406,-0.000005632,0.000035068,1.000000000,-0.000015574,0.000010196,-0.000000573
1789447654.466203690,0.000006521,-0.000001269,0.000034218,1.000000000,-0.000012673,0.000009307,-0.000002836
1789447654.499480963,0.000005821,-0.000002201,0.000034556,1.000000000,-0.000012983,0.000009748,-0.000003309
1789447654.532753944,0.000007381,0.000000795,0.000039906,1.000000000,-0.000011242,0.000009327,-0.000002459
1789447654.566025019,0.000006860,-0.000000415,0.000038303,1.000000000,-0.000012140,0.000010187,-0.000004300
1789447654.599274158,0.000010209,-0.000004004,0.000037693,1.000000000,-0.000014040,0.000008199,-0.000001383
1789447654.632518530,0.000006835,-0.000003152,0.000037805,1.000000000,-0.000012952,0.000009540,-0.000001098
1789447654.665757179,0.000009770,-0.000002780,0.000035800,1.000000000,-0.000014713,0.000008261,-0.000001875
1789447654.698991776,0.000008427,-0.000000994,0.000037865,1.000000000,-0.000013643,0.000009100,0.000000466
1789447654.732221127,0.000006663,0.000000630,0.000040361,1.000000000,-0.000011489,0.000009529,-0.000003946
1789447654.765445948,0.000008821,0.000005175,0.000043266,1.000000000,-0.000008149,0.000007662,-0.000002469
1789447654.798664808,0.000008347,0.000003342,0.000042743,1.000000000,-0.000010349,0.000009153,-0.000004335
1789447654.831879616,0.000007996,0.000000192,0.000040066,1.000000000,-0.000011547,0.000008953,-0.000001558
1789447654.865089417,0.000008313,0.000005647,0.000040988,1.000000000,-0.000009467,0.000009784,-0.000006385
1789447654.898293495,0.000007162,0.000003908,0.000043496,1.000000000,-0.000010415,0.000010198,-0.000003501
1789447654.931493521,0.000008623,-0.000001181,0.000042502,1.000000000,-0.000012444,0.000008584,-0.000003397
1789447654.964688778,0.000006046,0.000001233,0.000040281,1.000000000,-0.000010256,0.000009757,-0.000002757
