t_sec,x,y,z,qw,qx,qy,qz
1789447652.670111418,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789447652.703503370,0.000018060,-0.000015552,0.000036202,1.000000000,-0.000028900,0.000005489,-0.000004110
1789447652.736879349,0.000017257,-0.000009422,0.000035999,1.000000000,-0.000024797,0.000004676,-0.000005393
1789447652.770241499,0.000019531,-0.000015693,0.000032851,1.000000000,-0.000028073,0.000004061,-0.000006601
1789447652.803588629,0.000016453,-0.000011213,0.000035290,1.000000000,-0.000026133,0.000005050,-0.000008541
1789447652.836919785,0.000015044,-0.000007118,0.000038564,1.000000000,-0.000024890,0.000006316,-0.000007124
1789447652.870236874,0.000019625,-0.000008174,0.000037898,1.000000000,-0.000025958,0.000005933,-0.000008013
1789447652.903539181,0.000013185,-0.000007555,0.000038687,1.000000000,-0.000024140,0.000007547,-0.000007792
1789447652.936826229,0.000015432,-0.000011865,0.000033678,1.000000000,-0.000026221,0.000005587,-0.000004439
1789447652.970097303,0.000015608,-0.000013613,0.000033048,1.000000000,-0.000027812,0.000005433,-0.000004722
1789447653.003354549,0.000008711,-0.000010781,0.000038239,1.000000000,-0.000025274,0.000008213,-0.000007548
1789447653.036596775,0.000012495,-0.000010359,0.000035062,1.000000000,-0.000026504,0.000006418,-0.000006522
1789447653.069823742,0.000014425,-0.000013288,0.000035386,1.000000000,-0.000026534,0.000006360,-0.000007395
1789447653.103035212,0.000013446,-0.000015001,0.000034199,1.000000000,-0.000027488,0.000005982,-0.000006141
1789447653.136232138,0.000010505,-0.000011047,0.000035861,1.000000000,-0.000026087,0.000007438,-0.000005769
1789447653.169414520,0.000015888,-0.000010618,0.000034136,1.000000000,-0.000027400,0.000005251,-0.000006450
1789447653.202580929,0.000013662,-0.000010451,0.000030681,1.000000000,-0.000026816,0.000005569,-0.000006885
1789447653.235732794,0.000016252,-0.000005785,0.000033604,1.000000000,-0.000024670,0.000004815,-0.000005871
1789447653.268870354,0.000012330,-0.000006962,0.000036019,1.000000000,-0.000023513,0.000006099,-0.000007770
1789447653.301992416,0.000012056,-0.000010981,0.000033035,1.000000000,-0.000024046,0.000005877,-0.000005269
1789447653.335098982,0.000013980,-0.000005996,0.000033969,1.000000000,-0.000023569,0.000006107,-0.000007710
1789447653.368191242,0.000014926,-0.000009053,0.000033397,1.000000000,-0.000025375,0.000004813,-0.000004428
1789447653.401268244,0.000013473,-0.000006452,0.000035972,1.000000000,-0.000024029,0.000006824,-0.000007449
1789447653.434330702,0.000012010,-0.000009948,0.000033983,1.000000000,-0.000024619,0.000006147,-0.000005412
1789447653.467377186,0.000015752,-0.000009107,0.000037519,1.000000000,-0.000024577,0.000004032,-0.000003873
1789447653.500409365,0.000017049,-0.000006379,0.000037721,1.000000000,-0.000023601,0.000003552,-0.000007139
1789447653.533426762,0.000013872,-0.000011594,0.000033611,1.000000000,-0.000026246,0.000005194,-0.000006006
1789447653.566429853,0.000017235,-0.000013448,0.000034572,1.000000000,-0.000029029,0.000003910,-0.000004903
1789447653.599799633,0.000011558,-0.000003858,0.000034735,1.000000000,-0.000022576,0.000008012,-0.000009772
1789447653.633165836,0.000018728,-0.000007613,0.000031788,1.000000000,-0.000024921,0.000004012,-0.000005872
1789447653.666528463,0.000017860,-0.000008165,0.000033240,1.000000000,-0.000025395,0.000003546,-0.000007184
1789447653.699887037,0.000012804,-0.000003237,0.000037423,1.000000000,-0.000021533,0.000006710,-0.000009681
1789447653.733242989,0.000013165,-0.000004062,0.000031515,1.000000000,-0.000022266,0.000005471,-0.000008160
1789447653.766595364,0.000011451,-0.000009588,0.000034318,1.000000000,-0.000023947,0.000007640,-0.000005289
1789447653.799944639,0.000012867,-0.000009518,0.000033654,1.000000000,-0.000024990,0.000007287,-0.000005704
1789447653.833289385,0.000018387,-0.000010391,0.000031420,1.000000000,-0.000028221,0.000004691,-0.000004840
1789447653.866631508,0.000013695,-0.000009433,0.000035215,1.000000000,-0.000025385,0.000005260,-0.000007390
1789447653.899970531,0.000010550,-0.000013015,0.000034578,1.000000000,-0.000026161,0.000007048,-0.000005136
1789447653.933305025,0.000009843,-0.000007023,0.000034157,1.000000000,-0.000022802,0.000007923,-0.000008003
1789447653.966636896,0.000009090,-0.000010396,0.000030518,1.000000000,-0.000024371,0.000007806,-0.000009107
1789447653.999965668,0.000013165,-0.000005934,0.000033663,1.000000000,-0.000023977,0.000007435,-0.000010282
1789447654.033290863,0.000013523,-0.000009321,0.000036208,1.000000000,-0.000026106,0.000007365,-0.000009825
1789447654.066611528,0.000015287,-0.000003865,0.000033506,1.000000000,-0.000021824,0.000006949,-0.000008897
1789447654.099930048,0.000015439,-0.000013245,0.000032269,1.000000000,-0.000027772,0.000005225,-0.000006171
1789447654.133244991,0.000017451,-0.000008839,0.000035040,1.000000000,-0.000026165,0.000004089,-0.000007056
1789447654.166555405,0.000009914,-0.000011403,0.000031652,1.000000000,-0.000026412,0.000008006,-0.000006587
1789447654.199863434,0.000013873,-0.000011446,0.000028883,1.000000000,-0.000027001,0.000008131,-0.000006305
1789447654.233168125,0.000018133,-0.000005118,0.000031445,1.000000000,-0.000022410,0.000004492,-0.000007678
1789447654.266469479,0.000018124,-0.000008900,0.000030613,1.000000000,-0.000027216,0.000004706,-0.000005190
1789447654.299766302,0.000013222,-0.000004237,0.000036073,1.000000000,-0.000022596,0.000005917,-0.000006851
1789447654.333060741,0.000010798,-0.000009467,0.000030911,1.000000000,-0.000026134,0.000008033,-0.000005059
1789447654.366351843,0.000015820,-0.000005942,0.000032441,1.000000000,-0.000023630,0.000005300,-0.000007736
1789447654.399639368,0.000013546,-0.000006303,0.000033660,1.000000000,-0.000023575,0.000006322,-0.000005973
1789447654.432922602,0.000011797,-0.000012861,0.000028284,1.000000000,-0.000028180,0.000006345,-0.000004783
1789447654.466203690,0.000018041,-0.000010982,0.000032163,1.000000000,-0.000027888,0.000003426,-0.000003521
1789447654.499480963,0.000013689,-0.000006879,0.000029315,1.000000000,-0.000023282,0.000005534,-0.000007736
1789447654.532753944,0.000013345,-0.000006015,0.000033821,1.000000000,-0.000023758,0.000005886,-0.000005286
1789447654.566025019,0.000014456,-0.000006451,0.000033600,1.000000000,-0.000025596,0.000006536,-0.000007707
1789447654.599274158,0.000013048,-0.000011233,0.000034641,1.000000000,-0.000027270,0.000005651,-0.000004508
1789447654.632518530,0.000013970,-0.000009826,0.000032333,1.000000000,-0.000026225,0.000006045,-0.000004206
1789447654.665757179,0.000016530,-0.000013761,0.000031831,1.000000000,-0.000029913,0.000004402,-0.000004625
1789447654.698991776,0.000015049,-0.000008792,0.000036983,1.000000000,-0.000025656,0.000005474,-0.000005629
1789447654.732221127,0.000014348,-0.000009272,0.000035393,1.000000000,-0.000025315,0.000006173,-0.000006585
1789447654.765445948,0.000017013,-0.000007786,0.000039364,1.000000000,-0.000026777,0.000004777,-0.000005656
1789447654.798664808,0.000009608,-0.000001721,0.000037563,1.000000000,-0.000022013,0.000009046,-0.000009559
1789447654.831879616,0.000014672,-0.000006591,0.000036067,1.000000000,-0.000024235,0.000005712,-0.000006906
1789447654.865089417,0.000020135,-0.000000981,0.000039996,1.000000000,-0.000022097,0.000005097,-0.000007581
1789447654.898293495,0.000016758,-0.000002564,0.000037246,1.000000000,-0.000023707,0.000005270,-0.000007483
1789447654.931493521,0.000013648,-0.000002533,0.000039497,1.000000000,-0.000021653,0.000006346,-0.000008913
1789447654.964688778,0.000012500,-0.000003338,0.000034193,1.000000000,-0.000021405,0.000006475,-0.000008575
1789447654.997878790,0.000013599,-0.000005846,0.000033433,1.000000000,-0.000024451,0.000006800,-0.000005242
1789447655.031063318,0.000012308,-0.000002456,0.000039006,1.000000000,-0.000023959,0.000008509,-0.000007688
1789447655.064243555,0.000011953,-0.000007105,0.000038640,1.000000000,-0.000024700,0.000007132,-0.000006904
1789447655.097419024,0.000011247,-0.000010856,0.000038080,1.000000000,-0.000027452,0.000006964,-0.000005555
1789447655.130589485,0.000016823,-0.000006264,0.000036162,1.000000000,-0.000024101,0.000003435,-0.000007903
1789447655.163754225,0.000014967,-0.000006505,0.000035710,1.000000000,-0.000024740,0.000004725,-0.000007867
1789447655.196914911,0.000014694,-0.000002951,0.000037990,1.000000000,-0.000022662,0.000005367,-0.000005998
1789447655.230070591,0.000015103,-0.000008799,0.000037591,1.000000000,-0.000025626,0.000005766,-0.000006145
1789447655.263220549,0.000015879,-0.000008892,0.000037466,1.000000000,-0.000026437,0.000004333,-0.000006502
1789447655.296366215,0.000014594,-0.000009047,0.000039343,1.000000000,-0.000025824,0.000005473,-0.000005221
1789447655.329507351,0.000015212,-0.000005066,0.000038239,1.000000000,-0.000024459,0.000005889,-0.000005369
1789447655.362643242,0.000014473,-0.000005440,0.000034158,1.000000000,-0.000022661,0.000004181,-0.000006902
1789447655.395773411,0.000015479,-0.000005883,0.000040008,1.000000000,-0.000025514,0.000005734,-0.000004809
1789447655.428899765,0.000011622,-0.000007569,0.000033425,1.000000000,-0.000024234,0.000005733,-0.000005109
1789447655.462021112,0.000016307,-0.000008114,0.000038057,1.000000000,-0.000025600,0.000004613,-0.000006428
1789447655.495136261,0.000016141,-0.000012116,0.000037259,1.000000000,-0.000029130,0.000005599,-0.000003819
1789447655.528247833,0.000016057,-0.000008556,0.000035478,1.000000000,-0.000026444,0.000003491,-0.000004448
1789447655.561355114,0.000015539,-0.000013458,0.000031770,1.000000000,-0.000027867,0.000003532,-0.000003807
1789447655.594686270,0.000011666,-0.000007478,0.000036673,1.000000000,-0.000025484,0.000007166,-0.000005361
1789447655.628016472,0.000013032,-0.000005700,0.000036412,1.000000000,-0.000023727,0.000005651,-0.000008026
1789447655.661347389,0.000016890,-0.000009645,0.000032271,1.000000000,-0.000027150,0.000004000,-0.000006299
1789447655.694678307,0.000015092,-0.000007623,0.000038310,1.000000000,-0.000025937,0.000004651,-0.000003947
1789447655.728008986,0.000013601,-0.000010108,0.000034350,1.000000000,-0.000026155,0.000005914,-0.000005572
1789447655.761338472,0.000014970,-0.000001776,0.000037713,1.000000000,-0.000022425,0.000007282,-0.000010267
1789447655.794668913,0.000012952,-0.000002864,0.000038405,1.000000000,-0.000022209,0.000007467,-0.000008352
1789447655.827999353,0.000017891,-0.000000638,0.000036710,1.000000000,-0.000020771,0.000003787,-0.000005453
1789447655.861328602,0.000016022,-0.000005791,0.000032781,1.000000000,-0.000024148,0.000005547,-0.000006703
1789447655.894658804,0.000015640,0.000006088,0.000037887,1.000000000,-0.000018010,0.000006357,-0.000010325
1789447655.927988529,0.000019356,-0.000005849,0.000040503,1.000000000,-0.000028343,0.000004370,-0.000007303
1789447655.961318254,0.000015982,-0.000004334,0.000038712,1.000000000,-0.000024524,0.000006414,-0.000007952
1789447655.994647264,0.000011371,-0.000005550,0.000036099,1.000000000,-0.000024149,0.000007207,-0.000008267
