t_sec,x,y,z,qw,qx,qy,qz
1789447654.532753944,0.013263299,0.011566897,-0.026229776,-0.699605122,0.714426887,-0.005139845,0.010976244
1789447654.566025019,0.013261271,0.011643878,-0.026269078,-0.699581340,0.714450035,-0.005145984,0.010982479
1789447654.599274158,0.013256590,0.011717882,-0.026305579,-0.699576909,0.714454262,-0.005155180,0.010985449
1789447654.632518530,0.013249974,0.011784755,-0.026342249,-0.699574722,0.714456294,-0.005163789,0.010988502
1789447654.665757179,0.013240552,0.011851216,-0.026385061,-0.699598281,0.714433194,-0.005176459,0.010984601
1789447654.698991776,0.013232322,0.011906777,-0.026421720,-0.699598665,0.714432728,-0.005181074,0.010988270
1789447654.732221127,0.013224150,0.011955355,-0.026453164,-0.699601997,0.714429370,-0.005193634,0.010988511
1789447654.765445948,0.013215185,0.011999455,-0.026488315,-0.699608712,0.714422696,-0.005195369,0.010994034
1789447654.798664808,0.013205842,0.012038708,-0.026518941,-0.699607418,0.714423822,-0.005203158,0.010999574
1789447654.831879616,0.013193454,0.012072503,-0.026550235,-0.699604668,0.714426384,-0.005204342,0.011007518
1789447654.865089417,0.013179262,0.012104540,-0.026585145,-0.699618274,0.714413041,-0.005206539,0.011007680
1789447654.898293495,0.013163547,0.012134374,-0.026620726,-0.699622136,0.714409093,-0.005218627,0.011012730
1789447654.931493521,0.013148498,0.012157975,-0.026657832,-0.699621538,0.714409721,-0.005218764,0.011009916
1789447654.964688778,0.013132060,0.012178006,-0.026695803,-0.699619066,0.714412180,-0.005208236,0.011012463
1789447654.997878790,0.013104791,0.012217582,-0.026727908,-0.699644800,0.714386959,-0.005220100,0.011008034
1789447655.031063318,0.013076697,0.012225423,-0.026775425,-0.699640014,0.714391435,-0.005231114,0.011016534
1789447655.064243555,0.013046224,0.012226240,-0.026825784,-0.699641710,0.714389832,-0.005232964,0.011011893
1789447655.097419024,0.013015225,0.012223023,-0.026871097,-0.699655871,0.714375996,-0.005229227,0.011011529
1789447655.130589485,0.012986862,0.012217787,-0.026905784,-0.699652278,0.714379403,-0.005235539,0.011015824
1789447655.163754225,0.012963909,0.012215864,-0.026925830,-0.699631088,0.714400327,-0.005225283,0.011009531
1789447655.196914911,0.012947848,0.012221833,-0.026925052,-0.699644641,0.714386894,-0.005239352,0.011013208
1789447655.230070591,0.012936677,0.012234488,-0.026905633,-0.699646238,0.714385336,-0.005234572,0.011015140
1789447655.263220549,0.012926156,0.012253272,-0.026874676,-0.699649816,0.714381734,-0.005235946,0.011020791
1789447655.296366215,0.012913550,0.012279422,-0.026839056,-0.699644330,0.714387219,-0.005235623,0.011013710
1789447655.329507351,0.012894794,0.012318153,-0.026802693,-0.699646433,0.714385322,-0.005225713,0.011007833
1789447655.362643242,0.012863990,0.012369495,-0.026768331,-0.699649267,0.714382533,-0.005222544,0.011010221
1789447655.395773411,0.012824094,0.012431533,-0.026737590,-0.699642676,0.714388877,-0.005234914,0.011011517
1789447655.428899765,0.012780212,0.012502975,-0.026708429,-0.699652299,0.714379553,-0.005217109,0.011013473
1789447655.462021112,0.012732734,0.012578273,-0.026680209,-0.699643816,0.714387784,-0.005217413,0.011018334
1789447655.495136261,0.012682835,0.012658059,-0.026653722,-0.699651478,0.714380327,-0.005208746,0.011019425
1789447655.528247833,0.012629598,0.012739566,-0.026631447,-0.699651881,0.714380104,-0.005198400,0.011013132
1789447655.561355114,0.012576080,0.012821594,-0.026612834,-0.699659595,0.714372387,-0.005211844,0.011017253
1789447655.594686270,0.012525376,0.012902824,-0.026597020,-0.699655417,0.714376537,-0.005202524,0.011017959
1789447655.628016472,0.012476031,0.012977936,-0.026586775,-0.699658938,0.714373215,-0.005200330,0.011010763
1789447655.661347389,0.012430474,0.013042319,-0.026584504,-0.699658806,0.714373469,-0.005189826,0.011007620
1789447655.694678307,0.012389707,0.013093550,-0.026592296,-0.699655490,0.714376661,-0.005182657,0.011014603
1789447655.728008986,0.012354084,0.013134311,-0.026609609,-0.699652700,0.714379314,-0.005189369,0.011016595
1789447655.761338472,0.012325092,0.013166410,-0.026631383,-0.699660462,0.714371741,-0.005189025,0.011014919
1789447655.794668913,0.012303993,0.013188164,-0.026654807,-0.699666982,0.714365289,-0.005201185,0.011013472
1789447655.827999353,0.012292218,0.013198145,-0.026680897,-0.699663605,0.714368990,-0.005179268,0.010998268
1789447655.861328602,0.012289233,0.013193676,-0.026710593,-0.699664041,0.714368593,-0.005178649,0.010996569
1789447655.894658804,0.012295467,0.013177415,-0.026745680,-0.699646766,0.714385190,-0.005197335,0.011008710
1789447655.927988529,0.012310700,0.013156929,-0.026783225,-0.699662629,0.714369854,-0.005187848,0.011000188
1789447655.961318254,0.012328701,0.013130928,-0.026818414,-0.699667819,0.714364852,-0.005180739,0.010998240
1789447655.994647264,0.012347838,0.013102050,-0.026855053,-0.699648279,0.714383878,-0.005196244,0.010998198
1789447656.027976751,0.012370775,0.013075173,-0.026894492,-0.699659672,0.714373042,-0.005176138,0.010986696
1789447656.061306238,0.012393806,0.013047319,-0.026934775,-0.699668815,0.714364028,-0.005178884,0.010989240
1789447656.094635487,0.012416955,0.013018987,-0.026974470,-0.699659368,0.714373127,-0.005193883,0.010992227
1789447656.127963781,0.012440426,0.012993631,-0.027012310,-0.699671473,0.714361398,-0.005188163,0.010986596
1789447656.161293030,0.012463077,0.012970818,-0.027049711,-0.699655813,0.714376493,-0.005196089,0.010998647
1789447656.194621801,0.012484658,0.012954610,-0.027088561,-0.699653680,0.714378679,-0.005191235,0.010994661
1789447656.227949619,0.012501356,0.012942470,-0.027126523,-0.699656705,0.714376089,-0.005175121,0.010977981
1789447656.261278629,0.012513584,0.012933305,-0.027160541,-0.699649097,0.714383221,-0.005178191,0.010997280
1789447656.294607162,0.012523873,0.012931333,-0.027191942,-0.699655777,0.714376589,-0.005183042,0.011000863
1789447656.327935457,0.012528199,0.012937956,-0.027219982,-0.699654241,0.714378249,-0.005178089,0.010993073
1789447656.361263037,0.012523792,0.012954632,-0.027240850,-0.699649726,0.714382565,-0.005184763,0.010996831
1789447656.394591331,0.012512346,0.012977175,-0.027256164,-0.699650269,0.714382032,-0.005185807,0.010996408
1789447656.427919388,0.012495457,0.013001497,-0.027268691,-0.699643895,0.714388299,-0.005187232,0.010994128
1789447656.461247444,0.012471874,0.013023334,-0.027278954,-0.699647126,0.714385291,-0.005178313,0.010988139
1789447656.494574308,0.012439125,0.013036483,-0.027286920,-0.699651415,0.714381083,-0.005175997,0.010989795
1789447656.527902126,0.012398695,0.013036181,-0.027293985,-0.699642286,0.714389867,-0.005191282,0.010992779
1789447656.561229706,0.012355801,0.013026097,-0.027299338,-0.699650669,0.714381791,-0.005174275,0.010992019
1789447656.594562054,0.012310533,0.013007702,-0.027303235,-0.699641551,0.714390776,-0.005179556,0.010985956
1789447656.627895117,0.012269628,0.012988281,-0.027304350,-0.699632736,0.714399377,-0.005174954,0.010990205
1789447656.661227942,0.012238265,0.012973469,-0.027301111,-0.699642906,0.714389739,-0.005160878,0.010975889
1789447656.694561243,0.012219377,0.012962057,-0.027292838,-0.699643361,0.714388973,-0.005170989,0.010992008
1789447656.727893114,0.012211873,0.012954295,-0.027281730,-0.699643977,0.714388335,-0.005172632,0.010993480
1789447656.761226177,0.012211795,0.012949720,-0.027267232,-0.699638905,0.714393463,-0.005158838,0.010989489
1789447656.794559002,0.012214777,0.012946280,-0.027253003,-0.699621508,0.714410379,-0.005171849,0.010991244
1789447656.827890873,0.012219480,0.012948427,-0.027240167,-0.699630922,0.714401576,-0.005140882,0.010978724
1789447656.861223698,0.012223541,0.012951339,-0.027228911,-0.699626725,0.714405453,-0.005152882,0.010988295
1789447656.894556284,0.012227313,0.012956524,-0.027219466,-0.699622220,0.714409750,-0.005166083,0.010989578
1789447656.927889109,0.012229583,0.012965323,-0.027210263,-0.699626597,0.714405586,-0.005154899,0.010986810
1789447656.961220741,0.012228447,0.012974289,-0.027203853,-0.699614075,0.714417507,-0.005171756,0.011001141
1789447656.994553566,0.012221550,0.012986211,-0.027203288,-0.699616968,0.714414957,-0.005152821,0.010991655
1789447657.027885914,0.012205437,0.012998282,-0.027209687,-0.699620273,0.714411730,-0.005151180,0.010991817
1789447657.061218500,0.012183826,0.013010481,-0.027221440,-0.699621792,0.714410121,-0.005160275,0.010995430
1789447657.094550133,0.012161961,0.013021679,-0.027236540,-0.699625175,0.714406900,-0.005151668,0.010993454
1789447657.127882481,0.012144826,0.013030002,-0.027255209,-0.699619092,0.714412661,-0.005168334,0.010998359
1789447657.161214828,0.012138553,0.013035422,-0.027277610,-0.699621293,0.714410573,-0.005158697,0.010998487
1789447657.194546461,0.012144162,0.013035314,-0.027302992,-0.699621250,0.714410611,-0.005155885,0.011000145
