t_sec,x,y,z,qw,qx,qy,qz
1789402247.809573412,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789402247.842967510,-0.000010478,-0.000146543,0.000076848,1.000000000,-0.000049005,0.000002443,-0.000011293
1789402247.876345396,-0.000081791,-0.000142523,0.000096088,1.000000000,-0.000050294,0.000022358,-0.000004427
1789402247.909709454,-0.000014732,-0.000091049,0.000110284,1.000000000,-0.000027418,-0.000003411,-0.000010017
1789402247.943058252,0.000021185,-0.000068131,0.000078593,1.000000000,-0.000023725,-0.000009708,-0.000005614
1789402247.976390839,-0.000004941,-0.000122732,0.000063909,1.000000000,-0.000043890,-0.000000812,-0.000004826
1789402248.009709358,0.000001145,-0.000093658,0.000058981,1.000000000,-0.000036473,-0.000003058,-0.000010942
1789402248.043012857,-0.000025280,-0.000095086,0.000092755,1.000000000,-0.000028204,0.000002261,-0.000010287
1789402248.076301336,-0.000012949,-0.000116655,0.000043173,1.000000000,-0.000045583,-0.000002190,-0.000013662
1789402248.109573841,-0.000000693,-0.000057367,0.000029281,1.000000000,-0.000023702,-0.000000791,-0.000002335
1789402248.142831802,-0.000005256,-0.000105646,0.000047223,1.000000000,-0.000039623,-0.000000891,-0.000002109
1789402248.176074743,-0.000036014,-0.000123891,0.000085923,1.000000000,-0.000039155,0.000007355,-0.000007834
1789402248.209302664,0.000005901,-0.000069494,0.000034850,1.000000000,-0.000030529,-0.000004164,-0.000004781
1789402248.242514372,0.000011942,-0.000067673,0.000101988,1.000000000,-0.000021561,-0.000007316,-0.000004675
1789402248.275712252,-0.000004081,-0.000098109,0.000084597,1.000000000,-0.000031934,-0.000005043,-0.000007206
1789402248.308894873,-0.000015195,-0.000091942,0.000050781,1.000000000,-0.000038679,0.000006879,-0.000001962
1789402248.342061281,-0.000014362,-0.000098783,0.000083486,1.000000000,-0.000033261,-0.000001436,-0.000001176
1789402248.375213623,0.000009721,-0.000061840,0.000058122,1.000000000,-0.000022987,-0.000006884,-0.000005313
1789402248.408350945,-0.000040553,-0.000167254,0.000100363,1.000000000,-0.000050179,0.000006127,-0.000005101
1789402248.441473246,-0.000006519,-0.000071442,0.000081837,1.000000000,-0.000030359,0.000004284,-0.000004411
1789402248.474579096,-0.000027555,-0.000122215,0.000088014,1.000000000,-0.000037220,0.000002015,-0.000004268
1789402248.507671118,-0.000000332,-0.000080899,0.000066445,1.000000000,-0.000027303,-0.000003427,-0.000009027
1789402248.540747881,-0.000007876,-0.000092750,0.000058448,1.000000000,-0.000036111,-0.000000609,-0.000007916
1789402248.573809624,-0.000017171,-0.000082954,0.000054966,1.000000000,-0.000032169,0.000007227,0.000000734
1789402248.606855154,-0.000008775,-0.000101569,0.000076560,1.000000000,-0.000035982,0.000001823,-0.000003715
1789402248.639886618,-0.000005214,-0.000095027,0.000061031,1.000000000,-0.000037066,0.000000151,-0.000005881
1789402248.672903061,-0.000011518,-0.000063297,0.000078908,1.000000000,-0.000021640,-0.000002648,-0.000005917
1789402248.705905199,0.000007492,-0.000130788,0.000072463,1.000000000,-0.000042287,-0.000009280,-0.000007678
1789402248.739295959,0.000020589,-0.000108585,0.000084428,1.000000000,-0.000035890,-0.000006994,-0.000002241
1789402248.772683620,-0.000042570,-0.000137412,0.000110567,1.000000000,-0.000037513,0.000006895,-0.000005717
1789402248.806068659,0.000019949,-0.000069159,0.000068056,1.000000000,-0.000028639,-0.000007026,-0.000006355
1789402248.839449883,0.000003068,-0.000071507,0.000063719,1.000000000,-0.000027068,-0.000003552,-0.000003483
1789402248.872829199,-0.000008891,-0.000104975,0.000042745,1.000000000,-0.000041160,0.000000097,-0.000007767
1789402248.906205893,-0.000022813,-0.000156109,0.000110224,1.000000000,-0.000051358,0.000003178,-0.000010003
1789402248.939578295,-0.000019844,-0.000107372,0.000026965,1.000000000,-0.000039881,0.000005664,-0.000000342
1789402248.972949266,0.000013057,-0.000137056,0.000067757,1.000000000,-0.000049830,-0.000009779,-0.000002541
1789402249.006317377,-0.000046977,-0.000059665,0.000063432,1.000000000,-0.000019636,0.000011613,-0.000006907
1789402249.039682388,-0.000007508,-0.000154854,0.000092691,1.000000000,-0.000046463,-0.000006695,0.000000323
1789402249.073043585,0.000004125,-0.000088219,0.000048672,1.000000000,-0.000037244,-0.000006938,-0.000000214
1789402249.106403351,-0.000034498,-0.000135915,0.000089487,1.000000000,-0.000043964,0.000004808,0.000000313
1789402249.139760017,-0.000077700,-0.000124681,0.000122975,1.000000000,-0.000039918,0.000021300,-0.000005326
1789402249.173113823,-0.000026573,-0.000108471,0.000120082,1.000000000,-0.000030936,0.000001222,-0.000006115
1789402249.206463814,0.000012043,-0.000060595,0.000059509,1.000000000,-0.000021078,-0.000007844,-0.000008972
1789402249.239811897,0.000003227,-0.000058598,0.000054927,1.000000000,-0.000021556,-0.000004655,-0.000003157
1789402249.273157358,-0.000011475,-0.000063267,0.000071001,1.000000000,-0.000027260,-0.000003408,-0.000003061
1789402249.306499004,-0.000007766,-0.000106923,0.000072823,1.000000000,-0.000035927,-0.000000496,-0.000005780
1789402249.339838505,0.000008657,-0.000075473,0.000072847,1.000000000,-0.000030909,-0.000007372,-0.000001482
1789402249.373175621,0.000016321,-0.000082909,0.000043393,1.000000000,-0.000033365,-0.000008666,-0.000007662
1789402249.406509638,-0.000019833,-0.000136538,0.000064883,1.000000000,-0.000046678,0.000000285,-0.000013163
1789402249.439839840,0.000011587,-0.000120219,0.000090552,1.000000000,-0.000041153,-0.000014409,-0.000011305
1789402249.473168135,-0.000017261,-0.000100063,0.000069051,1.000000000,-0.000032452,-0.000002006,-0.000007683
1789402249.506493568,-0.000008863,-0.000186895,0.000060216,1.000000000,-0.000064830,-0.000004070,-0.000004255
1789402249.539816380,-0.000016278,-0.000083723,0.000073208,1.000000000,-0.000030126,0.000004799,-0.000006961
1789402249.573135138,0.000006186,-0.000095891,0.000057776,1.000000000,-0.000039438,-0.000003917,-0.000003871
1789402249.606452465,0.000004707,-0.000090767,0.000047167,1.000000000,-0.000036468,-0.000005541,-0.000003556
1789402249.639766693,-0.000023510,-0.000109250,0.000068868,1.000000000,-0.000037435,0.000005323,0.000001591
1789402249.673077106,-0.000036142,-0.000202930,0.000126681,1.000000000,-0.000065537,0.000005338,-0.000009202
1789402249.706386089,0.000012913,-0.000056501,0.000057518,1.000000000,-0.000024936,-0.000008525,-0.000005670
1789402249.739669561,-0.000056950,-0.000145260,0.000110123,1.000000000,-0.000048572,0.000012443,-0.000006329
1789402249.772946835,-0.000025082,-0.000098913,0.000112962,1.000000000,-0.000028582,0.000003109,-0.000005002
1789402249.806218147,-0.000009947,-0.000086302,0.000081475,1.000000000,-0.000028495,-0.000001652,-0.000003757
1789402249.839486361,-0.000019317,-0.000064612,0.000059735,1.000000000,-0.000023263,0.000005505,-0.000002022
1789402249.872749805,0.000001063,-0.000073312,0.000050956,1.000000000,-0.000034524,0.000001023,-0.000012314
1789402249.906008959,-0.000006887,-0.000097615,0.000089235,1.000000000,-0.000031450,-0.000001462,-0.000010211
1789402249.939262629,0.000013853,-0.000132856,0.000033978,1.000000000,-0.000047769,-0.000011015,0.000005329
1789402249.972512960,-0.000014909,-0.000072652,0.000050486,1.000000000,-0.000029662,0.000004149,-0.000003117
1789402250.005758762,-0.000011536,-0.000092236,0.000067338,1.000000000,-0.000035989,0.000001045,-0.000006399
1789402250.038999081,-0.000013673,-0.000124671,0.000029092,1.000000000,-0.000049929,0.000004885,-0.000005301
1789402250.072235823,-0.000070903,-0.000147895,0.000145940,1.000000000,-0.000039384,0.000012070,-0.000010704
1789402250.105468273,-0.000005284,-0.000120751,0.000041421,1.000000000,-0.000044582,0.000002959,-0.000003617
1789402250.138696194,0.000016645,-0.000060994,0.000043134,1.000000000,-0.000030050,-0.000007140,-0.000007935
1789402250.171918631,-0.000009494,-0.000154111,0.000113101,1.000000000,-0.000045315,-0.000002902,-0.000007944
1789402250.205137730,-0.000016504,-0.000075686,0.000059027,1.000000000,-0.000027473,-0.000000239,-0.000004209
1789402250.238352299,0.000014474,-0.000036367,0.000048476,1.000000000,-0.000021194,0.000000326,-0.000005421
1789402250.271561623,-0.000016183,-0.000098879,0.000066365,1.000000000,-0.000033306,0.000001864,-0.000002292
1789402250.304767132,0.000000299,-0.000085228,0.000078253,1.000000000,-0.000035014,-0.000002022,-0.000005600
1789402250.337968349,-0.000017520,-0.000068635,0.000083665,1.000000000,-0.000020770,0.000005419,-0.000002531
1789402250.371165037,-0.000010914,-0.000145521,0.000065597,1.000000000,-0.000050419,0.000000453,-0.000010822
1789402250.404356241,-0.000021208,-0.000109289,0.000051566,1.000000000,-0.000040073,0.000004208,-0.000008120
1789402250.437544107,0.000014721,-0.000046285,0.000087478,1.000000000,-0.000020035,-0.000008011,-0.000014135
1789402250.470727444,0.000001979,-0.000056755,0.000067264,1.000000000,-0.000022033,-0.000003287,-0.000011227
1789402250.503906488,0.000016561,-0.000081664,0.000068765,1.000000000,-0.000030349,-0.000005728,-0.000005417
1789402250.537079811,-0.000037929,-0.000110269,0.000077864,1.000000000,-0.000038030,0.000005501,-0.000006873
1789402250.570250034,-0.000023576,-0.000117360,0.000100978,1.000000000,-0.000035611,0.000002465,-0.000011154
1789402250.603415489,-0.000018346,-0.000084632,0.000044242,1.000000000,-0.000035061,0.000005219,0.000001333
1789402250.636575699,-0.000032010,-0.000129798,0.000077176,1.000000000,-0.000042538,0.000005484,-0.000003936
1789402250.669732094,0.000004333,-0.000100296,0.000091602,1.000000000,-0.000032143,-0.000008663,-0.000008916
1789402250.702884436,0.000012493,-0.000073930,0.000046848,1.000000000,-0.000028319,-0.000004906,-0.000004354
1789402250.736235380,0.000019935,-0.000086340,0.000056552,1.000000000,-0.000036894,-0.000009676,-0.000005007
1789402250.769585371,-0.000011056,-0.000083928,0.000043315,1.000000000,-0.000035552,0.000006363,-0.000002956
1789402250.802936077,-0.000027916,-0.000099665,0.000070989,1.000000000,-0.000036952,0.000002979,-0.000007960
1789402250.836286545,0.000008753,-0.000125958,0.000082028,1.000000000,-0.000043886,-0.000011628,-0.000013420
1789402250.869637251,0.000010427,-0.000107500,0.000050881,1.000000000,-0.000037010,-0.000006225,-0.000009141
1789402250.902986526,-0.000024129,-0.000069938,0.000059921,1.000000000,-0.000028505,0.000002145,-0.000004820
1789402250.936336756,-0.000034176,-0.000100971,0.000065174,1.000000000,-0.000032966,0.000007917,-0.000005896
1789402250.969686747,-0.000036065,-0.000094422,0.000070340,1.000000000,-0.000033367,0.000004613,-0.000003562
