t_sec,x,y,z,qw,qx,qy,qz
1789402247.809573412,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789402247.842967510,-0.000037969,0.000023231,0.000122950,1.000000000,0.000004366,0.000010138,-0.000005699
1789402247.876345396,-0.000109066,-0.000039496,0.000059555,1.000000000,-0.000018014,0.000033271,0.000001960
1789402247.909709454,-0.000048383,0.000025787,0.000075120,1.000000000,0.000004787,0.000011980,-0.000001341
1789402247.943058252,-0.000031303,-0.000007138,0.000059004,1.000000000,-0.000007873,0.000010325,-0.000004927
1789402247.976390839,-0.000047686,-0.000038916,0.000055418,1.000000000,-0.000021563,0.000016213,-0.000008377
1789402248.009709358,-0.000037132,0.000027255,0.000069881,1.000000000,0.000005267,0.000010781,-0.000001544
1789402248.043012857,-0.000046307,0.000038006,0.000082929,1.000000000,0.000008179,0.000010988,-0.000006206
1789402248.076301336,-0.000011844,0.000004972,0.000057834,1.000000000,-0.000005327,0.000005460,-0.000005445
1789402248.109573841,-0.000022652,0.000002490,0.000046628,1.000000000,-0.000006880,0.000006197,-0.000002491
1789402248.142831802,-0.000000357,0.000002075,0.000056596,1.000000000,-0.000005661,0.000001728,0.000003268
1789402248.176074743,-0.000023019,0.000031135,0.000075842,1.000000000,0.000008168,0.000005198,-0.000001955
1789402248.209302664,-0.000010555,-0.000034992,0.000028500,1.000000000,-0.000022280,0.000006160,-0.000006145
1789402248.242514372,-0.000029748,0.000038770,0.000110527,1.000000000,0.000005086,0.000013726,-0.000007265
1789402248.275712252,-0.000004365,0.000056874,0.000083231,1.000000000,0.000015218,-0.000001841,0.000001356
1789402248.308894873,-0.000032350,0.000024352,0.000082084,1.000000000,0.000000566,0.000012530,-0.000005991
1789402248.342061281,-0.000023388,0.000006112,0.000086680,1.000000000,-0.000005674,0.000009549,-0.000004138
1789402248.375213623,-0.000032902,0.000010960,0.000070231,1.000000000,-0.000004160,0.000012382,-0.000005243
1789402248.408350945,-0.000051004,0.000012543,0.000048627,1.000000000,0.000001718,0.000008145,0.000000425
1789402248.441473246,-0.000036476,-0.000010374,0.000087660,1.000000000,-0.000014623,0.000014222,-0.000009503
1789402248.474579096,-0.000059532,0.000038194,0.000116768,1.000000000,0.000013004,0.000016960,0.000000177
1789402248.507671118,-0.000041143,0.000028181,0.000060188,1.000000000,0.000003129,0.000013337,-0.000004111
1789402248.540747881,-0.000015938,0.000019552,0.000088987,1.000000000,-0.000004830,0.000008773,-0.000003154
1789402248.573809624,-0.000031403,0.000035461,0.000103223,1.000000000,0.000003852,0.000008598,-0.000002071
1789402248.606855154,-0.000040798,0.000033383,0.000098741,1.000000000,0.000008716,0.000009315,-0.000001196
1789402248.639886618,-0.000039511,0.000032082,0.000091036,1.000000000,0.000002904,0.000012430,-0.000004099
1789402248.672903061,-0.000028629,0.000019174,0.000061133,1.000000000,-0.000000944,0.000008857,-0.000002232
1789402248.705905199,-0.000037062,0.000012824,0.000051147,1.000000000,0.000002171,0.000006926,0.000001654
1789402248.739295959,-0.000035879,0.000040815,0.000098719,1.000000000,0.000007466,0.000006956,-0.000003150
1789402248.772683620,-0.000021250,-0.000000993,0.000030592,1.000000000,-0.000002629,0.000000297,-0.000000942
1789402248.806068659,-0.000012813,0.000004565,0.000068601,1.000000000,-0.000006744,0.000003958,-0.000007725
1789402248.839449883,0.000000745,-0.000003035,0.000095894,1.000000000,-0.000008587,-0.000000960,-0.000005759
1789402248.872829199,-0.000023729,0.000031772,0.000078584,1.000000000,0.000007962,0.000002625,-0.000002140
1789402248.906205893,-0.000059261,0.000025778,0.000096466,1.000000000,0.000002699,0.000015556,-0.000001367
1789402248.939578295,-0.000025801,0.000011645,0.000056914,1.000000000,-0.000001510,0.000007193,0.000001768
1789402248.972949266,-0.000020206,-0.000024914,0.000072068,1.000000000,-0.000019196,0.000003610,-0.000006700
1789402249.006317377,-0.000050373,0.000039397,0.000040164,1.000000000,0.000012069,0.000008906,0.000003406
1789402249.039682388,-0.000024738,-0.000038411,0.000043611,1.000000000,-0.000020107,0.000002862,0.000004963
1789402249.073043585,-0.000004733,0.000016717,0.000065223,1.000000000,-0.000000393,-0.000002750,-0.000000507
1789402249.106403351,-0.000053654,0.000012322,0.000083958,1.000000000,0.000000734,0.000014704,0.000003447
1789402249.139760017,-0.000070389,-0.000010875,0.000067400,1.000000000,-0.000007140,0.000020281,-0.000001038
1789402249.173113823,-0.000027243,-0.000000616,0.000057244,1.000000000,-0.000004860,0.000009305,-0.000002050
1789402249.206463814,0.000002568,0.000047091,0.000074552,1.000000000,0.000014408,-0.000004498,-0.000001384
1789402249.239811897,-0.000004284,0.000013857,0.000026312,1.000000000,0.000000949,-0.000000696,-0.000000108
1789402249.273157358,-0.000029747,-0.000021001,0.000075042,1.000000000,-0.000020598,0.000016254,-0.000007495
1789402249.306499004,-0.000065526,-0.000022689,0.000059156,1.000000000,-0.000018520,0.000026511,-0.000005138
1789402249.339838505,-0.000009805,-0.000021830,0.000021821,1.000000000,-0.000013232,-0.000001642,-0.000003160
1789402249.373175621,-0.000028471,0.000032194,0.000083146,1.000000000,0.000005059,0.000004195,0.000004286
1789402249.406509638,-0.000004263,-0.000017196,0.000046607,1.000000000,-0.000010563,-0.000001071,0.000000238
1789402249.439839840,-0.000024674,-0.000017690,0.000042885,1.000000000,-0.000014364,0.000002427,0.000004499
1789402249.473168135,-0.000042738,0.000017240,0.000049618,1.000000000,0.000001986,0.000010424,0.000000357
1789402249.506493568,-0.000025647,-0.000034190,0.000055351,1.000000000,-0.000021564,0.000007675,0.000001631
1789402249.539816380,-0.000064451,0.000055170,0.000104135,1.000000000,0.000013688,0.000018543,-0.000005112
