t_sec,x,y,z,qw,qx,qy,qz
1789402247.809573412,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789402247.842967510,-0.000057207,-0.000268029,0.000077173,1.000000000,-0.000122186,0.000030329,-0.000030167
1789402247.876345396,-0.000021389,-0.000086589,0.000145536,1.000000000,-0.000049655,0.000006450,-0.000012903
1789402247.909709454,-0.000068150,-0.000097280,0.000143239,1.000000000,-0.000057152,0.000021506,-0.000033265
1789402247.943058252,-0.000017039,-0.000205923,0.000027619,1.000000000,-0.000100859,0.000014120,-0.000029172
1789402247.976390839,-0.000078370,-0.000216245,0.000028724,1.000000000,-0.000103795,0.000037034,-0.000030324
1789402248.009709358,-0.000009928,-0.000099977,0.000082127,1.000000000,-0.000057774,0.000005712,-0.000024821
1789402248.043012857,-0.000045667,-0.000121791,0.000092029,1.000000000,-0.000064952,0.000014442,-0.000039202
1789402248.076301336,-0.000124700,-0.000245512,0.000065054,1.000000000,-0.000121897,0.000061129,-0.000036175
1789402248.109573841,-0.000010912,-0.000140960,0.000063442,1.000000000,-0.000076512,0.000005698,-0.000030779
1789402248.142831802,-0.000030307,-0.000194871,0.000040275,1.000000000,-0.000098855,0.000018029,-0.000019259
1789402248.176074743,-0.000109530,-0.000262112,0.000093396,1.000000000,-0.000124558,0.000047241,-0.000028338
1789402248.209302664,0.000025048,-0.000075703,0.000071856,1.000000000,-0.000045831,-0.000004278,-0.000023560
1789402248.242514372,-0.000005520,-0.000058261,0.000108287,1.000000000,-0.000035735,0.000003996,-0.000025861
1789402248.275712252,-0.000090754,-0.000147543,0.000135142,1.000000000,-0.000080294,0.000039817,-0.000024683
1789402248.308894873,-0.000019856,-0.000105555,0.000077160,1.000000000,-0.000061363,0.000010607,-0.000034346
1789402248.342061281,0.000001388,-0.000072216,0.000082516,1.000000000,-0.000041268,0.000002399,-0.000019836
1789402248.375213623,-0.000017500,-0.000108185,0.000071146,1.000000000,-0.000063564,0.000008731,-0.000032005
1789402248.408350945,-0.000082980,-0.000194035,0.000093594,1.000000000,-0.000094761,0.000029803,-0.000031484
1789402248.441473246,-0.000047865,-0.000129379,0.000073850,1.000000000,-0.000068560,0.000023057,-0.000029763
1789402248.474579096,-0.000040585,-0.000107754,0.000100595,1.000000000,-0.000058779,0.000015890,-0.000035326
1789402248.507671118,-0.000048008,-0.000107581,0.000090116,1.000000000,-0.000060167,0.000018366,-0.000029327
1789402248.540747881,-0.000006088,-0.000095290,0.000059791,1.000000000,-0.000056018,0.000005386,-0.000021418
1789402248.573809624,-0.000046172,-0.000102174,0.000072889,1.000000000,-0.000056120,0.000023458,-0.000012238
1789402248.606855154,-0.000019897,-0.000119729,0.000110417,1.000000000,-0.000065289,0.000006231,-0.000027643
1789402248.639886618,-0.000054140,-0.000159620,0.000087252,1.000000000,-0.000086304,0.000023505,-0.000027809
1789402248.672903061,-0.000048763,-0.000149482,0.000059699,1.000000000,-0.000080294,0.000023119,-0.000029596
1789402248.705905199,-0.000001786,-0.000085011,0.000104500,1.000000000,-0.000048894,0.000001432,-0.000012339
1789402248.739295959,-0.000046943,-0.000137701,0.000081492,1.000000000,-0.000071536,0.000020795,-0.000024950
1789402248.772683620,-0.000022464,-0.000067034,0.000119760,1.000000000,-0.000043148,0.000004792,-0.000034234
1789402248.806068659,-0.000006558,-0.000074602,0.000069716,1.000000000,-0.000044048,0.000005285,-0.000026735
1789402248.839449883,-0.000011240,-0.000145707,0.000065042,1.000000000,-0.000075682,0.000004308,-0.000031427
1789402248.872829199,-0.000062738,-0.000150068,0.000070060,1.000000000,-0.000078655,0.000029453,-0.000018231
1789402248.906205893,-0.000039492,-0.000093737,0.000123536,1.000000000,-0.000053752,0.000013563,-0.000026347
1789402248.939578295,-0.000061566,-0.000142354,0.000074726,1.000000000,-0.000074648,0.000030333,-0.000015491
1789402248.972949266,-0.000065046,-0.000162985,0.000078699,1.000000000,-0.000084599,0.000029923,-0.000037015
1789402249.006317377,-0.000113096,-0.000104645,0.000122676,1.000000000,-0.000061923,0.000047548,-0.000019521
1789402249.039682388,-0.000033421,-0.000110288,0.000119968,1.000000000,-0.000061059,0.000009350,-0.000023678
1789402249.073043585,-0.000063855,-0.000169122,0.000054048,1.000000000,-0.000090639,0.000029216,-0.000025072
1789402249.106403351,-0.000066943,-0.000127018,0.000115137,1.000000000,-0.000070584,0.000026286,-0.000031190
1789402249.139760017,-0.000036163,-0.000104503,0.000083342,1.000000000,-0.000057056,0.000016221,-0.000024939
1789402249.173113823,-0.000056571,-0.000184562,0.000092298,1.000000000,-0.000092351,0.000025195,-0.000039829
1789402249.206463814,-0.000022731,-0.000193078,0.000097184,1.000000000,-0.000101002,0.000008174,-0.000028235
1789402249.239811897,-0.000033147,-0.000156365,0.000055385,1.000000000,-0.000081868,0.000011648,-0.000029014
1789402249.273157358,-0.000049947,-0.000159497,0.000068590,1.000000000,-0.000082691,0.000021997,-0.000030426
1789402249.306499004,-0.000018340,-0.000117272,0.000077541,1.000000000,-0.000062065,0.000012199,-0.000025718
1789402249.339838505,-0.000060502,-0.000258722,0.000054042,1.000000000,-0.000123850,0.000026153,-0.000026467
1789402249.373175621,-0.000019965,-0.000078981,0.000088875,1.000000000,-0.000047344,0.000004900,-0.000006483
1789402249.406509638,-0.000069030,-0.000207205,0.000071222,1.000000000,-0.000102573,0.000033472,-0.000029870
1789402249.439839840,-0.000019611,-0.000135736,0.000046416,1.000000000,-0.000069427,0.000010828,-0.000031129
1789402249.473168135,-0.000000086,-0.000089390,0.000126045,1.000000000,-0.000052662,-0.000003492,-0.000031950
1789402249.506493568,-0.000028126,-0.000130917,0.000083222,1.000000000,-0.000067164,0.000011170,-0.000019473
1789402249.539816380,-0.000057208,-0.000107751,0.000087232,1.000000000,-0.000060220,0.000025269,-0.000029187
1789402249.573135138,-0.000024534,-0.000123317,0.000050884,1.000000000,-0.000066447,0.000010893,-0.000026501
1789402249.606452465,-0.000020366,-0.000151496,0.000046744,1.000000000,-0.000080369,0.000012062,-0.000026771
1789402249.639766693,-0.000058201,-0.000117997,0.000110010,1.000000000,-0.000066490,0.000022464,-0.000032266
1789402249.673077106,-0.000064284,-0.000106153,0.000119106,1.000000000,-0.000060596,0.000027084,-0.000022363
1789402249.706386089,-0.000010918,-0.000124534,0.000038564,1.000000000,-0.000070258,0.000008218,-0.000028161
1789402249.739669561,-0.000052470,-0.000166443,0.000074917,1.000000000,-0.000083645,0.000025970,-0.000015438
1789402249.772946835,-0.000019053,-0.000130834,0.000097090,1.000000000,-0.000071221,0.000009864,-0.000016285
1789402249.806218147,-0.000028709,-0.000050192,0.000107313,1.000000000,-0.000037151,0.000013210,-0.000023588
1789402249.839486361,-0.000035914,-0.000174658,0.000065971,1.000000000,-0.000092626,0.000019862,-0.000037812
1789402249.872749805,-0.000046499,-0.000140314,0.000051526,1.000000000,-0.000074486,0.000020915,-0.000028178
1789402249.906008959,-0.000010798,-0.000087301,0.000108530,1.000000000,-0.000054172,0.000006878,-0.000024919
1789402249.939262629,-0.000048001,-0.000117265,0.000088850,1.000000000,-0.000061913,0.000017427,-0.000012111
1789402249.972512960,-0.000001426,-0.000145015,0.000067292,1.000000000,-0.000079469,0.000007279,-0.000022130
1789402250.005758762,-0.000018578,-0.000110830,0.000075322,1.000000000,-0.000064772,0.000004768,-0.000028124
1789402250.038999081,-0.000034744,-0.000274948,0.000048583,1.000000000,-0.000133853,0.000017161,-0.000019221
1789402250.072235823,-0.000065702,-0.000119280,0.000166461,1.000000000,-0.000065426,0.000025616,-0.000014642
1789402250.105468273,-0.000037784,-0.000163365,0.000070513,1.000000000,-0.000083868,0.000018991,-0.000030230
1789402250.138696194,0.000024883,-0.000172823,0.000052261,1.000000000,-0.000091545,-0.000003115,-0.000016682
1789402250.171918631,-0.000055821,-0.000094869,0.000124152,1.000000000,-0.000051723,0.000017624,-0.000027862
1789402250.205137730,-0.000057840,-0.000167177,0.000067552,1.000000000,-0.000087203,0.000027414,-0.000028457
1789402250.238352299,0.000020451,-0.000115533,0.000050730,1.000000000,-0.000064626,-0.000002569,-0.000018686
1789402250.271561623,-0.000073462,-0.000164373,0.000052330,1.000000000,-0.000084455,0.000034379,-0.000028001
1789402250.304767132,-0.000015233,-0.000127151,0.000087710,1.000000000,-0.000067090,0.000004625,-0.000022310
1789402250.337968349,-0.000066535,-0.000181538,0.000052725,1.000000000,-0.000090908,0.000033535,-0.000021091
1789402250.371165037,-0.000001662,-0.000056737,0.000111479,1.000000000,-0.000040424,-0.000001177,-0.000022854
