t_sec,x,y,z,qw,qx,qy,qz
1789402247.809573412,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789402247.842967510,-0.000009576,-0.000146456,0.000076435,1.000000000,-0.000048914,0.000002079,-0.000011044
1789402247.876345396,-0.000082021,-0.000142431,0.000096158,1.000000000,-0.000050276,0.000022431,-0.000004461
1789402247.909709454,-0.000014582,-0.000090921,0.000110381,1.000000000,-0.000027380,-0.000003470,-0.000009922
1789402247.943058252,0.000020869,-0.000068397,0.000078711,1.000000000,-0.000023840,-0.000009590,-0.000005614
1789402247.976390839,-0.000004429,-0.000123021,0.000063643,1.000000000,-0.000043977,-0.000000977,-0.000004629
1789402248.009709358,0.000001176,-0.000093484,0.000058952,1.000000000,-0.000036405,-0.000003063,-0.000010901
1789402248.043012857,-0.000025848,-0.000095392,0.000092849,1.000000000,-0.000028322,0.000002464,-0.000010400
1789402248.076301336,-0.000012758,-0.000115887,0.000043063,1.000000000,-0.000045258,-0.000002240,-0.000013564
1789402248.109573841,-0.000000675,-0.000057482,0.000028998,1.000000000,-0.000023688,-0.000000787,-0.000002250
1789402248.142831802,-0.000005065,-0.000105215,0.000047180,1.000000000,-0.000039434,-0.000000976,-0.000002078
1789402248.176074743,-0.000036396,-0.000124043,0.000085891,1.000000000,-0.000039243,0.000007493,-0.000007888
1789402248.209302664,0.000006069,-0.000069608,0.000034796,1.000000000,-0.000030617,-0.000004228,-0.000004858
1789402248.242514372,0.000012126,-0.000067834,0.000101969,1.000000000,-0.000021620,-0.000007409,-0.000004669
1789402248.275712252,-0.000004318,-0.000098211,0.000084629,1.000000000,-0.000031997,-0.000004961,-0.000007236
1789402248.308894873,-0.000015285,-0.000092134,0.000050531,1.000000000,-0.000038766,0.000006949,-0.000001907
1789402248.342061281,-0.000014214,-0.000098739,0.000083503,1.000000000,-0.000033253,-0.000001500,-0.000001131
1789402248.375213623,0.000009902,-0.000062040,0.000057889,1.000000000,-0.000023046,-0.000006972,-0.000005314
1789402248.408350945,-0.000039846,-0.000167191,0.000100087,1.000000000,-0.000050103,0.000005835,-0.000004942
