t_sec,x,y,z,qw,qx,qy,qz
1789402247.809573412,0.000000174,0.000000172,-0.000001335,1.000000000,-0.000001916,0.000001900,0.000001188
1789402247.842967510,0.000224980,0.000070180,0.000216925,0.999999999,-0.000047391,0.000001959,-0.000008253
1789402247.876345396,0.000487963,0.000175418,0.000330765,0.999999999,-0.000045313,0.000020291,-0.000000068
1789402247.909709454,0.000755757,0.000295600,0.000399313,1.000000000,-0.000018977,-0.000007631,-0.000003925
1789402247.943058252,0.001006173,0.000411768,0.000456222,1.000000000,-0.000011997,-0.000015771,0.000001986
1789402247.976390839,0.001219126,0.000509910,0.000510718,1.000000000,-0.000028694,-0.000009179,0.000004574
1789402248.009709358,0.001379553,0.000581731,0.000562455,1.000000000,-0.000017682,-0.000013285,-0.000000095
1789402248.043012857,0.001498236,0.000632077,0.000612195,1.000000000,-0.000006159,-0.000009779,0.000002008
1789402248.076301336,0.001589610,0.000668641,0.000658013,1.000000000,-0.000019656,-0.000016503,0.000000448
1789402248.109573841,0.001659088,0.000690480,0.000700212,1.000000000,0.000005354,-0.000017070,0.000013364
1789402248.142831802,0.001705672,0.000702438,0.000735718,1.000000000,-0.000006952,-0.000019279,0.000015140
1789402248.176074743,0.001731071,0.000704740,0.000759517,1.000000000,-0.000007077,-0.000010006,0.000007122
1789402248.209302664,0.001738910,0.000700825,0.000773307,1.000000000,0.000001233,-0.000020922,0.000007944
1789402248.242514372,0.001732567,0.000691754,0.000781868,1.000000000,0.000009914,-0.000023299,0.000005925
1789402248.275712252,0.001716459,0.000678040,0.000782236,1.000000000,-0.000000779,-0.000020046,0.000001151
1789402248.308894873,0.001691923,0.000660543,0.000776531,1.000000000,-0.000007864,-0.000007331,0.000004272
1789402248.342061281,0.001655797,0.000638639,0.000766145,1.000000000,-0.000002668,-0.000014976,0.000002840
1789402248.375213623,0.001611146,0.000612349,0.000751808,1.000000000,0.000007223,-0.000019643,-0.000003550
1789402248.408350945,0.001561236,0.000585238,0.000735384,1.000000000,-0.000020150,-0.000006032,-0.000005386
1789402248.441473246,0.001507336,0.000556824,0.000714647,1.000000000,-0.000000737,-0.000006830,-0.000007036
1789402248.474579096,0.001450699,0.000528926,0.000690253,1.000000000,-0.000007901,-0.000008076,-0.000009103
1789402248.507671118,0.001391493,0.000500337,0.000661436,1.000000000,0.000001634,-0.000012405,-0.000014283
1789402248.540747881,0.001328676,0.000472189,0.000632117,1.000000000,-0.000007487,-0.000008391,-0.000013591
1789402248.573809624,0.001264438,0.000443158,0.000601795,1.000000000,-0.000003721,0.000000920,-0.000005427
1789402248.606855154,0.001200025,0.000415438,0.000571038,1.000000000,-0.000007909,-0.000003291,-0.000010292
1789402248.639886618,0.001137021,0.000389008,0.000543222,1.000000000,-0.000009026,-0.000003517,-0.000012807
1789402248.672903061,0.001076830,0.000363937,0.000515522,1.000000000,0.000005838,-0.000005421,-0.000013329
1789402248.705905199,0.001019153,0.000342517,0.000485533,1.000000000,-0.000014997,-0.000010584,-0.000015353
1789402248.739295959,0.000961697,0.000321900,0.000455902,1.000000000,-0.000008853,-0.000006992,-0.000010620
1789402248.772683620,0.000905813,0.000304759,0.000428427,1.000000000,-0.000010794,0.000007960,-0.000014411
1789402248.806068659,0.000852396,0.000292272,0.000399161,1.000000000,-0.000002149,-0.000004448,-0.000015498
1789402248.839449883,0.000802568,0.000283153,0.000370794,1.000000000,0.000001636,-0.000002610,-0.000013790
1789402248.872829199,0.000756096,0.000275584,0.000343356,1.000000000,-0.000010098,-0.000000077,-0.000019245
1789402248.906205893,0.000713624,0.000269762,0.000318006,1.000000000,-0.000018074,0.000001327,-0.000022662
1789402248.939578295,0.000674972,0.000267367,0.000294737,1.000000000,-0.000004405,0.000002264,-0.000014069
1789402248.972949266,0.000639892,0.000271720,0.000274737,1.000000000,-0.000012181,-0.000014517,-0.000017360
1789402249.006317377,0.000611052,0.000280395,0.000256753,1.000000000,0.000020440,0.000005400,-0.000022940
1789402249.039682388,0.000584589,0.000294277,0.000240813,1.000000000,-0.000004354,-0.000014378,-0.000016914
1789402249.073043585,0.000560886,0.000310264,0.000226725,1.000000000,0.000007225,-0.000016041,-0.000018611
1789402249.106403351,0.000539268,0.000330839,0.000213936,1.000000000,0.000002729,-0.000005623,-0.000019332
1789402249.139760017,0.000521389,0.000356356,0.000200658,1.000000000,0.000009174,0.000009102,-0.000026085
1789402249.173113823,0.000508294,0.000387703,0.000187064,0.999999999,0.000022824,-0.000010283,-0.000028487
1789402249.206463814,0.000500308,0.000425980,0.000174570,0.999999999,0.000036983,-0.000018510,-0.000032962
1789402249.239811897,0.000495688,0.000467066,0.000164317,0.999999999,0.000041172,-0.000014327,-0.000028783
1789402249.273157358,0.000492831,0.000508121,0.000156227,0.999999999,0.000040082,-0.000012298,-0.000030263
1789402249.306499004,0.000490687,0.000551024,0.000149494,0.999999999,0.000036002,-0.000009017,-0.000034285
1789402249.339838505,0.000489259,0.000597328,0.000142808,0.999999998,0.000045782,-0.000014945,-0.000031873
1789402249.373175621,0.000488770,0.000648542,0.000137740,0.999999998,0.000047820,-0.000015216,-0.000039635
1789402249.406509638,0.000489381,0.000703638,0.000135851,0.999999998,0.000039015,-0.000005775,-0.000046781
1789402249.439839840,0.000490899,0.000762276,0.000134867,0.999999998,0.000049276,-0.000019726,-0.000046353
1789402249.473168135,0.000495123,0.000826228,0.000134483,0.999999997,0.000062386,-0.000006444,-0.000044440
1789402249.506493568,0.000497748,0.000896514,0.000134910,0.999999998,0.000034583,-0.000008468,-0.000043880
1789402249.539816380,0.000500543,0.000967473,0.000135953,0.999999996,0.000073859,0.000000502,-0.000049459
