t_sec,x,y,z,qw,qx,qy,qz
1789402249.673077106,0.015697339,0.010281151,-0.024916835,-0.692024475,0.721755157,0.000776869,0.013077267
1789402249.706386089,0.015693450,0.010354238,-0.024929954,-0.692071571,0.721712492,0.000913279,0.012930016
1789402249.739669561,0.015660866,0.010440044,-0.024963920,-0.692164606,0.721624566,0.000844313,0.012862012
1789402249.772946835,0.015624560,0.010511227,-0.024977177,-0.692178236,0.721612580,0.000769914,0.012805474
1789402249.806218147,0.015582994,0.010578068,-0.024989219,-0.692189546,0.721602852,0.000702787,0.012746113
1789402249.839486361,0.015529862,0.010639264,-0.025006232,-0.692215175,0.721579176,0.000641180,0.012697786
1789402249.872749805,0.015478242,0.010692016,-0.025020677,-0.692236554,0.721559948,0.000604643,0.012626565
1789402249.906008959,0.015423114,0.010733831,-0.025027567,-0.692239390,0.721558586,0.000583030,0.012549662
1789402249.939262629,0.015358291,0.010778084,-0.025055783,-0.692277224,0.721523513,0.000530779,0.012481325
1789402249.972512960,0.015303658,0.010817000,-0.025078857,-0.692312134,0.721491279,0.000507741,0.012409089
1789402250.005758762,0.015252765,0.010848943,-0.025099523,-0.692330580,0.721474803,0.000479401,0.012338803
1789402250.038999081,0.015198021,0.010875984,-0.025117604,-0.692345656,0.721461612,0.000441634,0.012265422
1789402250.072235823,0.015149871,0.010903758,-0.025139992,-0.692370664,0.721438951,0.000414973,0.012187333
1789402250.105468273,0.015109046,0.010927833,-0.025150257,-0.692372402,0.721438516,0.000386903,0.012115107
1789402250.138696194,0.015068501,0.010957654,-0.025171351,-0.692394455,0.721418618,0.000352075,0.012040433
1789402250.171918631,0.015031698,0.010980760,-0.025183059,-0.692396269,0.721418014,0.000325240,0.011972863
1789402250.205137730,0.015000761,0.010995812,-0.025187807,-0.692401397,0.721414238,0.000299627,0.011904321
1789402250.238352299,0.014975308,0.011012982,-0.025199806,-0.692410686,0.721406520,0.000258535,0.011832498
1789402250.271561623,0.014956686,0.011017979,-0.025203549,-0.692416336,0.721402263,0.000215760,0.011762084
1789402250.304767132,0.014954047,0.011004312,-0.025203303,-0.692416126,0.721403571,0.000178453,0.011694618
1789402250.337968349,0.014968036,0.010983909,-0.025207709,-0.692421465,0.721399596,0.000147360,0.011623926
1789402250.371165037,0.014992434,0.010950591,-0.025202807,-0.692428638,0.721393930,0.000109514,0.011548431
1789402250.404356241,0.015023954,0.010901942,-0.025188401,-0.692424532,0.721399044,0.000077360,0.011475191
1789402250.437544107,0.015049318,0.010856585,-0.025174625,-0.692423439,0.721401120,0.000049989,0.011410650
1789402250.470727444,0.015065727,0.010803551,-0.025155080,-0.692434007,0.721392008,0.000023741,0.011345258
1789402250.503906488,0.015069436,0.010740612,-0.025125175,-0.692434970,0.721392204,-0.000021305,0.011273888
