t_sec,x,y,z,qw,qx,qy,qz
1789402247.809573412,0.000000553,0.000000218,-0.000000760,1.000000000,-0.000000095,0.000002078,0.000000415
1789402247.842967510,0.000152911,0.000060104,0.000129937,0.999999999,-0.000040602,0.000001993,-0.000011938
1789402247.876345396,0.000370213,0.000153610,0.000196303,0.999999999,-0.000033557,0.000020181,-0.000006664
1789402247.909709454,0.000603373,0.000262049,0.000233883,1.000000000,-0.000002254,-0.000007884,-0.000013434
1789402247.943058252,0.000822294,0.000367730,0.000264138,1.000000000,0.000009693,-0.000016167,-0.000010435
1789402247.976390839,0.001004605,0.000457696,0.000292469,1.000000000,-0.000002037,-0.000009718,-0.000010759
1789402248.009709358,0.001135743,0.000524321,0.000318801,1.000000000,0.000013942,-0.000013968,-0.000018339
1789402248.043012857,0.001226587,0.000571854,0.000344075,0.999999999,0.000030432,-0.000010605,-0.000019148
1789402248.076301336,0.001292003,0.000607191,0.000366849,0.999999999,0.000021903,-0.000017474,-0.000023620
1789402248.109573841,0.001338387,0.000628828,0.000388492,0.999999998,0.000051880,-0.000018183,-0.000013615
1789402248.142831802,0.001366132,0.000641307,0.000407345,0.999999999,0.000044541,-0.000020536,-0.000014752
1789402248.176074743,0.001378150,0.000644961,0.000419537,0.999999999,0.000044332,-0.000010264,-0.000022283
1789402248.209302664,0.001377033,0.000642875,0.000425780,0.999999998,0.000052558,-0.000020182,-0.000020973
1789402248.242514372,0.001364981,0.000635888,0.000429807,0.999999998,0.000061154,-0.000021559,-0.000022505
1789402248.275712252,0.001345870,0.000624414,0.000428096,0.999999998,0.000050377,-0.000017308,-0.000026793
1789402248.308894873,0.001321234,0.000609322,0.000422910,0.999999999,0.000043207,-0.000003594,-0.000023185
1789402248.342061281,0.001288265,0.000590000,0.000415956,0.999999998,0.000048320,-0.000010239,-0.000024129
1789402248.375213623,0.001249295,0.000566430,0.000407293,0.999999998,0.000058126,-0.000013908,-0.000030033
1789402248.408350945,0.001206790,0.000542123,0.000398084,0.999999999,0.000030669,0.000000702,-0.000031382
1789402248.441473246,0.001161626,0.000516631,0.000385698,0.999999998,0.000049997,0.000000903,-0.000032545
1789402248.474579096,0.001115014,0.000491693,0.000370789,0.999999999,0.000042749,0.000000655,-0.000034124
1789402248.507671118,0.001067233,0.000466053,0.000352683,0.999999998,0.000053404,-0.000002390,-0.000039270
1789402248.540747881,0.001016852,0.000440847,0.000335002,0.999999998,0.000045402,0.000002908,-0.000038542
1789402248.573809624,0.000965666,0.000414734,0.000316905,0.999999998,0.000050288,0.000013503,-0.000030344
1789402248.606855154,0.000914669,0.000389885,0.000298734,0.999999998,0.000047220,0.000010576,-0.000035173
1789402248.639886618,0.000865337,0.000366271,0.000283783,0.999999998,0.000047223,0.000011632,-0.000037654
1789402248.672903061,0.000819068,0.000343931,0.000269275,0.999999997,0.000063205,0.000011013,-0.000038140
1789402248.705905199,0.000775544,0.000325141,0.000252832,0.999999998,0.000043490,0.000007133,-0.000040128
1789402248.739295959,0.000732347,0.000307149,0.000236918,0.999999998,0.000050754,0.000012009,-0.000035361
1789402248.772683620,0.000690380,0.000292606,0.000222818,0.999999998,0.000049932,0.000028245,-0.000039117
1789402248.806068659,0.000650556,0.000282674,0.000206633,0.999999997,0.000059698,0.000017120,-0.000040168
1789402248.839449883,0.000613921,0.000275913,0.000191104,0.999999997,0.000066317,0.000020528,-0.000039088
1789402248.872829199,0.000580288,0.000270573,0.000176344,0.999999997,0.000057417,0.000024631,-0.000045173
1789402248.906205893,0.000550337,0.000266903,0.000163528,0.999999997,0.000052274,0.000027604,-0.000049218
1789402248.939578295,0.000523835,0.000266619,0.000152569,0.999999996,0.000068777,0.000030112,-0.000041254
1789402248.972949266,0.000500387,0.000273000,0.000144607,0.999999997,0.000063836,0.000014900,-0.000045172
1789402249.006317377,0.000482506,0.000283597,0.000138283,0.999999993,0.000099291,0.000036387,-0.000051380
1789402249.039682388,0.000466461,0.000299254,0.000133682,0.999999996,0.000077331,0.000018179,-0.000045982
1789402249.073043585,0.000452691,0.000316956,0.000130666,0.999999994,0.000091744,0.000018086,-0.000048307
1789402249.106403351,0.000440492,0.000339184,0.000128716,0.999999994,0.000090082,0.000030074,-0.000049657
1789402249.139760017,0.000431436,0.000366343,0.000125954,0.999999992,0.000099360,0.000046368,-0.000057040
1789402249.173113823,0.000426537,0.000399225,0.000122462,0.999999991,0.000118204,0.000029714,-0.000060834
1789402249.206463814,0.000426143,0.000438997,0.000119729,0.999999988,0.000137554,0.000024217,-0.000066703
1789402249.239811897,0.000428589,0.000481491,0.000119017,0.999999987,0.000146935,0.000031131,-0.000063919
1789402249.273157358,0.000432296,0.000523863,0.000120283,0.999999986,0.000151037,0.000035891,-0.000066794
1789402249.306499004,0.000436144,0.000568013,0.000122667,0.999999985,0.000152150,0.000041901,-0.000072212
1789402249.339838505,0.000440037,0.000615536,0.000124810,0.999999983,0.000167122,0.000038704,-0.000071194
1789402249.373175621,0.000444307,0.000667919,0.000128336,0.999999981,0.000174352,0.000041163,-0.000080351
1789402249.406509638,0.000449235,0.000724142,0.000134881,0.999999980,0.000170740,0.000053332,-0.000088894
1789402249.439839840,0.000454680,0.000783914,0.000142173,0.999999978,0.000186193,0.000042113,-0.000089859
1789402249.473168135,0.000462359,0.000849010,0.000149883,0.999999973,0.000204494,0.000058126,-0.000089342
1789402249.506493568,0.000467968,0.000920317,0.000158214,0.999999977,0.000185198,0.000060396,-0.000091349
1789402249.539816380,0.000473312,0.000992355,0.000167011,0.999999965,0.000232980,0.000073663,-0.000099493
1789402249.573135138,0.000478337,0.001066977,0.000176324,0.999999964,0.000236184,0.000069365,-0.000102164
1789402249.606452465,0.000481173,0.001141281,0.000186367,0.999999960,0.000252256,0.000072203,-0.000107435
1789402249.639766693,0.000480310,0.001215478,0.000196531,0.999999955,0.000264303,0.000087376,-0.000107906
1789402249.673077106,0.000474794,0.001291192,0.000206994,0.999999957,0.000249269,0.000091551,-0.000124213
1789402249.706386089,0.000465643,0.001364534,0.000215699,0.999999943,0.000302821,0.000082107,-0.000126195
1789402249.739669561,0.000453811,0.001439206,0.000224691,0.999999943,0.000291896,0.000107669,-0.000132558
1789402249.772946835,0.000436206,0.001511806,0.000228775,0.999999933,0.000325007,0.000102388,-0.000136647
1789402249.806218147,0.000411638,0.001581491,0.000230838,0.999999928,0.000338052,0.000102139,-0.000140977
1789402249.839486361,0.000379387,0.001642439,0.000230584,0.999999914,0.000369670,0.000114654,-0.000147551
1789402249.872749805,0.000337761,0.001697501,0.000229083,0.999999905,0.000385106,0.000115379,-0.000165923
1789402249.906008959,0.000288087,0.001746019,0.000227735,0.999999892,0.000414641,0.000118301,-0.000171824
1789402249.939262629,0.000236563,0.001791575,0.000225669,0.999999890,0.000425098,0.000113730,-0.000164313
1789402249.972512960,0.000187512,0.001833688,0.000223854,0.999999864,0.000469930,0.000134128,-0.000180730
1789402250.005758762,0.000139058,0.001871353,0.000222461,0.999999852,0.000490500,0.000136143,-0.000192085
1789402250.038999081,0.000092753,0.001905156,0.000222648,0.999999843,0.000502665,0.000145440,-0.000199106
1789402250.072235823,0.000049167,0.001936316,0.000224871,0.999999819,0.000540002,0.000158045,-0.000212638
1789402250.105468273,0.000010068,0.001969294,0.000225977,0.999999808,0.000561520,0.000153944,-0.000213570
1789402250.138696194,-0.000025033,0.002000678,0.000229183,0.999999782,0.000602461,0.000149127,-0.000225927
1789402250.171918631,-0.000055452,0.002028133,0.000237160,0.999999769,0.000615765,0.000166023,-0.000233760
1789402250.205137730,-0.000081198,0.002049601,0.000246809,0.999999737,0.000661590,0.000180804,-0.000237854
1789402250.238352299,-0.000099528,0.002063825,0.000260593,0.999999708,0.000696834,0.000193634,-0.000246797
1789402250.271561623,-0.000107972,0.002065368,0.000279190,0.999999693,0.000713145,0.000207598,-0.000251260
1789402250.304767132,-0.000101638,0.002050000,0.000302677,0.999999669,0.000739591,0.000216209,-0.000262321
1789402250.337968349,-0.000074833,0.002014070,0.000332316,0.999999630,0.000782569,0.000236367,-0.000267022
1789402250.371165037,-0.000034249,0.001965333,0.000368728,0.999999625,0.000781219,0.000243905,-0.000283054
1789402250.404356241,0.000012844,0.001905219,0.000410978,0.999999588,0.000820040,0.000259830,-0.000288185
1789402250.437544107,0.000057767,0.001836856,0.000457903,0.999999544,0.000868083,0.000259925,-0.000301841
1789402250.470727444,0.000096141,0.001759239,0.000511222,0.999999514,0.000894751,0.000277255,-0.000306768
1789402250.503906488,0.000123571,0.001670417,0.000575406,0.999999505,0.000907403,0.000266632,-0.000310039
1789402250.537079811,0.000144888,0.001576554,0.000648568,0.999999488,0.000920724,0.000270175,-0.000320902
1789402250.570250034,0.000165827,0.001483309,0.000727385,0.999999465,0.000943859,0.000259471,-0.000334584
1789402250.603415489,0.000192833,0.001393947,0.000818742,0.999999447,0.000965601,0.000254446,-0.000331198
1789402250.636575699,0.000230421,0.001315352,0.000931201,0.999999431,0.000978908,0.000247023,-0.000345968
1789402250.669732094,0.000282435,0.001250571,0.001067491,0.999999400,0.001010111,0.000225174,-0.000360095
1789402250.702884436,0.000345953,0.001196045,0.001221249,0.999999373,0.001035248,0.000220735,-0.000364838
1789402250.736235380,0.000413769,0.001146236,0.001383723,0.999999359,0.001047436,0.000208297,-0.000374882
1789402250.769585371,0.000482743,0.001093620,0.001544557,0.999999332,0.001069517,0.000216726,-0.000382230
1789402250.802936077,0.000549330,0.001033771,0.001696161,0.999999307,0.001089239,0.000205216,-0.000396284
1789402250.836286545,0.000615785,0.000967406,0.001831897,0.999999319,0.001080233,0.000187373,-0.000400238
1789402250.869637251,0.000682703,0.000895179,0.001952417,0.999999315,0.001085776,0.000189268,-0.000394555
