t_sec,x,y,z,qw,qx,qy,qz
1789402249.673077106,0.015683075492,0.010321150474,-0.025026196931,-0.693816209,0.720008598,-0.001762556,0.014268158
1789402249.706386089,0.015673923400,0.010380043524,-0.025037927897,-0.693863703,0.719966044,-0.001625702,0.014121415
1789402249.739669561,0.015647853834,0.010458425127,-0.025058677971,-0.693956633,0.719877642,-0.001694345,0.014053559
1789402249.772946835,0.015611910956,0.010531982374,-0.025073289425,-0.693970316,0.719865376,-0.001768582,0.013996879
1789402249.806218147,0.015569217277,0.010598881085,-0.025084428664,-0.693981698,0.719855390,-0.001835541,0.013937387
1789402249.839486361,0.015519307571,0.010659453529,-0.025097356159,-0.694007341,0.719831445,-0.001896986,0.013888991
1789402249.872749805,0.015466512199,0.010711821762,-0.025108896405,-0.694028826,0.719812004,-0.001933310,0.013817752
1789402249.906008959,0.015409887301,0.010756896402,-0.025120661390,-0.694031843,0.719810510,-0.001954726,0.013740803
1789402249.939262629,0.015349565802,0.010799446827,-0.025141060674,-0.694069721,0.719775145,-0.002006744,0.013672464
1789402249.972512960,0.015293066099,0.010838011255,-0.025162644672,-0.694104719,0.719742698,-0.002029545,0.013600290
1789402250.005758762,0.015239642082,0.010870820388,-0.025181511480,-0.694123283,0.719726040,-0.002057679,0.013529997
1789402250.038999081,0.015186476107,0.010899668363,-0.025199061638,-0.694138486,0.719712646,-0.002095238,0.013456571
1789402250.072235823,0.015137444139,0.010927191450,-0.025215679028,-0.694163618,0.719689784,-0.002121664,0.013378501
1789402250.105468273,0.015093520495,0.010954287555,-0.025228806134,-0.694165520,0.719689207,-0.002149551,0.013306209
1789402250.138696194,0.015051943034,0.010982398387,-0.025242760661,-0.694187689,0.719669096,-0.002184156,0.013231524
1789402250.171918631,0.015013217729,0.011006883219,-0.025252217688,-0.694189656,0.719668358,-0.002210820,0.013163891
1789402250.205137730,0.014978984629,0.011026596981,-0.025257245678,-0.694194932,0.719664442,-0.002236253,0.013095301
1789402250.238352299,0.014949858172,0.011043373138,-0.025262356477,-0.694204355,0.719656529,-0.002277150,0.013023406
1789402250.271561623,0.014928102415,0.011050890975,-0.025263368959,-0.694210141,0.719652083,-0.002319741,0.012952902
1789402250.304767132,0.014918560433,0.011045556714,-0.025260910982,-0.694210080,0.719653234,-0.002356879,0.012885340
1789402250.337968349,0.014922222826,0.011030725090,-0.025257215254,-0.694215567,0.719649103,-0.002387787,0.012814588
1789402250.371165037,0.014935836320,0.011004920934,-0.025246873436,-0.694222892,0.719643253,-0.002425432,0.012739021
1789402250.404356241,0.014954762321,0.010968648849,-0.025228961766,-0.694218964,0.719648228,-0.002457410,0.012665685
1789402250.437544107,0.014972321683,0.010927540283,-0.025207071690,-0.694218021,0.719650178,-0.002484623,0.012601070
1789402250.470727444,0.014985031286,0.010878513701,-0.025178796314,-0.694228716,0.719640913,-0.002510689,0.012535648
1789402250.503906488,0.014991327864,0.010821532682,-0.025141941990,-0.694229827,0.719640925,-0.002555556,0.012464166
1789402250.537079811,0.014992531381,0.010763660623,-0.025099279896,-0.694225119,0.719646483,-0.002591984,0.012397796
1789402250.570250034,0.014994279442,0.010704953951,-0.025050454618,-0.694232200,0.719640812,-0.002619604,0.012324415
1789402250.603415489,0.015001591548,0.010647974737,-0.024992033324,-0.694227466,0.719646336,-0.002660944,0.012259532
1789402250.636575699,0.015016228145,0.010601407722,-0.024920298229,-0.694235354,0.719639712,-0.002689659,0.012195206
1789402250.669732094,0.015040808987,0.010564436462,-0.024832751631,-0.694243870,0.719632536,-0.002721929,0.012126585
1789402250.702884436,0.015073880145,0.010534029438,-0.024732280657,-0.694248555,0.719628981,-0.002751346,0.012062524
1789402250.736235380,0.015109429027,0.010509613996,-0.024626692085,-0.694245765,0.719632713,-0.002785748,0.011992338
1789402250.769585371,0.015145254293,0.010483189100,-0.024521131586,-0.694254269,0.719625620,-0.002807338,0.011920401
1789402250.802936077,0.015180820438,0.010449901526,-0.024420461542,-0.694256893,0.719623992,-0.002834253,0.011859336
1789402250.836286545,0.015215380599,0.010414175275,-0.024330381886,-0.694253302,0.719628263,-0.002865111,0.011802869
1789402250.869637251,0.015250305639,0.010373646315,-0.024250239583,-0.694260787,0.719622141,-0.002888830,0.011729799
1789402250.902986526,0.015285670174,0.010328590134,-0.024178504827,-0.694251659,0.719631720,-0.002910434,0.011676922
1789402250.936336756,0.015320166619,0.010283265001,-0.024116463078,-0.694246639,0.719637418,-0.002937779,0.011617237
1789402250.969686747,0.015354409355,0.010232628428,-0.024063078943,-0.694245611,0.719639513,-0.002952547,0.011544884
1789402251.003035545,0.015388157180,0.010174820510,-0.024018129214,-0.694241824,0.719644151,-0.002983048,0.011475505
1789402251.036385536,0.015418661749,0.010116743205,-0.023984601150,-0.694231710,0.719654849,-0.003007963,0.011409780
1789402251.069735050,0.015443941263,0.010057705639,-0.023965316261,-0.694237464,0.719650216,-0.003028348,0.011346311
1789402251.103084803,0.015461082641,0.009998332155,-0.023966834510,-0.694239783,0.719649057,-0.003050872,0.011271637
1789402251.136433125,0.015464486738,0.009943919788,-0.023998932199,-0.694235866,0.719653680,-0.003078786,0.011210010
1789402251.169782400,0.015450872545,0.009893477062,-0.024065101603,-0.694228890,0.719661258,-0.003095590,0.011150701
1789402251.203131676,0.015425028471,0.009840528004,-0.024157744129,-0.694230215,0.719660896,-0.003109472,0.011087537
1789402251.236480474,0.015390188243,0.009785784833,-0.024267626589,-0.694221097,0.719670411,-0.003130983,0.011034723
1789402251.269828320,0.015349704149,0.009737196071,-0.024390466078,-0.694223411,0.719669016,-0.003158300,0.010972136
1789402251.303177357,0.015310443262,0.009692044380,-0.024522895927,-0.694217763,0.719675443,-0.003179028,0.010901704
1789402251.336525679,0.015271667017,0.009647993849,-0.024662148527,-0.694215102,0.719678852,-0.003190837,0.010842500
1789402251.369873285,0.015235516081,0.009604477025,-0.024806259422,-0.694175518,0.719718950,-0.003078531,0.010747317
1789402251.403221369,0.015212962170,0.009558124696,-0.024952111946,-0.694171103,0.719724127,-0.003090292,0.010682312
1789402251.436569929,0.015197600053,0.009512003287,-0.025095434990,-0.694170985,0.719725020,-0.003104663,0.010625441
1789402251.469917774,0.015184939448,0.009469262384,-0.025233411327,-0.694170284,0.719726520,-0.003108813,0.010568311
1789402251.503264904,0.015174423498,0.009431165504,-0.025364699280,-0.694170436,0.719727163,-0.003118518,0.010511500
1789402251.536612511,0.015165246370,0.009397900839,-0.025488972173,-0.694168628,0.719729672,-0.003134587,0.010454162
1789402251.569960117,0.015157173992,0.009371448327,-0.025604648619,-0.694162838,0.719736093,-0.003162804,0.010387861
1789402251.603306770,0.015149970502,0.009355249769,-0.025707015404,-0.694165436,0.719734295,-0.003174453,0.010335148
1789402251.636654377,0.015142285730,0.009353122976,-0.025788908842,-0.694168347,0.719732249,-0.003190311,0.010277032
1789402251.670001507,0.015134099152,0.009366638873,-0.025846990928,-0.694168854,0.719732280,-0.003210730,0.010234208
1789402251.703348637,0.015127316838,0.009392957917,-0.025886020732,-0.694165916,0.719735652,-0.003235745,0.010188375
1789402251.736698389,0.015124252635,0.009425421507,-0.025913415164,-0.694173159,0.719729221,-0.003252987,0.010143520
1789402251.770049095,0.015127157817,0.009456813037,-0.025936166702,-0.694160394,0.719742129,-0.003270345,0.010095581
1789402251.803399563,0.015139314664,0.009481725128,-0.025959130525,-0.694154195,0.719748649,-0.003281486,0.010053212
1789402251.836750269,0.015162300104,0.009498749029,-0.025983544630,-0.694151407,0.719751833,-0.003295618,0.010013086
1789402251.870099783,0.015194841487,0.009510206838,-0.026007899047,-0.694154022,0.719749836,-0.003310331,0.009970368
1789402251.903450251,0.015234821895,0.009520639972,-0.026032727770,-0.694152173,0.719751942,-0.003328293,0.009941072
1789402251.936800480,0.015281136082,0.009535823073,-0.026058873670,-0.694150423,0.719753996,-0.003344138,0.009909184
1789402251.970149755,0.015333567783,0.009559987166,-0.026085801778,-0.694149243,0.719755491,-0.003363595,0.009876643
1789402252.003499746,0.015391516642,0.009594692558,-0.026113469802,-0.694150242,0.719754939,-0.003382852,0.009840003
1789402252.036849737,0.015452828387,0.009639241652,-0.026140556501,-0.694153087,0.719752621,-0.003405771,0.009800855
1789402252.070199728,0.015514534462,0.009691527703,-0.026164833375,-0.694158219,0.719748287,-0.003416667,0.009751753
1789402252.103548527,0.015574727333,0.009749787058,-0.026184581495,-0.694155046,0.719751644,-0.003434688,0.009723495
1789402252.136898518,0.015632511437,0.009814218222,-0.026198031564,-0.694154914,0.719752145,-0.003460989,0.009686405
1789402252.170248270,0.015688526912,0.009885352510,-0.026204502746,-0.694151733,0.719755621,-0.003479505,0.009649419
1789402252.203597784,0.015742242541,0.009961077671,-0.026206802476,-0.694156328,0.719751537,-0.003501006,0.009615586
1789402252.236946344,0.015792119517,0.010038880914,-0.026207594641,-0.694162237,0.719746356,-0.003498346,0.009577772
1789402252.270295858,0.015833727163,0.010116116301,-0.026211176449,-0.694164216,0.719745008,-0.003495409,0.009536670
1789402252.303645372,0.015863759130,0.010191303825,-0.026222995695,-0.694162823,0.719746519,-0.003531882,0.009510473
1789402252.336993694,0.015881601265,0.010264660069,-0.026246051561,-0.694165658,0.719744073,-0.003553910,0.009480422
1789402252.370342731,0.015888656128,0.010335272297,-0.026278643501,-0.694172162,0.719738307,-0.003561605,0.009438964
1789402252.403692007,0.015887846487,0.010402444965,-0.026316437711,-0.694167118,0.719743462,-0.003581476,0.009409234
1789402252.437041044,0.015881081701,0.010466238178,-0.026354375229,-0.694174079,0.719737073,-0.003598256,0.009378000
1789402252.470388889,0.015868842446,0.010525153222,-0.026387944141,-0.694171604,0.719739783,-0.003619298,0.009345059
1789402252.503737688,0.015851615895,0.010578202756,-0.026414493234,-0.694171649,0.719740070,-0.003637962,0.009312292
1789402252.537086725,0.015831615788,0.010625202907,-0.026433453839,-0.694172209,0.719739964,-0.003651278,0.009273424
1789402252.570435286,0.015809841099,0.010667838211,-0.026446248436,-0.694172697,0.719739909,-0.003661388,0.009237126
1789402252.603782892,0.015787331356,0.010707157537,-0.026455383697,-0.694169837,0.719742946,-0.003684504,0.009206196
1789402252.637131691,0.015765674754,0.010743327774,-0.026462523931,-0.694173528,0.719739807,-0.003679664,0.009175120
1789402252.670480013,0.015744404624,0.010776187791,-0.026467864742,-0.694175249,0.719738411,-0.003705712,0.009143912
1789402252.703827381,0.015723315164,0.010806963239,-0.026470172579,-0.694171403,0.719742359,-0.003723522,0.009117867
1789402252.737178802,0.015702679905,0.010837128794,-0.026468284824,-0.694172676,0.719741415,-0.003744801,0.009086647
1789402252.770529747,0.015683732323,0.010867578100,-0.026460923705,-0.694174684,0.719739775,-0.003754660,0.009059065
1789402252.803880930,0.015668302028,0.010898835785,-0.026447830972,-0.694166900,0.719747477,-0.003772210,0.009036260
1789402252.837230921,0.015657838280,0.010932020579,-0.026429194322,-0.694170481,0.719744255,-0.003790567,0.009010054
1789402252.870582104,0.015652512810,0.010965239384,-0.026406908272,-0.694183353,0.719732232,-0.003797277,0.008975958
1789402252.903933048,0.015653619207,0.010994504931,-0.026384322753,-0.694185136,0.719730709,-0.003819316,0.008950793
1789402252.937283039,0.015664396817,0.011016249344,-0.026366623714,-0.694181550,0.719734343,-0.003842758,0.008926609
1789402252.970633745,0.015687988342,0.011025936938,-0.026357936784,-0.694188059,0.719728324,-0.003852405,0.008901526
1789402253.003984690,0.015725815875,0.011020385308,-0.026359562029,-0.694191953,0.719724683,-0.003875349,0.008882314
1789402253.037335396,0.015777203503,0.011002277355,-0.026370405348,-0.694190924,0.719725923,-0.003890159,0.008855667
1789402253.070685148,0.015839679209,0.010977521957,-0.026389146844,-0.694190806,0.719726331,-0.003895096,0.008829549
1789402253.104035854,0.015911201670,0.010951417497,-0.026414229809,-0.694184226,0.719732807,-0.003915216,0.008810153
1789402253.137386560,0.015990640191,0.010926943095,-0.026443965117,-0.694191395,0.719726163,-0.003934765,0.008779215
1789402253.170737028,0.016075668862,0.010904918213,-0.026476918284,-0.694189049,0.719728727,-0.003930446,0.008756432
1789402253.204086542,0.016162748882,0.010884926431,-0.026511832067,-0.694192315,0.719725953,-0.003935779,0.008723106
1789402253.237437010,0.016247162200,0.010864505175,-0.026549207244,-0.694186034,0.719732234,-0.003952962,0.008696851
1789402253.270787239,0.016323207342,0.010842133248,-0.026589472803,-0.694046557,0.719867025,-0.003986158,0.008657533
1789402253.304136753,0.016385529634,0.010820770429,-0.026632020139,-0.694174784,0.719743529,-0.003979650,0.008647789
1789402253.337486982,0.016430052911,0.010794700193,-0.026680082535,-0.694178159,0.719740422,-0.004011647,0.008620669
1789402253.370837450,0.016458609515,0.010764926690,-0.026732037157,-0.694182869,0.719736211,-0.004003928,0.008596519
1789402253.404187441,0.016475173401,0.010735351653,-0.026785054787,-0.694176462,0.719742602,-0.004003938,0.008578710
1789402253.437536716,0.016484379998,0.010710285444,-0.026836187597,-0.694170185,0.719748815,-0.004008361,0.008563318
1789402253.470886946,0.016488780627,0.010694306043,-0.026881826528,-0.694175854,0.719743579,-0.004012490,0.008541931
1789402253.504236698,0.016490057287,0.010687909395,-0.026919698928,-0.694170803,0.719748685,-0.004008823,0.008523815
1789402253.537586927,0.016489562428,0.010690717235,-0.026950327529,-0.694164434,0.719754956,-0.004020619,0.008507472
1789402253.570935726,0.016487985659,0.010702832997,-0.026972580120,-0.694168162,0.719751564,-0.004029507,0.008485950
