t_sec,x,y,z,qw,qx,qy,qz
1789402249.673077106,0.015684297,0.010302667,-0.025023591,-0.693816209,0.720008598,-0.001762556,0.014268158
1789402249.706386089,0.015681183,0.010376009,-0.025032710,-0.693863703,0.719966044,-0.001625702,0.014121415
1789402249.739669561,0.015649416,0.010461864,-0.025063455,-0.693956633,0.719877642,-0.001694345,0.014053559
1789402249.772946835,0.015613514,0.010533374,-0.025073750,-0.693970316,0.719865376,-0.001768582,0.013996879
1789402249.806218147,0.015572184,0.010600561,-0.025083114,-0.693981698,0.719855390,-0.001835541,0.013937387
1789402249.839486361,0.015519220,0.010661825,-0.025097974,-0.694007341,0.719831445,-0.001896986,0.013888991
1789402249.872749805,0.015467573,0.010714624,-0.025110466,-0.694028826,0.719812004,-0.001933310,0.013817752
1789402249.906008959,0.015412190,0.010756580,-0.025115468,-0.694031843,0.719810510,-0.001954726,0.013740803
1789402249.939262629,0.015347186,0.010800811,-0.025142092,-0.694069721,0.719775145,-0.002006744,0.013672464
1789402249.972512960,0.015292112,0.010839866,-0.025163404,-0.694104719,0.719742698,-0.002029545,0.013600290
1789402250.005758762,0.015240502,0.010872099,-0.025182147,-0.694123283,0.719726040,-0.002057679,0.013529997
1789402250.038999081,0.015184814,0.010899583,-0.025198256,-0.694138486,0.719712646,-0.002095238,0.013456571
1789402250.072235823,0.015135609,0.010927910,-0.025218517,-0.694163618,0.719689784,-0.002121664,0.013378501
1789402250.105468273,0.015093358,0.010952938,-0.025226487,-0.694165520,0.719689207,-0.002149551,0.013306209
1789402250.138696194,0.015051138,0.010983974,-0.025245123,-0.694187689,0.719669096,-0.002184156,0.013231524
1789402250.171918631,0.015011816,0.011008778,-0.025254083,-0.694189656,0.719668358,-0.002210820,0.013163891
1789402250.205137730,0.014977636,0.011026206,-0.025255722,-0.694194932,0.719664442,-0.002236253,0.013095301
1789402250.238352299,0.014948190,0.011046366,-0.025264472,-0.694204355,0.719656529,-0.002277150,0.013023406
1789402250.271561623,0.014924241,0.011055434,-0.025264586,-0.694210141,0.719652083,-0.002319741,0.012952902
1789402250.304767132,0.014914503,0.011047305,-0.025260100,-0.694210080,0.719653234,-0.002356879,0.012885340
1789402250.337968349,0.014919565,0.011033987,-0.025259781,-0.694215567,0.719649103,-0.002387787,0.012814588
1789402250.371165037,0.014933894,0.011008869,-0.025249547,-0.694222892,0.719643253,-0.002425432,0.012739021
1789402250.404356241,0.014955663,0.010968539,-0.025229206,-0.694218964,0.719648228,-0.002457410,0.012665685
1789402250.437544107,0.014973644,0.010930244,-0.025208952,-0.694218021,0.719650178,-0.002484623,0.012601070
1789402250.470727444,0.014987005,0.010881784,-0.025181896,-0.694228716,0.719640913,-0.002510689,0.012535648
1789402250.503906488,0.014993178,0.010820536,-0.025143046,-0.694229827,0.719640925,-0.002555556,0.012464166
1789402250.537079811,0.014992330,0.010764240,-0.025100855,-0.694225119,0.719646483,-0.002591984,0.012397796
1789402250.570250034,0.014992244,0.010705504,-0.025053180,-0.694232200,0.719640812,-0.002619604,0.012324415
1789402250.603415489,0.014999930,0.010643651,-0.024995754,-0.694227466,0.719646336,-0.002660944,0.012259532
1789402250.636575699,0.015013062,0.010598742,-0.024925121,-0.694235354,0.719639712,-0.002689659,0.012195206
1789402250.669732094,0.015037852,0.010563246,-0.024836947,-0.694243870,0.719632536,-0.002721929,0.012126585
1789402250.702884436,0.015073792,0.010531233,-0.024733226,-0.694248555,0.719628981,-0.002751346,0.012062524
1789402250.736235380,0.015109370,0.010510408,-0.024626692,-0.694245765,0.719632713,-0.002785748,0.011992338
1789402250.769585371,0.015145171,0.010486538,-0.024520144,-0.694254269,0.719625620,-0.002807338,0.011920401
1789402250.802936077,0.015181457,0.010449162,-0.024416652,-0.694256893,0.719623992,-0.002834253,0.011859336
1789402250.836286545,0.015215079,0.010416051,-0.024327637,-0.694253302,0.719628263,-0.002865111,0.011802869
1789402250.869637251,0.015249996,0.010375656,-0.024248324,-0.694260787,0.719622141,-0.002888830,0.011729799
1789402250.902986526,0.015286218,0.010327270,-0.024175341,-0.694251659,0.719631720,-0.002910434,0.011676922
1789402250.936336756,0.015320152,0.010285124,-0.024114128,-0.694246639,0.719637418,-0.002937779,0.011617237
1789402250.969686747,0.015354227,0.010235968,-0.024061129,-0.694245611,0.719639513,-0.002952547,0.011544884
1789402251.003035545,0.015389299,0.010173450,-0.024014621,-0.694241824,0.719644151,-0.002983048,0.011475505
1789402251.036385536,0.015420033,0.010117455,-0.023980979,-0.694231710,0.719654849,-0.003007963,0.011409780
1789402251.069735050,0.015445985,0.010058397,-0.023959846,-0.694237464,0.719650216,-0.003028348,0.011346311
1789402251.103084803,0.015464896,0.009996239,-0.023957808,-0.694239783,0.719649057,-0.003050872,0.011271637
1789402251.136433125,0.015470331,0.009942274,-0.023988337,-0.694235866,0.719653680,-0.003078786,0.011210010
1789402251.169782400,0.015453790,0.009894710,-0.024057651,-0.694228890,0.719661258,-0.003095590,0.011150701
1789402251.203131676,0.015427466,0.009842257,-0.024153493,-0.694230215,0.719660896,-0.003109472,0.011087537
1789402251.236480474,0.015392573,0.009782267,-0.024263849,-0.694221097,0.719670411,-0.003130983,0.011034723
1789402251.269828320,0.015348264,0.009736814,-0.024387853,-0.694223411,0.719669016,-0.003158300,0.010972136
1789402251.303177357,0.015310284,0.009692000,-0.024521075,-0.694217763,0.719675443,-0.003179028,0.010901704
1789402251.336525679,0.015272972,0.009647054,-0.024660683,-0.694215102,0.719678852,-0.003190837,0.010842500
1789402251.369873285,0.015228646,0.009606382,-0.024805612,-0.694175518,0.719718950,-0.003078531,0.010747317
1789402251.403221369,0.015212237,0.009557674,-0.024953020,-0.694171103,0.719724127,-0.003090292,0.010682312
1789402251.436569929,0.015196825,0.009511060,-0.025096977,-0.694170985,0.719725020,-0.003104663,0.010625441
1789402251.469917774,0.015184292,0.009467752,-0.025235423,-0.694170284,0.719726520,-0.003108813,0.010568311
1789402251.503264904,0.015174109,0.009430061,-0.025366558,-0.694170436,0.719727163,-0.003118518,0.010511500
1789402251.536612511,0.015164983,0.009396026,-0.025491186,-0.694168628,0.719729672,-0.003134587,0.010454162
1789402251.569960117,0.015156736,0.009368654,-0.025608111,-0.694162838,0.719736093,-0.003162804,0.010387861
1789402251.603306770,0.015150267,0.009351137,-0.025712992,-0.694165436,0.719734295,-0.003174453,0.010335148
1789402251.636654377,0.015142568,0.009348425,-0.025796382,-0.694168347,0.719732249,-0.003190311,0.010277032
1789402251.670001507,0.015133729,0.009362735,-0.025852342,-0.694168854,0.719732280,-0.003210730,0.010234208
1789402251.703348637,0.015126185,0.009391256,-0.025889296,-0.694165916,0.719735652,-0.003235745,0.010188375
1789402251.736698389,0.015122781,0.009425798,-0.025914562,-0.694173159,0.719729221,-0.003252987,0.010143520
1789402251.770049095,0.015124386,0.009458943,-0.025935896,-0.694160394,0.719742129,-0.003270345,0.010095581
1789402251.803399563,0.015136046,0.009484197,-0.025958380,-0.694154195,0.719748649,-0.003281486,0.010053212
1789402251.836750269,0.015159572,0.009500403,-0.025983909,-0.694151407,0.719751833,-0.003295618,0.010013086
1789402251.870099783,0.015192854,0.009510650,-0.026007751,-0.694154022,0.719749836,-0.003310331,0.009970368
