t_sec,x,y,z,qw,qx,qy,qz
1789402383.004911423,0.007828988721,0.008930715452,-0.027064602847,-0.695373494,0.718460401,-0.010144946,-0.012939702
1789402383.038130045,0.007876536445,0.008937616642,-0.027006702576,-0.695379912,0.718455732,-0.010103466,-0.012886420
1789402383.071344137,0.007932414634,0.008949783150,-0.026929460021,-0.695432153,0.718406047,-0.010115249,-0.012827859
1789402383.104553461,0.007986011703,0.008956130749,-0.026843007968,-0.695406654,0.718432375,-0.010090736,-0.012754802
1789402383.137757063,0.008030508988,0.008944800310,-0.026766929178,-0.695401224,0.718439074,-0.010070527,-0.012689306
1789402383.170956850,0.008064218170,0.008936048382,-0.026698820838,-0.695432019,0.718410434,-0.010055372,-0.012635101
1789402383.204151630,0.008085940747,0.008940096671,-0.026629612718,-0.695430627,0.718413169,-0.010042459,-0.012566263
1789402383.237341881,0.008087627009,0.008944887600,-0.026572708514,-0.695452776,0.718392840,-0.010048515,-0.012497657
1789402383.270526171,0.008069656107,0.008962191716,-0.026514290958,-0.695486815,0.718360880,-0.010032550,-0.012453312
1789402383.303706884,0.008032076076,0.009003473847,-0.026446670292,-0.695497948,0.718351416,-0.010019293,-0.012387920
1789402383.336882830,0.007974772889,0.009058025020,-0.026384505116,-0.695498669,0.718351818,-0.010017138,-0.012325736
1789402383.370052814,0.007903605674,0.009132284742,-0.026325575424,-0.695542093,0.718310807,-0.010000501,-0.012278903
1789402383.403218985,0.007824452251,0.009217552767,-0.026255378473,-0.695556599,0.718298092,-0.009984191,-0.012214093
1789402383.436380625,0.007738531748,0.009305141331,-0.026180474551,-0.695549650,0.718305824,-0.009969126,-0.012167313
1789402383.469537258,0.007644489480,0.009405158357,-0.026108022211,-0.695564410,0.718292481,-0.009955198,-0.012122608
1789402383.502688408,0.007546530379,0.009512319130,-0.026033530532,-0.695579250,0.718279166,-0.009939121,-0.012073143
1789402383.535835743,0.007450942923,0.009617380506,-0.025958836886,-0.695571327,0.718287747,-0.009923116,-0.012032194
1789402383.568978071,0.007358020337,0.009721290382,-0.025894195441,-0.695579988,0.718280329,-0.009907088,-0.011987452
1789402383.602114677,0.007273468219,0.009817887169,-0.025835527093,-0.695603461,0.718258567,-0.009889538,-0.011943793
1789402383.635247469,0.007203843187,0.009901843791,-0.025779696943,-0.695593514,0.718269024,-0.009871106,-0.011909374
1789402383.668376684,0.007143090610,0.009975886838,-0.025734306512,-0.695596268,0.718267180,-0.009848861,-0.011878153
1789402383.701731443,0.007093112394,0.010034049168,-0.025699326769,-0.695609723,0.718255085,-0.009835284,-0.011832682
1789402383.735085011,0.007063208897,0.010068093139,-0.025674731079,-0.695613678,0.718252182,-0.009812592,-0.011795217
1789402383.768440008,0.007053918251,0.010075199485,-0.025670817889,-0.695623005,0.718243900,-0.009802095,-0.011758115
1789402383.801794767,0.007072016199,0.010046155455,-0.025684503161,-0.695628466,0.718239480,-0.009780732,-0.011722786
1789402383.835149765,0.007113913438,0.009983398589,-0.025712344038,-0.695622992,0.718245466,-0.009753359,-0.011703636
1789402383.868503571,0.007165271450,0.009901975068,-0.025756546040,-0.695624041,0.718245253,-0.009733208,-0.011671108
