t_sec,x,y,z,qw,qx,qy,qz
1789659033.155941486,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789659033.189358234,0.000004587,0.000008335,0.000021092,1.000000000,-0.000003711,-0.000009145,-0.000019068
1789659033.222759962,0.000006119,-0.000001715,0.000016807,1.000000000,-0.000011768,-0.000010832,-0.000009379
1789659033.256148577,-0.000001143,0.000000447,0.000014834,1.000000000,-0.000007560,-0.000005522,-0.000013042
1789659033.289523363,-0.000000279,0.000002597,0.000017801,1.000000000,-0.000005187,-0.000008842,-0.000012853
1789659033.322883368,-0.000005553,-0.000007949,0.000014401,1.000000000,-0.000019913,0.000000273,-0.000009861
1789659033.356230021,0.000005678,0.000004527,0.000012900,1.000000000,-0.000002997,-0.000012198,-0.000013054
1789659033.389562845,0.000000460,0.000003279,0.000023953,1.000000000,-0.000006512,-0.000009096,-0.000012792
1789659033.422881365,0.000001565,0.000003465,0.000015597,1.000000000,-0.000005841,-0.000010218,-0.000009419
1789659033.456185102,-0.000004151,0.000001028,0.000023271,1.000000000,-0.000008272,-0.000005255,-0.000019894
1789659033.489475727,0.000000264,0.000013348,0.000028922,1.000000000,0.000003062,-0.000009615,-0.000018941
1789659033.522752762,0.000001776,0.000008497,0.000020214,1.000000000,-0.000001135,-0.000005758,-0.000013407
1789659033.556015491,0.000000130,0.000001561,0.000011201,1.000000000,-0.000007323,-0.000005190,-0.000012054
1789659033.589263201,0.000006916,0.000007480,0.000020410,1.000000000,-0.000001952,-0.000013171,-0.000008488
1789659033.622497797,-0.000010926,0.000000499,0.000030909,1.000000000,-0.000010217,-0.000001125,-0.000018316
1789659033.655718565,-0.000000018,0.000008745,0.000020254,1.000000000,-0.000002254,-0.000004973,-0.000014576
1789659033.688924313,-0.000001778,0.000004978,0.000016784,1.000000000,-0.000006503,-0.000008572,-0.000019985
1789659033.722116947,-0.000001551,0.000003390,0.000021624,1.000000000,-0.000008036,-0.000004350,-0.000013589
1789659033.755295992,-0.000001526,-0.000002048,0.000023073,1.000000000,-0.000013025,-0.000007602,-0.000018879
1789659033.788460493,-0.000005252,0.000004375,0.000014154,1.000000000,-0.000005585,-0.000002385,-0.000015565
1789659033.821610451,-0.000004477,0.000004243,0.000008004,1.000000000,-0.000003769,-0.000000526,-0.000010820
1789659033.854747057,-0.000003996,0.000003425,0.000018357,1.000000000,-0.000005185,-0.000002470,-0.000010075
1789659033.887869596,-0.000006094,0.000005388,0.000020582,1.000000000,-0.000003675,-0.000002410,-0.000017896
1789659033.920978546,-0.000000731,0.000000589,0.000011465,1.000000000,-0.000009634,-0.000006147,-0.000011144
