t_sec,x,y,z,qw,qx,qy,qz
1789659033.155941486,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789659033.189358234,0.000003499,0.000006359,0.000016090,1.000000000,-0.000003711,-0.000009145,-0.000019068
1789659033.222759962,0.000004668,-0.000001309,0.000012821,1.000000000,-0.000011768,-0.000010832,-0.000009379
1789659033.256148577,-0.000000872,0.000000341,0.000011316,1.000000000,-0.000007560,-0.000005522,-0.000013042
1789659033.289523363,-0.000000213,0.000001981,0.000013579,1.000000000,-0.000005187,-0.000008842,-0.000012853
1789659033.322883368,-0.000004236,-0.000006064,0.000010986,1.000000000,-0.000019913,0.000000273,-0.000009861
1789659033.356230021,0.000004331,0.000003454,0.000009841,1.000000000,-0.000002997,-0.000012198,-0.000013054
1789659033.389562845,0.000000351,0.000002501,0.000018272,1.000000000,-0.000006512,-0.000009096,-0.000012792
1789659033.422881365,0.000001194,0.000002643,0.000011898,1.000000000,-0.000005841,-0.000010218,-0.000009419
1789659033.456185102,-0.000003166,0.000000784,0.000017752,1.000000000,-0.000008272,-0.000005255,-0.000019894
1789659033.489475727,0.000000202,0.000010183,0.000022063,1.000000000,0.000003062,-0.000009615,-0.000018941
1789659033.522752762,0.000001355,0.000006482,0.000015420,1.000000000,-0.000001135,-0.000005758,-0.000013407
1789659033.556015491,0.000000099,0.000001191,0.000008544,1.000000000,-0.000007323,-0.000005190,-0.000012054
1789659033.589263201,0.000005276,0.000005706,0.000015570,1.000000000,-0.000001952,-0.000013171,-0.000008488
1789659033.622497797,-0.000008335,0.000000381,0.000023579,1.000000000,-0.000010217,-0.000001125,-0.000018316
1789659033.655718565,-0.000000014,0.000006671,0.000015451,1.000000000,-0.000002254,-0.000004973,-0.000014576
1789659033.688924313,-0.000001356,0.000003797,0.000012804,1.000000000,-0.000006503,-0.000008572,-0.000019985
1789659033.722116947,-0.000001184,0.000002586,0.000016496,1.000000000,-0.000008036,-0.000004350,-0.000013589
1789659033.755295992,-0.000001164,-0.000001562,0.000017602,1.000000000,-0.000013025,-0.000007602,-0.000018879
1789659033.788460493,-0.000004006,0.000003337,0.000010797,1.000000000,-0.000005585,-0.000002385,-0.000015565
