t_sec,x,y,z,qw,qx,qy,qz
1789660419.782221079,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789660419.815614939,-0.000097980,-0.000119974,0.000046531,0.999999995,-0.000081862,0.000052955,-0.000004248
1789660419.848995209,-0.000067522,-0.000088556,0.000047776,0.999999997,-0.000062062,0.000036217,0.000001953
1789660419.882360220,-0.000098179,-0.000100891,0.000041398,0.999999995,-0.000080294,0.000053848,-0.000008951
1789660419.915710211,-0.000079227,-0.000163295,0.000042890,0.999999993,-0.000114071,0.000043732,0.000002012
1789660419.949044228,-0.000085941,-0.000153898,0.000038575,0.999999993,-0.000109064,0.000046798,0.000004043
1789660419.982364416,-0.000061027,-0.000105882,0.000046138,0.999999996,-0.000082107,0.000035050,-0.000004112
1789660420.015669584,-0.000069179,-0.000115120,0.000046060,0.999999996,-0.000079377,0.000040073,0.000004647
1789660420.048959017,-0.000060635,-0.000127964,0.000044402,0.999999995,-0.000092433,0.000033342,0.000001793
1789660420.082234383,-0.000065899,-0.000072923,0.000032060,0.999999998,-0.000056569,0.000035847,-0.000008101
1789660420.115494967,-0.000072613,-0.000073345,0.000047263,0.999999998,-0.000056494,0.000042166,0.000003562
1789660420.148740530,-0.000075261,-0.000142619,0.000042790,0.999999994,-0.000103861,0.000043527,0.000003156
1789660420.181969881,-0.000056327,-0.000034700,0.000027254,0.999999999,-0.000038371,0.000031219,-0.000010960
1789660420.215185642,-0.000064809,-0.000096532,0.000049749,0.999999997,-0.000073041,0.000036847,-0.000005763
1789660420.248386145,-0.000078568,-0.000108694,0.000022616,0.999999996,-0.000082099,0.000041514,0.000005405
1789660420.281572104,-0.000067845,-0.000134399,0.000056457,0.999999994,-0.000097932,0.000041997,0.000008181
1789660420.314741850,-0.000058320,-0.000068669,0.000041641,0.999999998,-0.000051079,0.000034512,-0.000003662
1789660420.347897768,-0.000086618,-0.000137082,0.000039196,0.999999993,-0.000102289,0.000050457,-0.000004708
1789660420.381038904,-0.000051688,-0.000114186,0.000038442,0.999999996,-0.000084656,0.000029381,0.000004618
1789660420.414163828,-0.000064264,-0.000100054,0.000065120,0.999999996,-0.000081924,0.000035952,-0.000011251
1789660420.447274923,-0.000091887,0.000030590,0.000012618,0.999999998,0.000001183,0.000050934,-0.000022937
1789660420.480370760,-0.000060700,0.000008399,0.000019134,0.999999999,-0.000010221,0.000033917,-0.000010389
1789660420.513452053,-0.000082899,-0.000138038,0.000047731,0.999999994,-0.000103521,0.000045991,-0.000002670
1789660420.546517372,-0.000076049,-0.000067867,0.000049677,0.999999997,-0.000059552,0.000047159,-0.000011239
1789660420.579568624,-0.000055323,-0.000109260,0.000040113,0.999999996,-0.000087560,0.000034315,-0.000000283
1789660420.612605095,-0.000057096,-0.000036642,0.000031438,0.999999999,-0.000037017,0.000032638,-0.000007112
1789660420.645626545,-0.000097463,-0.000114605,0.000040826,0.999999994,-0.000090592,0.000056833,-0.000007574
1789660420.678633690,-0.000094223,-0.000105197,0.000047892,0.999999995,-0.000085232,0.000057063,-0.000008192
1789660420.712000370,-0.000088986,-0.000160345,0.000052816,0.999999990,-0.000131385,0.000058272,-0.000015444
1789660420.745363712,-0.000078126,-0.000081129,0.000025798,0.999999997,-0.000066948,0.000046579,0.000002355
1789660420.778722525,-0.000065842,-0.000064115,0.000030307,0.999999998,-0.000056920,0.000037336,-0.000003580
1789660420.812078714,-0.000072749,-0.000087996,0.000043844,0.999999996,-0.000076184,0.000043704,-0.000012404
1789660420.845430851,-0.000071490,-0.000121193,0.000037208,0.999999994,-0.000095631,0.000043634,0.000000547
1789660420.878780127,-0.000064275,-0.000139470,0.000032518,0.999999994,-0.000108123,0.000034653,-0.000002007
1789660420.912124157,-0.000066007,-0.000100611,0.000054191,0.999999995,-0.000084818,0.000042001,-0.000011801
1789660420.945466042,-0.000109158,-0.000166940,0.000051396,0.999999990,-0.000127517,0.000066879,-0.000005231
1789660420.978804111,-0.000067147,-0.000061992,0.000038941,0.999999998,-0.000055055,0.000037247,-0.000003899
