t_sec,x,y,z,qw,qx,qy,qz
1789662437.288214207,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789662437.321621656,0.000008946,-0.000027272,0.000041070,1.000000000,-0.000020507,-0.000002138,-0.000015245
1789662437.355014086,0.000017409,-0.000013476,0.000070745,1.000000000,-0.000011647,-0.000006038,-0.000011502
1789662437.388393879,0.000010968,-0.000001555,0.000043170,1.000000000,-0.000011038,-0.000002153,-0.000016535
1789662437.421759605,0.000003604,-0.000022649,0.000037951,0.999999999,-0.000027809,0.000000579,-0.000017006
1789662437.455111265,0.000012587,-0.000007393,0.000045297,1.000000000,-0.000013429,-0.000002006,-0.000008182
1789662437.488448381,0.000019683,-0.000006085,0.000044743,1.000000000,-0.000011153,-0.000005079,-0.000012816
1789662437.521772623,0.000012437,0.000003760,0.000050017,1.000000000,-0.000003125,-0.000003164,-0.000019851
1789662437.555083036,0.000019114,-0.000012982,0.000048701,1.000000000,-0.000015020,-0.000005529,-0.000020177
1789662437.588378429,-0.000002739,0.000009511,0.000040375,1.000000000,-0.000002131,0.000000227,-0.000021099
1789662437.621661186,0.000016072,0.000019561,0.000032625,0.999999999,-0.000000792,-0.000004306,-0.000033052
1789662437.654929638,0.000020257,-0.000001795,0.000051812,1.000000000,-0.000008619,-0.000006719,-0.000021661
1789662437.688184500,0.000018622,0.000016008,0.000046131,1.000000000,0.000002793,-0.000006574,-0.000029418
1789662437.721424580,0.000003560,-0.000013165,0.000046012,1.000000000,-0.000017816,0.000003730,-0.000013657
1789662437.754651546,0.000009336,-0.000006995,0.000046156,1.000000000,-0.000012715,-0.000000664,-0.000013740
1789662437.787864923,0.000021072,-0.000000013,0.000032558,0.999999999,-0.000013398,-0.000008129,-0.000028879
1789662437.821063280,0.000018844,-0.000010390,0.000064874,1.000000000,-0.000013415,-0.000001866,-0.000009429
1789662437.854248762,0.000015452,-0.000003566,0.000047851,1.000000000,-0.000012253,0.000000187,-0.000014417
1789662437.887420416,0.000020132,0.000003198,0.000024369,1.000000000,-0.000012031,-0.000005910,-0.000021208
1789662437.920578241,0.000008478,-0.000014682,0.000068494,1.000000000,-0.000009872,-0.000003313,-0.000008207
1789662437.953721046,0.000022275,-0.000001620,0.000047942,1.000000000,-0.000009515,-0.000005867,-0.000023910
1789662437.986850977,0.000003855,0.000000095,0.000031789,0.999999999,-0.000013539,-0.000000491,-0.000031743
1789662438.019967318,0.000020905,-0.000014929,0.000044061,1.000000000,-0.000016058,-0.000004965,-0.000013727
1789662438.053069353,0.000018006,-0.000004880,0.000054996,1.000000000,-0.000009326,-0.000004465,-0.000010496
1789662438.086157084,0.000015180,-0.000005811,0.000050343,1.000000000,-0.000011746,-0.000006652,-0.000014654
1789662438.119231462,0.000014006,-0.000010367,0.000060106,1.000000000,-0.000012123,-0.000003993,-0.000026814
1789662438.152292013,0.000010310,-0.000016321,0.000054891,1.000000000,-0.000018426,-0.000000513,-0.000010084
1789662438.185339689,0.000017226,-0.000015066,0.000054886,1.000000000,-0.000018843,-0.000005809,-0.000021083
1789662438.218759537,0.000020880,-0.000015238,0.000057682,1.000000000,-0.000018170,-0.000006480,-0.000017120
1789662438.252177477,0.000015126,-0.000004386,0.000056012,1.000000000,-0.000007557,-0.000001410,-0.000014085
1789662438.285593271,0.000019453,0.000011835,0.000042254,1.000000000,-0.000005989,-0.000003690,-0.000026789
1789662438.319006443,0.000019119,-0.000007301,0.000042177,1.000000000,-0.000014879,-0.000003992,-0.000018717
1789662438.352418184,0.000009697,-0.000025978,0.000051038,1.000000000,-0.000020643,-0.000004002,-0.000005675
1789662438.385828018,0.000007492,0.000007272,0.000029770,1.000000000,-0.000007905,-0.000001381,-0.000023301
1789662438.419236183,0.000021233,-0.000003833,0.000031754,1.000000000,-0.000018254,-0.000006636,-0.000022313
1789662438.452640772,0.000008444,-0.000000712,0.000039534,1.000000000,-0.000009569,0.000000560,-0.000025898
1789662438.486044884,-0.000002048,-0.000000610,0.000032800,1.000000000,-0.000007939,0.000005063,-0.000020088
1789662438.519446850,0.000010181,-0.000022951,0.000053756,1.000000000,-0.000017890,-0.000003227,-0.000007062
1789662438.552845716,0.000011154,-0.000023730,0.000039416,1.000000000,-0.000024041,-0.000000549,-0.000005364
1789662438.586243629,0.000004201,0.000006023,0.000052208,1.000000000,-0.000001644,0.000001592,-0.000016494
1789662438.619639635,0.000002599,0.000006219,0.000057085,1.000000000,-0.000003682,0.000002123,-0.000017930
1789662438.653033495,0.000020777,0.000010581,0.000060537,1.000000000,0.000002889,-0.000004186,-0.000025611
1789662438.686424255,0.000017349,-0.000015611,0.000036468,0.999999999,-0.000020586,-0.000008281,-0.000025139
1789662438.719814301,-0.000005914,-0.000027908,0.000063832,1.000000000,-0.000023658,0.000002889,-0.000010550
1789662438.753202200,0.000011622,0.000008819,0.000036479,1.000000000,-0.000002328,-0.000006897,-0.000021251
1789662438.786588192,0.000007725,-0.000025592,0.000043843,1.000000000,-0.000027546,-0.000001114,-0.000010912
1789662438.819970846,0.000003394,-0.000025153,0.000059756,1.000000000,-0.000016893,0.000001692,-0.000011409
1789662438.853353024,0.000007811,0.000003916,0.000049889,1.000000000,-0.000002756,-0.000001487,-0.000017355
1789662438.886732817,0.000013649,0.000002615,0.000037299,1.000000000,-0.000008893,-0.000004394,-0.000028573
1789662438.920109749,0.000005963,-0.000025963,0.000042133,1.000000000,-0.000021847,-0.000000180,-0.000006309
1789662438.953485489,0.000009111,-0.000026340,0.000064475,1.000000000,-0.000016342,-0.000005279,-0.000013396
1789662438.986859560,0.000020156,0.000007888,0.000058644,1.000000000,0.000001362,-0.000008347,-0.000018345
1789662439.020231485,0.000006356,0.000005648,0.000051187,1.000000000,-0.000001446,0.000000677,-0.000015027
1789662439.053600311,0.000007854,0.000004979,0.000052341,1.000000000,-0.000003554,-0.000000174,-0.000016097
1789662439.086968184,0.000018298,-0.000015434,0.000049378,1.000000000,-0.000016941,-0.000007170,-0.000013529
1789662439.120334148,0.000021408,-0.000016975,0.000058751,1.000000000,-0.000016069,-0.000008852,-0.000009260
1789662439.153697014,0.000007414,-0.000006623,0.000053781,1.000000000,-0.000007469,0.000001560,-0.000013467
1789662439.187059402,0.000008651,0.000002590,0.000035643,1.000000000,-0.000009288,-0.000001206,-0.000016395
1789662439.220331669,0.000018059,0.000005381,0.000055168,1.000000000,-0.000003090,-0.000002424,-0.000017977
1789662439.253596544,0.000007267,-0.000010328,0.000027314,1.000000000,-0.000013824,-0.000001704,-0.000012430
1789662439.286854982,0.000001906,0.000012442,0.000022838,1.000000000,-0.000004370,0.000003630,-0.000022210
1789662439.320109129,0.000013021,-0.000026195,0.000070533,1.000000000,-0.000021103,-0.000004655,-0.000009763
1789662439.353358269,0.000022255,0.000009115,0.000059050,1.000000000,-0.000000252,-0.000006735,-0.000017910
1789662439.386602163,-0.000010382,-0.000004648,0.000026566,1.000000000,-0.000020688,0.000007460,-0.000016468
1789662439.419839621,0.000015062,0.000006250,0.000052917,1.000000000,-0.000003476,-0.000003836,-0.000022727
1789662439.453073263,0.000014297,-0.000023426,0.000065642,1.000000000,-0.000018578,-0.000005689,-0.000006101
1789662439.486301422,0.000013563,0.000004296,0.000046327,1.000000000,-0.000003785,-0.000004063,-0.000021694
1789662439.519523382,0.000005228,-0.000001626,0.000036389,1.000000000,-0.000007070,-0.000001109,-0.000014674
1789662439.552741528,0.000016044,0.000020320,0.000038889,1.000000000,0.000003571,-0.000004659,-0.000019498
1789662439.585954189,0.000006014,-0.000004954,0.000046138,1.000000000,-0.000006546,-0.000002567,-0.000019141
1789662439.619161606,-0.000011168,0.000039734,0.000001062,1.000000000,0.000004710,0.000006008,-0.000030490
1789662439.652363062,0.000009308,-0.000001243,0.000031329,1.000000000,-0.000009925,-0.000004259,-0.000016435
