t_sec,x,y,z,qw,qx,qy,qz
1789662437.288214207,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789662437.321621656,0.000005776,-0.000017607,0.000026515,1.000000000,-0.000020507,-0.000002138,-0.000015245
1789662437.355014086,0.000011240,-0.000008700,0.000045674,1.000000000,-0.000011647,-0.000006038,-0.000011502
1789662437.388393879,0.000007081,-0.000001004,0.000027871,1.000000000,-0.000011038,-0.000002153,-0.000016535
1789662437.421759605,0.000002327,-0.000014623,0.000024502,1.000000000,-0.000027809,0.000000579,-0.000017006
1789662437.455111265,0.000008126,-0.000004773,0.000029245,1.000000000,-0.000013429,-0.000002006,-0.000008182
1789662437.488448381,0.000012708,-0.000003929,0.000028887,1.000000000,-0.000011153,-0.000005079,-0.000012816
1789662437.521772623,0.000008030,0.000002428,0.000032292,1.000000000,-0.000003125,-0.000003164,-0.000019851
1789662437.555083036,0.000012340,-0.000008381,0.000031442,1.000000000,-0.000015020,-0.000005529,-0.000020177
1789662437.588378429,-0.000001768,0.000006140,0.000026067,1.000000000,-0.000002131,0.000000227,-0.000021099
1789662437.621661186,0.000010376,0.000012629,0.000021063,1.000000000,-0.000000792,-0.000004306,-0.000033052
1789662437.654929638,0.000013078,-0.000001159,0.000033451,1.000000000,-0.000008619,-0.000006719,-0.000021661
1789662437.688184500,0.000012023,0.000010335,0.000029783,1.000000000,0.000002793,-0.000006574,-0.000029418
1789662437.721424580,0.000002298,-0.000008500,0.000029706,1.000000000,-0.000017816,0.000003730,-0.000013657
1789662437.754651546,0.000006027,-0.000004516,0.000029799,1.000000000,-0.000012715,-0.000000664,-0.000013740
1789662437.787864923,0.000013604,-0.000000008,0.000021020,1.000000000,-0.000013398,-0.000008129,-0.000028879
1789662437.821063280,0.000012166,-0.000006708,0.000041884,1.000000000,-0.000013415,-0.000001866,-0.000009429
1789662437.854248762,0.000009976,-0.000002302,0.000030893,1.000000000,-0.000012253,0.000000187,-0.000014417
1789662437.887420416,0.000012998,0.000002065,0.000015733,1.000000000,-0.000012031,-0.000005910,-0.000021208
1789662437.920578241,0.000005474,-0.000009479,0.000044221,1.000000000,-0.000009872,-0.000003313,-0.000008207
1789662437.953721046,0.000014381,-0.000001046,0.000030952,1.000000000,-0.000009515,-0.000005867,-0.000023910
1789662437.986850977,0.000002489,0.000000061,0.000020524,1.000000000,-0.000013539,-0.000000491,-0.000031743
1789662438.019967318,0.000013497,-0.000009638,0.000028447,1.000000000,-0.000016058,-0.000004965,-0.000013727
1789662438.053069353,0.000011625,-0.000003151,0.000035506,1.000000000,-0.000009326,-0.000004465,-0.000010496
1789662438.086157084,0.000009800,-0.000003752,0.000032502,1.000000000,-0.000011746,-0.000006652,-0.000014654
