t_sec,x,y,z,qw,qx,qy,qz
1789662437.288214207,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789662437.321621656,0.000005886,-0.000017944,0.000027022,1.000000000,-0.000020507,-0.000002138,-0.000015245
1789662437.355014086,0.000011454,-0.000008867,0.000046548,1.000000000,-0.000011647,-0.000006038,-0.000011502
1789662437.388393879,0.000007217,-0.000001023,0.000028404,1.000000000,-0.000011038,-0.000002153,-0.000016535
1789662437.421759605,0.000002371,-0.000014902,0.000024970,1.000000000,-0.000027809,0.000000579,-0.000017006
1789662437.455111265,0.000008282,-0.000004864,0.000029804,1.000000000,-0.000013429,-0.000002006,-0.000008182
1789662437.488448381,0.000012951,-0.000004004,0.000029439,1.000000000,-0.000011153,-0.000005079,-0.000012816
1789662437.521772623,0.000008183,0.000002474,0.000032909,1.000000000,-0.000003125,-0.000003164,-0.000019851
1789662437.555083036,0.000012576,-0.000008542,0.000032043,1.000000000,-0.000015020,-0.000005529,-0.000020177
1789662437.588378429,-0.000001802,0.000006258,0.000026565,1.000000000,-0.000002131,0.000000227,-0.000021099
1789662437.621661186,0.000010575,0.000012870,0.000021466,1.000000000,-0.000000792,-0.000004306,-0.000033052
1789662437.654929638,0.000013328,-0.000001181,0.000034090,1.000000000,-0.000008619,-0.000006719,-0.000021661
1789662437.688184500,0.000012253,0.000010533,0.000030352,1.000000000,0.000002793,-0.000006574,-0.000029418
1789662437.721424580,0.000002342,-0.000008662,0.000030274,1.000000000,-0.000017816,0.000003730,-0.000013657
1789662437.754651546,0.000006143,-0.000004602,0.000030369,1.000000000,-0.000012715,-0.000000664,-0.000013740
1789662437.787864923,0.000013865,-0.000000009,0.000021422,1.000000000,-0.000013398,-0.000008129,-0.000028879
1789662437.821063280,0.000012399,-0.000006836,0.000042685,1.000000000,-0.000013415,-0.000001866,-0.000009429
1789662437.854248762,0.000010167,-0.000002346,0.000031484,1.000000000,-0.000012253,0.000000187,-0.000014417
1789662437.887420416,0.000013246,0.000002104,0.000016034,1.000000000,-0.000012031,-0.000005910,-0.000021208
1789662437.920578241,0.000005578,-0.000009660,0.000045066,1.000000000,-0.000009872,-0.000003313,-0.000008207
1789662437.953721046,0.000014656,-0.000001066,0.000031544,1.000000000,-0.000009515,-0.000005867,-0.000023910
1789662437.986850977,0.000002536,0.000000063,0.000020916,1.000000000,-0.000013539,-0.000000491,-0.000031743
1789662438.019967318,0.000013755,-0.000009823,0.000028990,1.000000000,-0.000016058,-0.000004965,-0.000013727
