t_sec,x,y,z,qw,qx,qy,qz
1789662845.442260981,-0.000000002,0.000000289,0.000000526,1.000000000,-0.000000572,-0.000000673,0.000000299
1789662845.475661039,0.000046789,0.000029952,-0.000121824,1.000000000,0.000002131,-0.000011751,-0.000006102
1789662845.509046078,0.000095765,0.000081687,-0.000215272,1.000000000,0.000006158,-0.000012580,-0.000004393
1789662845.542418003,0.000139146,0.000138390,-0.000295238,1.000000000,0.000009319,-0.000003714,-0.000005904
1789662845.575775623,0.000176437,0.000191896,-0.000369407,1.000000000,0.000005699,-0.000000066,-0.000005414
1789662845.609117985,0.000209699,0.000235230,-0.000432206,1.000000000,0.000014905,-0.000002521,-0.000001829
1789662845.642446995,0.000233182,0.000265055,-0.000478555,1.000000000,0.000022979,-0.000001579,0.000000636
1789662845.675761938,0.000250810,0.000284224,-0.000514060,1.000000000,0.000023528,0.000000874,-0.000004194
1789662845.709062576,0.000263170,0.000294351,-0.000535688,1.000000000,0.000022066,0.000006273,-0.000002483
1789662845.742348194,0.000268415,0.000299034,-0.000548298,1.000000000,0.000022827,0.000006997,-0.000002888
1789662845.775620461,0.000270763,0.000301298,-0.000553717,1.000000000,0.000022910,0.000008391,-0.000005941
1789662845.808878422,0.000267066,0.000299368,-0.000546993,1.000000000,0.000013894,0.000010667,-0.000008924
1789662845.842122078,0.000258888,0.000293436,-0.000533849,1.000000000,0.000016204,0.000008416,-0.000006215
1789662845.875350714,0.000248185,0.000284461,-0.000517377,0.999999999,0.000031840,0.000003208,-0.000000039
1789662845.908566236,0.000234249,0.000272747,-0.000494499,1.000000000,0.000028752,0.000002153,-0.000001656
1789662845.941767216,0.000220388,0.000259199,-0.000468546,1.000000000,0.000016745,0.000008039,0.000002053
1789662845.974953413,0.000205151,0.000242803,-0.000440636,1.000000000,0.000025370,-0.000003428,-0.000002658
1789662846.008126020,0.000187591,0.000224890,-0.000409534,1.000000000,0.000020604,-0.000002195,-0.000000537
1789662846.041284561,0.000168671,0.000207224,-0.000379262,1.000000000,0.000028375,-0.000006267,0.000004597
1789662846.074429035,0.000148729,0.000191090,-0.000349750,1.000000000,0.000013530,-0.000007541,-0.000001661
1789662846.107558012,0.000130203,0.000174334,-0.000319553,1.000000000,0.000011862,-0.000004562,0.000008659
1789662846.140673876,0.000113935,0.000159931,-0.000289762,1.000000000,0.000015554,-0.000001928,-0.000003507
1789662846.173775673,0.000096556,0.000145678,-0.000260048,1.000000000,0.000013469,-0.000001851,0.000001853
1789662846.206862926,0.000080410,0.000130945,-0.000229501,1.000000000,0.000021967,0.000000382,0.000008534
1789662846.239935398,0.000064833,0.000117232,-0.000200644,1.000000000,0.000018868,0.000004306,0.000009739
1789662846.272994280,0.000048149,0.000105084,-0.000175637,1.000000000,0.000026622,0.000002309,0.000005956
1789662846.306039095,0.000035091,0.000096270,-0.000153051,1.000000000,0.000015452,0.000002920,0.000009565
1789662846.339068651,0.000022164,0.000088616,-0.000134047,1.000000000,0.000020712,0.000005256,0.000005295
