t_sec,x,y,z,qw,qx,qy,qz
1789662845.442260981,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1789662845.475661039,0.000001806,0.000005945,0.000033581,1.000000000,0.000000536,-0.000013192,-0.000006476
1789662845.509046078,0.000008013,0.000009777,0.000030300,1.000000000,0.000002396,-0.000016134,-0.000004843
1789662845.542418003,-0.000000348,0.000008060,0.000029460,1.000000000,0.000003390,-0.000009382,-0.000006429
1789662845.575775623,-0.000001227,0.000001545,0.000021574,1.000000000,-0.000002397,-0.000007848,-0.000006015
1789662845.609117985,0.000005071,0.000009487,0.000023639,1.000000000,0.000004642,-0.000012416,-0.000002506
1789662845.642446995,0.000000181,0.000015851,0.000037047,1.000000000,0.000010549,-0.000013588,-0.000000116
1789662845.675761938,0.000003342,0.000011992,0.000025400,1.000000000,0.000008931,-0.000013249,-0.000005022
1789662845.709062576,-0.000001089,0.000009105,0.000032857,1.000000000,0.000005302,-0.000009963,-0.000003386
1789662845.742348194,0.000002575,0.000008745,0.000026075,1.000000000,0.000003896,-0.000011353,-0.000003867
1789662845.775620461,0.000001237,0.000008219,0.000028430,1.000000000,0.000001812,-0.000012072,-0.000006996
1789662845.808878422,0.000000545,0.000002073,0.000024769,1.000000000,-0.000006284,-0.000008542,-0.000010777
1789662845.842122078,0.000000619,0.000002109,0.000022982,1.000000000,-0.000003053,-0.000009538,-0.000008867
1789662845.875350714,0.000003268,0.000014320,0.000032702,1.000000000,0.000013503,-0.000013492,-0.000003490
1789662845.908566236,0.000002232,0.000016931,0.000034940,1.000000000,0.000011335,-0.000013293,-0.000005905
1789662845.941767216,-0.000002274,0.000004775,0.000024659,1.000000000,0.000000248,-0.000006152,-0.000002995
1789662845.974953413,0.000005276,0.000010563,0.000025825,1.000000000,0.000009793,-0.000016365,-0.000008505
1789662846.008126020,0.000002686,0.000008016,0.000025752,1.000000000,0.000005947,-0.000013877,-0.000007182
1789662846.041284561,0.000004732,0.000019517,0.000032471,1.000000000,0.000014639,-0.000016695,-0.000002847
1789662846.074429035,0.000003904,0.000006435,0.000029563,1.000000000,0.000000714,-0.000016714,-0.000009903
1789662846.107558012,0.000001726,0.000003921,0.000026515,1.000000000,-0.000000034,-0.000012481,-0.000000382
1789662846.140673876,0.000000029,0.000007117,0.000027942,1.000000000,0.000002677,-0.000011000,-0.000013769
1789662846.173775673,0.000000061,0.000004822,0.000029819,1.000000000,-0.000000390,-0.000012077,-0.000009630
1789662846.206862926,0.000001139,0.000009668,0.000025179,1.000000000,0.000007127,-0.000010998,-0.000004171
1789662846.239935398,-0.000000858,0.000007012,0.000025901,1.000000000,0.000003047,-0.000008228,-0.000004187
1789662846.272994280,-0.000000055,0.000011903,0.000030916,1.000000000,0.000009820,-0.000011378,-0.000009191
1789662846.306039095,0.000002545,0.000005046,0.000027818,1.000000000,-0.000002332,-0.000011921,-0.000006803
1789662846.339068651,-0.000001190,0.000006645,0.000025545,1.000000000,0.000001947,-0.000010739,-0.000012294
1789662846.372087002,0.000004650,0.000012794,0.000027082,1.000000000,0.000010005,-0.000013911,-0.000004086
1789662846.405440092,0.000002992,0.000008546,0.000022746,1.000000000,0.000005948,-0.000014080,-0.000006625
1789662846.438789845,-0.000001699,0.000001575,0.000024435,1.000000000,-0.000003449,-0.000008899,-0.000007275
1789662846.472134590,-0.000000257,0.000001830,0.000027042,1.000000000,-0.000002178,-0.000009094,-0.000006452
1789662846.505476236,0.000003886,0.000006617,0.000026262,1.000000000,0.000002603,-0.000014902,-0.000008492
1789662846.538814545,-0.000005426,0.000000595,0.000024628,1.000000000,-0.000004542,-0.000003564,-0.000006925
1789662846.572147608,0.000000985,0.000006329,0.000024065,1.000000000,0.000000297,-0.000009995,-0.000010679
1789662846.605478048,0.000001100,0.000006329,0.000025614,1.000000000,0.000004249,-0.000009324,-0.000003494
1789662846.638804674,0.000003701,0.000009633,0.000025792,1.000000000,0.000007901,-0.000013646,-0.000007069
1789662846.672127485,0.000000506,0.000001988,0.000023532,1.000000000,-0.000002027,-0.000009355,-0.000008143
1789662846.705445290,0.000002696,0.000009528,0.000029145,1.000000000,0.000004685,-0.000012675,-0.000001231
1789662846.738760233,0.000002273,0.000005421,0.000021885,1.000000000,0.000000773,-0.000012201,-0.000006388
1789662846.772071600,-0.000003743,0.000004673,0.000029521,1.000000000,-0.000000179,-0.000007257,-0.000002312
1789662846.805378914,-0.000002354,0.000002825,0.000022037,1.000000000,-0.000001586,-0.000005686,-0.000010097
1789662846.838681459,0.000001487,0.000011631,0.000030902,1.000000000,0.000005950,-0.000011923,-0.000007308
1789662846.871981144,0.000003679,0.000005056,0.000022413,1.000000000,0.000002968,-0.000012995,-0.000006360
1789662846.905277014,0.000001331,0.000009460,0.000029204,1.000000000,0.000003307,-0.000010672,-0.000005566
1789662846.938568115,-0.000002597,-0.000001552,0.000023300,1.000000000,-0.000008989,-0.000007106,-0.000015434
1789662846.971856117,0.000000715,0.000005821,0.000021675,1.000000000,0.000004556,-0.000010107,-0.000008842
1789662847.005140543,0.000001394,0.000007207,0.000024443,1.000000000,0.000002606,-0.000012393,-0.000013322
1789662847.038421154,0.000002285,0.000007775,0.000026668,1.000000000,0.000002575,-0.000014425,-0.000004476
1789662847.071696997,0.000000533,0.000007945,0.000028219,1.000000000,0.000004397,-0.000013871,-0.000007221
1789662847.104969740,0.000002533,0.000010942,0.000027393,1.000000000,0.000007126,-0.000011285,-0.000003564
