t_sec,x,y,z,qw,qx,qy,qz
1789662847.337770462,0.015201404116,0.008616600550,-0.022993926478,-0.699464278,0.714665081,0.000190068,0.001873560
1789662847.371013403,0.015251526510,0.008594871960,-0.022967733689,-0.699443875,0.714685079,0.000211941,0.001859834
1789662847.404238462,0.015313998100,0.008563977115,-0.022928529624,-0.699389753,0.714738059,0.000231098,0.001851577
1789662847.437457561,0.015376828957,0.008538593864,-0.022892165799,-0.699394128,0.714733833,0.000233891,0.001829481
1789662847.470672369,0.015444316576,0.008504351326,-0.022871797517,-0.699405391,0.714722855,0.000263611,0.001808222
1789662847.503881931,0.015511753449,0.008461977085,-0.022858353123,-0.699428174,0.714700589,0.000279232,0.001794300
1789662847.537086248,0.015578246932,0.008415864883,-0.022843321108,-0.699420011,0.714708608,0.000284553,0.001781321
1789662847.570284367,0.015646688900,0.008373791075,-0.022832402579,-0.699444917,0.714684248,0.000293082,0.001774296
1789662847.603478193,0.015719360521,0.008335412066,-0.022818821385,-0.699452170,0.714677189,0.000312758,0.001754796
1789662847.636667013,0.015796309475,0.008297654923,-0.022799720626,-0.699462134,0.714667458,0.000323099,0.001744400
1789662847.669849396,0.015877767889,0.008249720252,-0.022778700772,-0.699459736,0.714669797,0.000339070,0.001744605
1789662847.703027487,0.015965429450,0.008201950832,-0.022758170172,-0.699473321,0.714656512,0.000351040,0.001737723
1789662847.736200571,0.016060596268,0.008156341031,-0.022734965261,-0.699479173,0.714650776,0.000368602,0.001737555
1789662847.769368410,0.016156211420,0.008112860999,-0.022702998461,-0.699475997,0.714653908,0.000376195,0.001726218
1789662847.802529812,0.016254287851,0.008070003502,-0.022664095846,-0.699475535,0.714654356,0.000368043,0.001729881
1789662847.835687160,0.016355254461,0.008030140756,-0.022619526285,-0.699469570,0.714660194,0.000386003,0.001725994
1789662847.868839264,0.016454588543,0.007991847705,-0.022573822410,-0.699461125,0.714668475,0.000376623,0.001721823
1789662847.901985168,0.016555757242,0.007955338588,-0.022531255747,-0.699462243,0.714667386,0.000378811,0.001718896
1789662847.935126781,0.016658381249,0.007918308858,-0.022488581146,-0.699465668,0.714664041,0.000386079,0.001714258
1789662847.968263149,0.016760466524,0.007878679726,-0.022440580897,-0.699468053,0.714661722,0.000361029,0.001713081
1789662848.001394272,0.016865992557,0.007841269861,-0.022383790705,-0.699458964,0.714670623,0.000380888,0.001706718
1789662848.034519196,0.016968321488,0.007809146414,-0.022325527677,-0.699454820,0.714674686,0.000376463,0.001704542
1789662848.067640066,0.017060177730,0.007784680635,-0.022269617083,-0.699458769,0.714670837,0.000381655,0.001696943
1789662848.100755692,0.017135359495,0.007770555352,-0.022216585244,-0.699451838,0.714677638,0.000385938,0.001688803
1789662848.133865833,0.017188208549,0.007768790955,-0.022171609159,-0.699447495,0.714681913,0.000385672,0.001678511
1789662848.166969776,0.017220787182,0.007777793656,-0.022134721640,-0.699445987,0.714683380,0.000386221,0.001681984
1789662848.200069666,0.017236273358,0.007791339133,-0.022104510258,-0.699448131,0.714681296,0.000393499,0.001673987
1789662848.233164310,0.017228194030,0.007808671383,-0.022088397846,-0.699448683,0.714680764,0.000382930,0.001672691
1789662848.266252756,0.017196932701,0.007832359886,-0.022087826591,-0.699454836,0.714674768,0.000375227,0.001663885
1789662848.299336672,0.017141143497,0.007857486957,-0.022099474944,-0.699450830,0.714678691,0.000370552,0.001663483
1789662848.332415819,0.017063866864,0.007885913003,-0.022125385550,-0.699446826,0.714682614,0.000365877,0.001663081
1789662848.365490437,0.016972878024,0.007919140684,-0.022164280438,-0.699459657,0.714670075,0.000359136,0.001656503
1789662848.398847342,0.016873542594,0.007948876942,-0.022205546496,-0.699458688,0.714671043,0.000366134,0.001646311
1789662848.432206154,0.016767654067,0.007979565627,-0.022251535153,-0.699459936,0.714669815,0.000348502,0.001652586
1789662848.465565443,0.016660312636,0.008012752586,-0.022302157746,-0.699472288,0.714657725,0.000349180,0.001653115
1789662848.498925447,0.016557390988,0.008044986317,-0.022352420283,-0.699464418,0.714665425,0.000351791,0.001653689
1789662848.532285213,0.016458660072,0.008084572774,-0.022410030293,-0.699479438,0.714650710,0.000352034,0.001659771
1789662848.565646172,0.016364058299,0.008123683843,-0.022468902323,-0.699491091,0.714639313,0.000342903,0.001657856
1789662848.599008322,0.016276311270,0.008158577901,-0.022524863749,-0.699489136,0.714641229,0.000340469,0.001657026
1789662848.632369518,0.016194479934,0.008190831701,-0.022576991731,-0.699503230,0.714627419,0.000347229,0.001662060
1789662848.665732861,0.016115275448,0.008218240777,-0.022622899821,-0.699502685,0.714627948,0.000337827,0.001665628
1789662848.699096680,0.016040617723,0.008241178024,-0.022666041131,-0.699496654,0.714633864,0.000337489,0.001660729
1789662848.732461214,0.015971049822,0.008262957047,-0.022710712044,-0.699505293,0.714625417,0.000319640,0.001660137
1789662848.765825272,0.015906239666,0.008284352525,-0.022752870097,-0.699511225,0.714619620,0.000320596,0.001655676
1789662848.799190998,0.015845217405,0.008302850439,-0.022790178211,-0.699503587,0.714627102,0.000317646,0.001653939
1789662848.832557201,0.015786298333,0.008320068727,-0.022826592391,-0.699514484,0.714616437,0.000306324,0.001655695
1789662848.865924120,0.015731147555,0.008334674638,-0.022859337118,-0.699513726,0.714617167,0.000301137,0.001661524
1789662848.899290800,0.015681105724,0.008346661028,-0.022887636751,-0.699505878,0.714624873,0.000295578,0.001652093
1789662848.932658911,0.015633834708,0.008357072795,-0.022918188055,-0.699517151,0.714613858,0.000287349,0.001645312
1789662848.966027737,0.015590990547,0.008364626954,-0.022944555808,-0.699525300,0.714605862,0.000271400,0.001656212
1789662848.999396324,0.015554147936,0.008371237201,-0.022965489832,-0.699508914,0.714621943,0.000271195,0.001638255
1789662849.032766342,0.015519527794,0.008379998285,-0.022988631928,-0.699515227,0.714615737,0.000266830,0.001650509
1789662849.066137314,0.015489050755,0.008391191110,-0.023012450210,-0.699523134,0.714607999,0.000261921,0.001650408
1789662849.099508524,0.015463770862,0.008402097168,-0.023031936092,-0.699508484,0.714622337,0.000270147,0.001650349
1789662849.132879734,0.015442065821,0.008412918870,-0.023051048269,-0.699519500,0.714611539,0.000261244,0.001658088
1789662849.166252136,0.015425338092,0.008421800261,-0.023069364234,-0.699520258,0.714610808,0.000252309,0.001654481
1789662849.199625492,0.015411361172,0.008425584499,-0.023080663495,-0.699503588,0.714627103,0.000248132,0.001664928
1789662849.232998610,0.015396223832,0.008431441991,-0.023092120829,-0.699512111,0.714618759,0.000234895,0.001667510
1789662849.266373158,0.015387290834,0.008438796781,-0.023107885514,-0.699516236,0.714614734,0.000243870,0.001660835
1789662849.299748182,0.015380129750,0.008440955526,-0.023116653958,-0.699512707,0.714618185,0.000235733,0.001663521
1789662849.333123922,0.015374055741,0.008441295496,-0.023121778093,-0.699520965,0.714610112,0.000227027,0.001660195
1789662849.366499186,0.015369798619,0.008440982645,-0.023123920353,-0.699518006,0.714613013,0.000228215,0.001657976
1789662849.399802685,0.015367884729,0.008438817792,-0.023122835700,-0.699514123,0.714616819,0.000224049,0.001656486
1789662849.433105707,0.015370728717,0.008436904473,-0.023120424980,-0.699514162,0.714616799,0.000218823,0.001649564
1789662849.466408253,0.015378974117,0.008434564114,-0.023117273346,-0.699514170,0.714616797,0.000212818,0.001647520
1789662849.499709129,0.015390620927,0.008429324152,-0.023112567410,-0.699508997,0.714621880,0.000206265,0.001639745
