t_sec,x,y,z,qw,qx,qy,qz
1789662847.337770462,0.015184914,0.008622639,-0.023001699,-0.699464278,0.714665081,0.000190068,0.001873560
1789662847.371013403,0.015251091,0.008599656,-0.022971355,-0.699443875,0.714685079,0.000211941,0.001859834
1789662847.404238462,0.015315229,0.008557047,-0.022928410,-0.699389753,0.714738059,0.000231098,0.001851577
1789662847.437457561,0.015373696,0.008545204,-0.022884971,-0.699394128,0.714733833,0.000233891,0.001829481
1789662847.470672369,0.015445380,0.008504998,-0.022870013,-0.699405391,0.714722855,0.000263611,0.001808222
1789662847.503881931,0.015512044,0.008464659,-0.022861220,-0.699428174,0.714700589,0.000279232,0.001794300
1789662847.537086248,0.015577734,0.008412783,-0.022839510,-0.699420011,0.714708608,0.000284553,0.001781321
1789662847.570284367,0.015645185,0.008374156,-0.022834409,-0.699444917,0.714684248,0.000293082,0.001774296
1789662847.603478193,0.015718332,0.008332386,-0.022820670,-0.699452170,0.714677189,0.000312758,0.001754796
1789662847.636667013,0.015794919,0.008304807,-0.022800137,-0.699462134,0.714667458,0.000323099,0.001744400
1789662847.669849396,0.015876646,0.008246857,-0.022778249,-0.699459736,0.714669797,0.000339070,0.001744605
1789662847.703027487,0.015961566,0.008202458,-0.022758235,-0.699473321,0.714656512,0.000351040,0.001737723
1789662847.736200571,0.016062246,0.008154790,-0.022738793,-0.699479173,0.714650776,0.000368602,0.001737555
1789662847.769368410,0.016155030,0.008113819,-0.022704197,-0.699475997,0.714653908,0.000376195,0.001726218
1789662847.802529812,0.016252596,0.008068095,-0.022666270,-0.699475535,0.714654356,0.000368043,0.001729881
1789662847.835687160,0.016357169,0.008030420,-0.022619951,-0.699469570,0.714660194,0.000386003,0.001725994
1789662847.868839264,0.016453286,0.007990880,-0.022571986,-0.699461125,0.714668475,0.000376623,0.001721823
1789662847.901985168,0.016554935,0.007955312,-0.022531587,-0.699462243,0.714667386,0.000378811,0.001718896
1789662847.935126781,0.016659993,0.007920059,-0.022489583,-0.699465668,0.714664041,0.000386079,0.001714258
1789662847.968263149,0.016757619,0.007877454,-0.022444682,-0.699468053,0.714661722,0.000361029,0.001713081
1789662848.001394272,0.016867502,0.007839925,-0.022383385,-0.699458964,0.714670623,0.000380888,0.001706718
1789662848.034519196,0.016971233,0.007806982,-0.022324481,-0.699454820,0.714674686,0.000376463,0.001704542
1789662848.067640066,0.017064680,0.007781761,-0.022269707,-0.699458769,0.714670837,0.000381655,0.001696943
1789662848.100755692,0.017142353,0.007766927,-0.022213593,-0.699451838,0.714677638,0.000385938,0.001688803
1789662848.133865833,0.017194434,0.007765109,-0.022168916,-0.699447495,0.714681913,0.000385672,0.001678511
1789662848.166969776,0.017223732,0.007777103,-0.022134311,-0.699445987,0.714683380,0.000386221,0.001681984
1789662848.200069666,0.017244684,0.007790943,-0.022099524,-0.699448131,0.714681296,0.000393499,0.001673987
1789662848.233164310,0.017233630,0.007805423,-0.022083621,-0.699448683,0.714680764,0.000382930,0.001672691
1789662848.266252756,0.017204569,0.007833121,-0.022085107,-0.699454836,0.714674768,0.000375227,0.001663885
1789662848.299336672,0.017147509,0.007856804,-0.022095497,-0.699450830,0.714678691,0.000370552,0.001663483
1789662848.332415819,0.017067514,0.007882598,-0.022119914,-0.699446826,0.714682614,0.000365877,0.001663081
1789662848.365490437,0.016974752,0.007922430,-0.022165870,-0.699459657,0.714670075,0.000359136,0.001656503
1789662848.398847342,0.016875839,0.007947952,-0.022203631,-0.699458688,0.714671043,0.000366134,0.001646311
1789662848.432206154,0.016768266,0.007977519,-0.022248882,-0.699459936,0.714669815,0.000348502,0.001652586
1789662848.465565443,0.016658280,0.008015946,-0.022305158,-0.699472288,0.714657725,0.000349180,0.001653115
1789662848.498925447,0.016556378,0.008039600,-0.022347402,-0.699464418,0.714665425,0.000351791,0.001653689
1789662848.532285213,0.016457876,0.008086227,-0.022410902,-0.699479438,0.714650710,0.000352034,0.001659771
1789662848.565646172,0.016361756,0.008125143,-0.022469795,-0.699491091,0.714639313,0.000342903,0.001657856
1789662848.599008322,0.016274210,0.008158655,-0.022525501,-0.699489136,0.714641229,0.000340469,0.001657026
1789662848.632369518,0.016194636,0.008192636,-0.022579453,-0.699503230,0.714627419,0.000347229,0.001662060
1789662848.665732861,0.016113499,0.008219701,-0.022623889,-0.699502685,0.714627948,0.000337827,0.001665628
1789662848.699096680,0.016039276,0.008241388,-0.022664562,-0.699496654,0.714633864,0.000337489,0.001660729
1789662848.732461214,0.015969691,0.008262412,-0.022711623,-0.699505293,0.714625417,0.000319640,0.001660137
1789662848.765825272,0.015904952,0.008286125,-0.022755229,-0.699511225,0.714619620,0.000320596,0.001655676
