t_sec,x,y,z,qw,qx,qy,qz
1789662439.153697014,0.095474678,0.037785817,0.102482271,0.087266033,0.528841034,0.832009425,0.143080807
1789662439.187059402,0.095470895,0.037793411,0.102483641,0.087230712,0.528804798,0.832029283,0.143120791
1789662439.220331669,0.095469591,0.037790353,0.102484589,0.087271184,0.528767501,0.832055399,0.143082086
1789662439.253596783,0.095460467,0.037798564,0.102485329,0.087184707,0.528739353,0.832079639,0.143097865
1789662439.286854982,0.095453217,0.037793784,0.102485338,0.087178016,0.528708575,0.832114119,0.143015134
1789662439.320109129,0.095448562,0.037796430,0.102486247,0.087151537,0.528686054,0.832131260,0.143014798
1789662439.353358269,0.095443826,0.037802473,0.102487616,0.087104914,0.528663964,0.832144863,0.143045706
1789662439.386602163,0.095438373,0.037810654,0.102488308,0.087032526,0.528650490,0.832153168,0.143091239
1789662439.419839859,0.095433937,0.037810802,0.102488566,0.087023089,0.528626646,0.832173074,0.143069307
1789662439.453073263,0.095435693,0.037812186,0.102490356,0.087055553,0.528620320,0.832168456,0.143099788
1789662439.486301422,0.095435729,0.037816330,0.102492246,0.087056197,0.528623392,0.832158115,0.143148173
1789662439.519523382,0.095419724,0.037823927,0.102491319,0.086897390,0.528644622,0.832163615,0.143134293
1789662439.552741528,0.095444970,0.037796841,0.102480557,0.087254336,0.528759982,0.832080512,0.142974066
1789662439.585954189,0.095480704,0.037777828,0.102469136,0.087651999,0.528891983,0.831963004,0.142926405
1789662439.619161606,0.095509201,0.037760231,0.102453903,0.087970184,0.529039225,0.831850114,0.142843038
1789662439.652363062,0.095531946,0.037742695,0.102440327,0.088231761,0.529151227,0.831768757,0.142740570
1789662439.685560226,0.095557336,0.037725768,0.102428616,0.088518639,0.529235152,0.831698326,0.142662182
1789662439.718752146,0.095577212,0.037713163,0.102414191,0.088721111,0.529351142,0.831615351,0.142589764
1789662439.751939058,0.095597973,0.037701606,0.102400259,0.088929925,0.529464629,0.831531750,0.142525870
1789662439.785119534,0.095613120,0.037697236,0.102387415,0.089041338,0.529586729,0.831446016,0.142502836
1789662439.818296432,0.095626006,0.037692616,0.102375963,0.089141948,0.529687020,0.831376201,0.142474510
1789662439.851467371,0.095645384,0.037676319,0.102363944,0.089370541,0.529753750,0.831327103,0.142369656
1789662439.884632349,0.095660586,0.037675464,0.102351986,0.089460258,0.529847473,0.831256108,0.142379074
1789662439.917793274,0.095669578,0.037675305,0.102339500,0.089497765,0.529928532,0.831203857,0.142358875
1789662439.950948954,0.095680625,0.037672464,0.102331694,0.089589300,0.529968845,0.831170514,0.142345908
1789662439.984099388,0.095688997,0.037671474,0.102321594,0.089631510,0.530026921,0.831131349,0.142331785
1789662440.017243624,0.095694597,0.037675790,0.102311195,0.089622303,0.530089210,0.831089905,0.142347608
1789662440.050383806,0.095704711,0.037669818,0.102299196,0.089701858,0.530145804,0.831055083,0.142290026
1789662440.083518744,0.095719073,0.037666758,0.102293130,0.089827072,0.530167871,0.831024938,0.142304874
1789662440.116648674,0.095735698,0.037672451,0.102285411,0.089904105,0.530215556,0.830969870,0.142400113
1789662440.149772406,0.095749369,0.037665579,0.102277873,0.090035275,0.530231409,0.830950476,0.142371376
1789662440.182891607,0.095757404,0.037655005,0.102269442,0.090144188,0.530242628,0.830947410,0.142278540
1789662440.216234922,0.095766407,0.037652588,0.102262175,0.090215623,0.530259853,0.830930812,0.142266000
1789662440.249576807,0.095774397,0.037656086,0.102255150,0.090239595,0.530289055,0.830903672,0.142300463
1789662440.282919168,0.095775702,0.037648067,0.102245998,0.090268777,0.530305395,0.830907962,0.142195972
1789662440.316261292,0.095774863,0.037650340,0.102238438,0.090222903,0.530336799,0.830896084,0.142177371
1789662440.349602699,0.095786009,0.037644139,0.102230420,0.090325812,0.530360398,0.830875803,0.142142521
1789662440.382943153,0.095796881,0.037643989,0.102224546,0.090408912,0.530373391,0.830854460,0.142165966
1789662440.416283846,0.095800029,0.037646698,0.102218577,0.090400648,0.530394533,0.830839726,0.142178450
1789662440.449624300,0.095804245,0.037638793,0.102209656,0.090458011,0.530405579,0.830841857,0.142088275
1789662440.482963085,0.095805947,0.037639890,0.102202530,0.090447399,0.530432615,0.830828091,0.142074603
1789662440.516302586,0.095801624,0.037646145,0.102196458,0.090359422,0.530462566,0.830817505,0.142080663
1789662440.549641609,0.095779492,0.037673616,0.102196470,0.090028645,0.530342342,0.830909364,0.142202220
1789662440.582980156,0.095748836,0.037714815,0.102201305,0.089561002,0.530152545,0.831044385,0.142416066
1789662440.616317272,0.095710948,0.037749397,0.102204721,0.089080141,0.529997658,0.831175544,0.142528687
1789662440.649655104,0.095679664,0.037780090,0.102210707,0.088693511,0.529841729,0.831296140,0.142646172
1789662440.682992220,0.095667609,0.037805470,0.102220000,0.088501637,0.529728205,0.831356430,0.142835483
1789662440.716329098,0.095633692,0.037813983,0.102222957,0.088211541,0.529632112,0.831464402,0.142742768
1789662440.749664545,0.095621711,0.037818768,0.102229515,0.088137979,0.529537931,0.831531593,0.142746228
1789662440.783000469,0.095636865,0.037809564,0.102221243,0.088328724,0.529662687,0.831440318,0.142697134
1789662440.816335917,0.095642758,0.037791082,0.102212299,0.088482543,0.529739454,0.831404987,0.142522625
1789662440.849670172,0.095671110,0.037779743,0.102209377,0.088796267,0.529787676,0.831336536,0.142547553
1789662440.883004665,0.095685083,0.037778172,0.102201433,0.088916062,0.529903375,0.831247243,0.142563555
1789662440.916338921,0.095704582,0.037764045,0.102198416,0.089170790,0.529931946,0.831210129,0.142514649
1789662440.949672937,0.095724196,0.037758649,0.102195393,0.089371526,0.529965980,0.831162709,0.142538914
1789662440.983005047,0.095729095,0.037744691,0.102188241,0.089491734,0.530009368,0.831144884,0.142406046
1789662441.016337872,0.095746614,0.037741621,0.102183895,0.089652382,0.530073595,0.831080436,0.142442067
1789662441.049670458,0.095752163,0.037749176,0.102177136,0.089637607,0.530167409,0.831012701,0.142497402
1789662441.083002329,0.095757181,0.037740994,0.102170619,0.089718155,0.530211101,0.830990388,0.142414240
1789662441.116333246,0.095771376,0.037736825,0.102167046,0.089862158,0.530245574,0.830951232,0.142423572
1789662441.149664402,0.095772646,0.037731246,0.102161811,0.089896569,0.530278828,0.830938143,0.142354397
1789662441.182995081,0.095798796,0.037722003,0.102160185,0.090184069,0.530291616,0.830893078,0.142387950
1789662441.216353893,0.095770645,0.037719250,0.102148326,0.089934959,0.530339490,0.830926775,0.142170404
1789662441.249733686,0.095778657,0.037711650,0.102144158,0.090044359,0.530358860,0.830910517,0.142123911
1789662441.283113480,0.095795232,0.037715971,0.102142836,0.090166446,0.530381722,0.830864085,0.142232603
1789662441.316493750,0.095779936,0.037723333,0.102135145,0.089980651,0.530441804,0.830854733,0.142180827
1789662441.349873304,0.095800279,0.037718144,0.102134670,0.090193252,0.530454545,0.830815107,0.142230131
